origin,hour,y_true,y_pred,model
2016-01-04,0,13.78,9.357907554889703,Ensemble (regime-aware)
2016-01-04,1,12.77,7.031059307829998,Ensemble (regime-aware)
2016-01-04,2,10.56,4.734713781317778,Ensemble (regime-aware)
2016-01-04,3,3.87,3.537439991491857,Ensemble (regime-aware)
2016-01-04,4,3.2,4.115001581071912,Ensemble (regime-aware)
2016-01-04,5,8.67,8.55316834268037,Ensemble (regime-aware)
2016-01-04,6,18.01,18.10340767153811,Ensemble (regime-aware)
2016-01-04,7,28.52,24.012986492946844,Ensemble (regime-aware)
2016-01-04,8,34.74,26.50109065765783,Ensemble (regime-aware)
2016-01-04,9,33.46,29.841264353552887,Ensemble (regime-aware)
2016-01-04,10,33.24,30.3310056047199,Ensemble (regime-aware)
2016-01-04,11,35.09,31.475924575649366,Ensemble (regime-aware)
2016-01-04,12,35.0,34.16857339773622,Ensemble (regime-aware)
2016-01-04,13,35.0,33.52904470603211,Ensemble (regime-aware)
2016-01-04,14,34.94,34.56347647843112,Ensemble (regime-aware)
2016-01-04,15,34.92,35.09567108043201,Ensemble (regime-aware)
2016-01-04,16,38.0,37.050200685030596,Ensemble (regime-aware)
2016-01-04,17,41.21,43.59616847730581,Ensemble (regime-aware)
2016-01-04,18,42.95,43.69499792049729,Ensemble (regime-aware)
2016-01-04,19,41.96,41.726946592902486,Ensemble (regime-aware)
2016-01-04,20,34.94,35.52537218544982,Ensemble (regime-aware)
2016-01-04,21,30.66,31.93414410430647,Ensemble (regime-aware)
2016-01-04,22,30.0,30.422344776593977,Ensemble (regime-aware)
2016-01-04,23,23.9,23.874602020285565,Ensemble (regime-aware)
2016-01-05,0,25.03,22.381200605283787,Ensemble (regime-aware)
2016-01-05,1,24.42,20.25245242153097,Ensemble (regime-aware)
2016-01-05,2,22.34,19.288513253126016,Ensemble (regime-aware)
2016-01-05,3,21.5,17.44128931813732,Ensemble (regime-aware)
2016-01-05,4,20.0,17.83870869041209,Ensemble (regime-aware)
2016-01-05,5,23.53,21.50794087443602,Ensemble (regime-aware)
2016-01-05,6,28.96,28.54545635926915,Ensemble (regime-aware)
2016-01-05,7,38.32,38.894554137610676,Ensemble (regime-aware)
2016-01-05,8,41.45,40.43857818749757,Ensemble (regime-aware)
2016-01-05,9,40.72,40.51502951367007,Ensemble (regime-aware)
2016-01-05,10,40.66,39.90194967061725,Ensemble (regime-aware)
2016-01-05,11,40.33,40.2235026312002,Ensemble (regime-aware)
2016-01-05,12,38.25,40.34080725673328,Ensemble (regime-aware)
2016-01-05,13,36.98,38.4060011858039,Ensemble (regime-aware)
2016-01-05,14,34.91,38.18067566848478,Ensemble (regime-aware)
2016-01-05,15,33.5,38.98868931698422,Ensemble (regime-aware)
2016-01-05,16,35.1,40.651155937562656,Ensemble (regime-aware)
2016-01-05,17,42.44,45.71302948829357,Ensemble (regime-aware)
2016-01-05,18,42.94,45.4009255303316,Ensemble (regime-aware)
2016-01-05,19,41.74,42.025823144219984,Ensemble (regime-aware)
2016-01-05,20,36.47,36.186783216132355,Ensemble (regime-aware)
2016-01-05,21,33.01,31.88782778311032,Ensemble (regime-aware)
2016-01-05,22,31.75,29.986225114175664,Ensemble (regime-aware)
2016-01-05,23,26.99,23.968001948781534,Ensemble (regime-aware)
2016-01-06,0,26.62,25.453132390483017,Ensemble (regime-aware)
2016-01-06,1,25.58,24.32528478113614,Ensemble (regime-aware)
2016-01-06,2,24.59,23.40977572088194,Ensemble (regime-aware)
2016-01-06,3,22.5,22.613876241736357,Ensemble (regime-aware)
2016-01-06,4,23.16,22.568136532069147,Ensemble (regime-aware)
2016-01-06,5,24.99,25.306277397369072,Ensemble (regime-aware)
2016-01-06,6,26.62,32.10336135856693,Ensemble (regime-aware)
2016-01-06,7,28.03,42.23006996146083,Ensemble (regime-aware)
2016-01-06,8,29.34,43.93013994199716,Ensemble (regime-aware)
2016-01-06,9,32.94,43.991717185356926,Ensemble (regime-aware)
2016-01-06,10,37.71,43.84696286688364,Ensemble (regime-aware)
2016-01-06,11,40.08,43.98279402564448,Ensemble (regime-aware)
2016-01-06,12,40.73,43.14681392945868,Ensemble (regime-aware)
2016-01-06,13,38.26,43.171615019397585,Ensemble (regime-aware)
2016-01-06,14,35.44,43.307747936547415,Ensemble (regime-aware)
2016-01-06,15,36.92,43.5318900528682,Ensemble (regime-aware)
2016-01-06,16,41.28,44.679265772002736,Ensemble (regime-aware)
2016-01-06,17,44.95,49.35271158372344,Ensemble (regime-aware)
2016-01-06,18,46.9,51.01369361015976,Ensemble (regime-aware)
2016-01-06,19,43.95,46.625579584120985,Ensemble (regime-aware)
2016-01-06,20,39.94,39.45081661256718,Ensemble (regime-aware)
2016-01-06,21,32.4,35.343280799119505,Ensemble (regime-aware)
