origin,hour,y_true,y_pred,model
2016-01-04,0,13.78,9.352857755134377,Ensemble (static)
2016-01-04,1,12.77,7.0221253328953175,Ensemble (static)
2016-01-04,2,10.56,4.711945409827154,Ensemble (static)
2016-01-04,3,3.87,3.5135973389129087,Ensemble (static)
2016-01-04,4,3.2,4.091507858564684,Ensemble (static)
2016-01-04,5,8.67,8.560678673488631,Ensemble (static)
2016-01-04,6,18.01,18.175385128874986,Ensemble (static)
2016-01-04,7,28.52,24.055462799867033,Ensemble (static)
2016-01-04,8,34.74,26.53491232519901,Ensemble (static)
2016-01-04,9,33.46,29.832731883250506,Ensemble (static)
2016-01-04,10,33.24,30.310041211536536,Ensemble (static)
2016-01-04,11,35.09,31.466765655020282,Ensemble (static)
2016-01-04,12,35.0,34.13400128400096,Ensemble (static)
2016-01-04,13,35.0,33.51144056510801,Ensemble (static)
2016-01-04,14,34.94,34.55249565618011,Ensemble (static)
2016-01-04,15,34.92,35.11202399518137,Ensemble (static)
2016-01-04,16,38.0,37.06569163868754,Ensemble (static)
2016-01-04,17,41.21,43.63376625533661,Ensemble (static)
2016-01-04,18,42.95,43.71984230363926,Ensemble (static)
2016-01-04,19,41.96,41.745396926379485,Ensemble (static)
2016-01-04,20,34.94,35.55204647431938,Ensemble (static)
2016-01-04,21,30.66,31.969165618040126,Ensemble (static)
2016-01-04,22,30.0,30.45043578688128,Ensemble (static)
2016-01-04,23,23.9,23.877773220626448,Ensemble (static)
2016-01-05,0,25.03,22.35453760368991,Ensemble (static)
2016-01-05,1,24.42,20.21577790058018,Ensemble (static)
2016-01-05,2,22.34,19.249898495985114,Ensemble (static)
2016-01-05,3,21.5,17.42633411891253,Ensemble (static)
2016-01-05,4,20.0,17.83729906795675,Ensemble (static)
2016-01-05,5,23.53,21.49267374026495,Ensemble (static)
2016-01-05,6,28.96,28.50650204238358,Ensemble (static)
2016-01-05,7,38.32,38.82707517470314,Ensemble (static)
2016-01-05,8,41.45,40.397451884906125,Ensemble (static)
2016-01-05,9,40.72,40.48132599316753,Ensemble (static)
2016-01-05,10,40.66,39.85811280778239,Ensemble (static)
2016-01-05,11,40.33,40.19881791770264,Ensemble (static)
2016-01-05,12,38.25,40.295344428568434,Ensemble (static)
2016-01-05,13,36.98,38.374712757555585,Ensemble (static)
2016-01-05,14,34.91,38.15931458587945,Ensemble (static)
2016-01-05,15,33.5,38.96632494218878,Ensemble (static)
