origin,hour,y_true,y_pred,model
2016-01-04,0,13.78,9.859726112382788,LEAR-LASSO
2016-01-04,1,12.77,7.133363699883585,LEAR-LASSO
2016-01-04,2,10.56,4.2381947737327685,LEAR-LASSO
2016-01-04,3,3.87,3.0980651861187027,LEAR-LASSO
2016-01-04,4,3.2,3.674006132104271,LEAR-LASSO
2016-01-04,5,8.67,9.576592681921777,LEAR-LASSO
2016-01-04,6,18.01,20.595786196280006,LEAR-LASSO
2016-01-04,7,28.52,25.017599085805465,LEAR-LASSO
2016-01-04,8,34.74,26.196323391512713,LEAR-LASSO
2016-01-04,9,33.46,28.205546765461165,LEAR-LASSO
2016-01-04,10,33.24,27.917339069970218,LEAR-LASSO
2016-01-04,11,35.09,31.28607427574164,LEAR-LASSO
2016-01-04,12,35.0,33.44724995167453,LEAR-LASSO
2016-01-04,13,35.0,33.167289566353496,LEAR-LASSO
2016-01-04,14,34.94,33.53192385868223,LEAR-LASSO
2016-01-04,15,34.92,35.00644883550254,LEAR-LASSO
2016-01-04,16,38.0,37.71218867097603,LEAR-LASSO
2016-01-04,17,41.21,43.9134717003288,LEAR-LASSO
2016-01-04,18,42.95,44.13885444738912,LEAR-LASSO
2016-01-04,19,41.96,41.50855578329771,LEAR-LASSO
2016-01-04,20,34.94,37.065729145931506,LEAR-LASSO
2016-01-04,21,30.66,33.332596645959754,LEAR-LASSO
2016-01-04,22,30.0,31.4479489090856,LEAR-LASSO
2016-01-04,23,23.9,24.768022567261593,LEAR-LASSO
2016-01-05,0,25.03,22.433230665249823,LEAR-LASSO
2016-01-05,1,24.42,20.797211266327775,LEAR-LASSO
2016-01-05,2,22.34,19.17214115435306,LEAR-LASSO
2016-01-05,3,21.5,18.33355986192354,LEAR-LASSO
2016-01-05,4,20.0,19.338933708413276,LEAR-LASSO
2016-01-05,5,23.53,22.811311632117093,LEAR-LASSO
2016-01-05,6,28.96,28.42079781764195,LEAR-LASSO
2016-01-05,7,38.32,39.1609941910878,LEAR-LASSO
2016-01-05,8,41.45,41.26508589136883,LEAR-LASSO
2016-01-05,9,40.72,41.55578682756726,LEAR-LASSO
2016-01-05,10,40.66,40.875291966977585,LEAR-LASSO
2016-01-05,11,40.33,42.817744502107125,LEAR-LASSO
2016-01-05,12,38.25,40.8130764587071,LEAR-LASSO
2016-01-05,13,36.98,40.10048539546589,LEAR-LASSO
2016-01-05,14,34.91,40.458442101491954,LEAR-LASSO
2016-01-05,15,33.5,40.088601670477225,LEAR-LASSO
2016-01-05,16,35.1,41.29194181780849,LEAR-LASSO
2016-01-05,17,42.44,47.60629862117524,LEAR-LASSO
2016-01-05,18,42.94,47.450572105549,LEAR-LASSO
2016-01-05,19,41.74,44.97280222950532,LEAR-LASSO
2016-01-05,20,36.47,38.24682043554648,LEAR-LASSO
2016-01-05,21,33.01,32.95338712567725,LEAR-LASSO
2016-01-05,22,31.75,30.211472590665412,LEAR-LASSO
2016-01-05,23,26.99,23.965546019671017,LEAR-LASSO
2016-01-06,0,26.62,26.02610645953269,LEAR-LASSO
2016-01-06,1,25.58,25.040973726978887,LEAR-LASSO
2016-01-06,2,24.59,24.09753010637104,LEAR-LASSO
2016-01-06,3,22.5,23.56402625599174,LEAR-LASSO
2016-01-06,4,23.16,22.998292690659483,LEAR-LASSO
2016-01-06,5,24.99,25.692136385841575,LEAR-LASSO
2016-01-06,6,26.62,31.189318326007697,LEAR-LASSO
2016-01-06,7,28.03,40.60847341484925,LEAR-LASSO
2016-01-06,8,29.34,43.302617427417076,LEAR-LASSO
2016-01-06,9,32.94,43.807102038364405,LEAR-LASSO
2016-01-06,10,37.71,43.31237292426999,LEAR-LASSO
2016-01-06,11,40.08,44.07633555050257,LEAR-LASSO
2016-01-06,12,40.73,42.55935526514523,LEAR-LASSO
2016-01-06,13,38.26,42.51162504586284,LEAR-LASSO
2016-01-06,14,35.44,43.166961380440526,LEAR-LASSO
2016-01-06,15,36.92,42.41595127273315,LEAR-LASSO
2016-01-06,16,41.28,44.281899173925,LEAR-LASSO
2016-01-06,17,44.95,50.07630806095911,LEAR-LASSO
2016-01-06,18,46.9,50.363236697649434,LEAR-LASSO
2016-01-06,19,43.95,46.312724024576525,LEAR-LASSO
2016-01-06,20,39.94,39.8004773838547,LEAR-LASSO
2016-01-06,21,32.4,35.54522933796987,LEAR-LASSO
2016-01-06,22,33.51,33.952365547546336,LEAR-LASSO
2016-01-06,23,30.11,28.00804490627032,LEAR-LASSO
2016-01-07,0,26.41,28.355744609195554,LEAR-LASSO
2016-01-07,1,26.05,26.63614916544144,LEAR-LASSO
2016-01-07,2,24.93,24.523465922104897,LEAR-LASSO
2016-01-07,3,22.39,23.230543659822725,LEAR-LASSO
2016-01-07,4,22.32,23.170509139384507,LEAR-LASSO
2016-01-07,5,24.2,25.54347210296768,LEAR-LASSO
2016-01-07,6,31.0,28.882447977020007,LEAR-LASSO
2016-01-07,7,42.47,37.27250215115555,LEAR-LASSO
2016-01-07,8,42.97,39.179463116673496,LEAR-LASSO
2016-01-07,9,41.93,36.79620573656326,LEAR-LASSO
2016-01-07,10,41.62,35.51232362074216,LEAR-LASSO
2016-01-07,11,41.5,35.74528822920224,LEAR-LASSO
2016-01-07,12,40.66,33.636168016105586,LEAR-LASSO
2016-01-07,13,40.33,32.14597020985078,LEAR-LASSO
2016-01-07,14,36.51,31.124135508928493,LEAR-LASSO
2016-01-07,15,33.49,30.728627682102463,LEAR-LASSO
2016-01-07,16,34.19,31.29666730490969,LEAR-LASSO
2016-01-07,17,40.66,36.339462924289286,LEAR-LASSO
2016-01-07,18,40.8,36.201715290538594,LEAR-LASSO
2016-01-07,19,37.19,34.88114562019533,LEAR-LASSO
2016-01-07,20,31.94,29.216913501002672,LEAR-LASSO
2016-01-07,21,27.01,24.847812493312556,LEAR-LASSO
2016-01-07,22,27.52,24.048298093834106,LEAR-LASSO
2016-01-07,23,23.4,19.35551467345348,LEAR-LASSO
2016-01-08,0,12.12,18.391754174734782,LEAR-LASSO
2016-01-08,1,17.23,18.666873380745066,LEAR-LASSO
2016-01-08,2,13.9,15.210550283433422,LEAR-LASSO
2016-01-08,3,12.11,14.886668458238358,LEAR-LASSO
2016-01-08,4,12.99,14.220803095494906,LEAR-LASSO
2016-01-08,5,16.98,19.02535839418553,LEAR-LASSO
2016-01-08,6,22.02,22.068934407120985,LEAR-LASSO
2016-01-08,7,28.4,31.059921667686194,LEAR-LASSO
2016-01-08,8,29.31,29.168894998970575,LEAR-LASSO
2016-01-08,9,26.6,24.484217567420004,LEAR-LASSO
2016-01-08,10,25.55,20.607008823740458,LEAR-LASSO
2016-01-08,11,25.76,19.468439827432096,LEAR-LASSO
2016-01-08,12,25.13,20.840491330629554,LEAR-LASSO
2016-01-08,13,25.58,22.916348431341714,LEAR-LASSO
2016-01-08,14,27.6,24.634120212249144,LEAR-LASSO
2016-01-08,15,32.08,28.162237511347122,LEAR-LASSO
2016-01-08,16,37.16,33.001612796801325,LEAR-LASSO
2016-01-08,17,45.0,42.74048374468262,LEAR-LASSO
2016-01-08,18,46.97,42.28494579297282,LEAR-LASSO
2016-01-08,19,40.09,40.16843121161204,LEAR-LASSO
2016-01-08,20,34.61,33.64536122230965,LEAR-LASSO
2016-01-08,21,31.52,30.871636030922136,LEAR-LASSO
2016-01-08,22,32.5,30.7565268042668,LEAR-LASSO
2016-01-08,23,26.01,28.715621809875838,LEAR-LASSO
2016-01-09,0,26.1,28.344496201019286,LEAR-LASSO
2016-01-09,1,25.1,26.679802906249474,LEAR-LASSO
2016-01-09,2,24.3,26.66194535269562,LEAR-LASSO
2016-01-09,3,23.23,26.568839239443466,LEAR-LASSO
2016-01-09,4,21.96,25.067771569610176,LEAR-LASSO
