origin,hour,y_true,y_pred,model
2016-01-04,0,13.78,7.722212,LSTM
2016-01-04,1,12.77,4.556387,LSTM
2016-01-04,2,10.56,2.6004105,LSTM
2016-01-04,3,3.87,1.6142025,LSTM
2016-01-04,4,3.2,2.7135048,LSTM
2016-01-04,5,8.67,9.406128,LSTM
2016-01-04,6,18.01,23.686155,LSTM
2016-01-04,7,28.52,30.7527,LSTM
2016-01-04,8,34.74,32.355743,LSTM
2016-01-04,9,33.46,31.818699,LSTM
2016-01-04,10,33.24,32.555977,LSTM
2016-01-04,11,35.09,31.748772,LSTM
2016-01-04,12,35.0,32.071857,LSTM
2016-01-04,13,35.0,32.560883,LSTM
2016-01-04,14,34.94,34.923874,LSTM
2016-01-04,15,34.92,37.998398,LSTM
2016-01-04,16,38.0,39.242245,LSTM
2016-01-04,17,41.21,48.877357,LSTM
2016-01-04,18,42.95,48.226738,LSTM
2016-01-04,19,41.96,46.2066,LSTM
2016-01-04,20,34.94,37.873817,LSTM
2016-01-04,21,30.66,35.28797,LSTM
2016-01-04,22,30.0,33.23622,LSTM
2016-01-04,23,23.9,24.551846,LSTM
2016-01-05,0,25.03,21.16517,LSTM
2016-01-05,1,24.42,17.95037,LSTM
2016-01-05,2,22.34,17.229063,LSTM
2016-01-05,3,21.5,16.676884,LSTM
2016-01-05,4,20.0,17.221395,LSTM
2016-01-05,5,23.53,18.967628,LSTM
2016-01-05,6,28.96,26.35579,LSTM
2016-01-05,7,38.32,33.17549,LSTM
2016-01-05,8,41.45,37.446053,LSTM
2016-01-05,9,40.72,37.147606,LSTM
2016-01-05,10,40.66,35.46053,LSTM
2016-01-05,11,40.33,35.392693,LSTM
2016-01-05,12,38.25,35.9859,LSTM
2016-01-05,13,36.98,33.874672,LSTM
2016-01-05,14,34.91,33.857254,LSTM
2016-01-05,15,33.5,35.934067,LSTM
2016-01-05,16,35.1,38.16348,LSTM
2016-01-05,17,42.44,43.171238,LSTM
2016-01-05,18,42.94,42.40185,LSTM
2016-01-05,19,41.74,37.816704,LSTM
2016-01-05,20,36.47,33.31407,LSTM
2016-01-05,21,33.01,30.317228,LSTM
2016-01-05,22,31.75,30.046734,LSTM
2016-01-05,23,26.99,24.217186,LSTM
2016-01-06,0,26.62,24.275166,LSTM
2016-01-06,1,25.58,22.588572,LSTM
2016-01-06,2,24.59,21.740908,LSTM
2016-01-06,3,22.5,21.058395,LSTM
2016-01-06,4,23.16,21.918028,LSTM
2016-01-06,5,24.99,24.30693,LSTM
2016-01-06,6,26.62,32.220295,LSTM
2016-01-06,7,28.03,40.818626,LSTM
2016-01-06,8,29.34,41.17354,LSTM
2016-01-06,9,32.94,40.969524,LSTM
2016-01-06,10,37.71,39.892616,LSTM
2016-01-06,11,40.08,40.54315,LSTM
2016-01-06,12,40.73,39.97836,LSTM
2016-01-06,13,38.26,40.528816,LSTM
2016-01-06,14,35.44,40.80246,LSTM
2016-01-06,15,36.92,41.82044,LSTM
2016-01-06,16,41.28,42.175774,LSTM
2016-01-06,17,44.95,47.763393,LSTM
2016-01-06,18,46.9,48.584602,LSTM
2016-01-06,19,43.95,43.738167,LSTM
2016-01-06,20,39.94,37.634342,LSTM
2016-01-06,21,32.4,34.784103,LSTM
