origin,hour,y_true,y_pred,model
2016-01-04,0,13.78,23.86,naive
2016-01-04,1,12.77,22.39,naive
2016-01-04,2,10.56,20.59,naive
2016-01-04,3,3.87,16.81,naive
2016-01-04,4,3.2,17.41,naive
2016-01-04,5,8.67,17.02,naive
2016-01-04,6,18.01,15.86,naive
2016-01-04,7,28.52,18.16,naive
2016-01-04,8,34.74,17.73,naive
2016-01-04,9,33.46,19.77,naive
2016-01-04,10,33.24,23.75,naive
2016-01-04,11,35.09,26.03,naive
2016-01-04,12,35.0,27.06,naive
2016-01-04,13,35.0,26.59,naive
2016-01-04,14,34.94,25.0,naive
2016-01-04,15,34.92,24.43,naive
2016-01-04,16,38.0,28.87,naive
2016-01-04,17,41.21,37.44,naive
2016-01-04,18,42.95,37.41,naive
2016-01-04,19,41.96,35.34,naive
2016-01-04,20,34.94,33.07,naive
2016-01-04,21,30.66,29.52,naive
2016-01-04,22,30.0,30.1,naive
2016-01-04,23,23.9,24.57,naive
2016-01-05,0,25.03,13.78,naive
2016-01-05,1,24.42,12.77,naive
2016-01-05,2,22.34,10.56,naive
2016-01-05,3,21.5,3.87,naive
2016-01-05,4,20.0,3.2,naive
2016-01-05,5,23.53,8.67,naive
2016-01-05,6,28.96,18.01,naive
2016-01-05,7,38.32,28.52,naive
2016-01-05,8,41.45,34.74,naive
2016-01-05,9,40.72,33.46,naive
2016-01-05,10,40.66,33.24,naive
2016-01-05,11,40.33,35.09,naive
2016-01-05,12,38.25,35.0,naive
2016-01-05,13,36.98,35.0,naive
2016-01-05,14,34.91,34.94,naive
2016-01-05,15,33.5,34.92,naive
2016-01-05,16,35.1,38.0,naive
2016-01-05,17,42.44,41.21,naive
2016-01-05,18,42.94,42.95,naive
2016-01-05,19,41.74,41.96,naive
2016-01-05,20,36.47,34.94,naive
2016-01-05,21,33.01,30.66,naive
2016-01-05,22,31.75,30.0,naive
2016-01-05,23,26.99,23.9,naive
2016-01-06,0,26.62,25.03,naive
2016-01-06,1,25.58,24.42,naive
2016-01-06,2,24.59,22.34,naive
2016-01-06,3,22.5,21.5,naive
2016-01-06,4,23.16,20.0,naive
2016-01-06,5,24.99,23.53,naive
2016-01-06,6,26.62,28.96,naive
2016-01-06,7,28.03,38.32,naive
2016-01-06,8,29.34,41.45,naive
2016-01-06,9,32.94,40.72,naive
2016-01-06,10,37.71,40.66,naive
2016-01-06,11,40.08,40.33,naive
2016-01-06,12,40.73,38.25,naive
2016-01-06,13,38.26,36.98,naive
2016-01-06,14,35.44,34.91,naive
2016-01-06,15,36.92,33.5,naive
2016-01-06,16,41.28,35.1,naive
2016-01-06,17,44.95,42.44,naive
2016-01-06,18,46.9,42.94,naive
2016-01-06,19,43.95,41.74,naive
2016-01-06,20,39.94,36.47,naive
2016-01-06,21,32.4,33.01,naive
2016-01-06,22,33.51,31.75,naive
2016-01-06,23,30.11,26.99,naive
2016-01-07,0,26.41,26.62,naive
2016-01-07,1,26.05,25.58,naive
2016-01-07,2,24.93,24.59,naive
2016-01-07,3,22.39,22.5,naive
2016-01-07,4,22.32,23.16,naive
2016-01-07,5,24.2,24.99,naive
2016-01-07,6,31.0,26.62,naive
2016-01-07,7,42.47,28.03,naive
2016-01-07,8,42.97,29.34,naive
2016-01-07,9,41.93,32.94,naive
2016-01-07,10,41.62,37.71,naive
2016-01-07,11,41.5,40.08,naive
2016-01-07,12,40.66,40.73,naive
2016-01-07,13,40.33,38.26,naive
2016-01-07,14,36.51,35.44,naive
2016-01-07,15,33.49,36.92,naive
2016-01-07,16,34.19,41.28,naive
2016-01-07,17,40.66,44.95,naive
2016-01-07,18,40.8,46.9,naive
2016-01-07,19,37.19,43.95,naive
2016-01-07,20,31.94,39.94,naive
2016-01-07,21,27.01,32.4,naive
2016-01-07,22,27.52,33.51,naive
2016-01-07,23,23.4,30.11,naive
2016-01-08,0,12.12,26.41,naive
2016-01-08,1,17.23,26.05,naive
2016-01-08,2,13.9,24.93,naive
2016-01-08,3,12.11,22.39,naive
2016-01-08,4,12.99,22.32,naive
2016-01-08,5,16.98,24.2,naive
2016-01-08,6,22.02,31.0,naive
2016-01-08,7,28.4,42.47,naive
2016-01-08,8,29.31,42.97,naive
2016-01-08,9,26.6,41.93,naive
2016-01-08,10,25.55,41.62,naive
2016-01-08,11,25.76,41.5,naive
2016-01-08,12,25.13,40.66,naive
2016-01-08,13,25.58,40.33,naive
2016-01-08,14,27.6,36.51,naive
2016-01-08,15,32.08,33.49,naive
2016-01-08,16,37.16,34.19,naive
2016-01-08,17,45.0,40.66,naive
2016-01-08,18,46.97,40.8,naive
2016-01-08,19,40.09,37.19,naive
2016-01-08,20,34.61,31.94,naive
2016-01-08,21,31.52,27.01,naive
2016-01-08,22,32.5,27.52,naive
2016-01-08,23,26.01,23.4,naive
2016-01-09,0,26.1,22.2,naive
2016-01-09,1,25.1,16.57,naive
2016-01-09,2,24.3,15.35,naive
2016-01-09,3,23.23,12.77,naive
2016-01-09,4,21.96,11.27,naive
2016-01-09,5,22.45,11.91,naive
2016-01-09,6,23.07,12.62,naive
2016-01-09,7,25.0,13.83,naive
2016-01-09,8,32.11,16.12,naive
2016-01-09,9,37.12,18.12,naive
2016-01-09,10,36.13,19.59,naive
2016-01-09,11,35.76,21.07,naive
2016-01-09,12,34.06,22.54,naive
2016-01-09,13,31.54,19.79,naive
2016-01-09,14,27.92,16.9,naive
2016-01-09,15,27.0,16.97,naive
2016-01-09,16,30.5,19.25,naive
2016-01-09,17,36.99,28.01,naive
2016-01-09,18,36.8,28.36,naive
2016-01-09,19,35.0,26.56,naive
2016-01-09,20,29.0,17.38,naive
2016-01-09,21,25.01,15.83,naive
2016-01-09,22,25.1,16.97,naive
2016-01-09,23,22.28,15.31,naive
2016-01-10,0,15.58,6.99,naive
2016-01-10,1,19.05,-0.01,naive
2016-01-10,2,16.87,0.23,naive
2016-01-10,3,12.75,4.51,naive
2016-01-10,4,10.81,4.12,naive
2016-01-10,5,10.85,6.76,naive
2016-01-10,6,9.85,0.75,naive
2016-01-10,7,11.92,4.27,naive
2016-01-10,8,15.44,9.11,naive
2016-01-10,9,18.99,15.92,naive
2016-01-10,10,19.66,17.06,naive
2016-01-10,11,21.59,19.28,naive
2016-01-10,12,21.83,20.25,naive
2016-01-10,13,20.82,17.66,naive
2016-01-10,14,20.06,18.49,naive
2016-01-10,15,21.45,16.51,naive
2016-01-10,16,23.92,18.76,naive
2016-01-10,17,27.93,22.21,naive
2016-01-10,18,35.0,26.76,naive
2016-01-10,19,33.0,27.08,naive
2016-01-10,20,30.03,25.33,naive
2016-01-10,21,26.06,22.11,naive
2016-01-10,22,26.93,20.91,naive
2016-01-10,23,23.12,14.43,naive
2016-01-11,0,21.95,12.12,naive
2016-01-11,1,20.04,17.23,naive
2016-01-11,2,19.78,13.9,naive
2016-01-11,3,19.36,12.11,naive
2016-01-11,4,19.56,12.99,naive
2016-01-11,5,21.67,16.98,naive
2016-01-11,6,28.5,22.02,naive
2016-01-11,7,41.61,28.4,naive
2016-01-11,8,45.93,29.31,naive
2016-01-11,9,44.0,26.6,naive
2016-01-11,10,41.94,25.55,naive
2016-01-11,11,41.96,25.76,naive
2016-01-11,12,42.33,25.13,naive
2016-01-11,13,42.1,25.58,naive
2016-01-11,14,39.88,27.6,naive
2016-01-11,15,37.5,32.08,naive
2016-01-11,16,37.95,37.16,naive
2016-01-11,17,44.69,45.0,naive
2016-01-11,18,42.88,46.97,naive
2016-01-11,19,40.0,40.09,naive
2016-01-11,20,33.09,34.61,naive
2016-01-11,21,27.93,31.52,naive
2016-01-11,22,28.0,32.5,naive
2016-01-11,23,24.14,26.01,naive
2016-01-12,0,21.51,21.95,naive
2016-01-12,1,19.81,20.04,naive
2016-01-12,2,19.1,19.78,naive
2016-01-12,3,15.74,19.36,naive
2016-01-12,4,15.54,19.56,naive
2016-01-12,5,20.19,21.67,naive
2016-01-12,6,24.38,28.5,naive
2016-01-12,7,35.92,41.61,naive
2016-01-12,8,40.5,45.93,naive
2016-01-12,9,41.0,44.0,naive
2016-01-12,10,38.66,41.94,naive
2016-01-12,11,36.46,41.96,naive
2016-01-12,12,35.0,42.33,naive
2016-01-12,13,33.3,42.1,naive
2016-01-12,14,32.21,39.88,naive
2016-01-12,15,33.0,37.5,naive
2016-01-12,16,36.08,37.95,naive
2016-01-12,17,41.94,44.69,naive
2016-01-12,18,40.33,42.88,naive
2016-01-12,19,29.69,40.0,naive
2016-01-12,20,26.05,33.09,naive
2016-01-12,21,24.76,27.93,naive
2016-01-12,22,24.03,28.0,naive
2016-01-12,23,21.51,24.14,naive
2016-01-13,0,21.0,21.51,naive
2016-01-13,1,19.66,19.81,naive
2016-01-13,2,18.13,19.1,naive
2016-01-13,3,15.3,15.74,naive
2016-01-13,4,18.05,15.54,naive
2016-01-13,5,20.83,20.19,naive
2016-01-13,6,24.1,24.38,naive
2016-01-13,7,27.87,35.92,naive
2016-01-13,8,29.98,40.5,naive
2016-01-13,9,30.73,41.0,naive
2016-01-13,10,31.45,38.66,naive
2016-01-13,11,33.56,36.46,naive
2016-01-13,12,33.99,35.0,naive
2016-01-13,13,34.09,33.3,naive
2016-01-13,14,34.02,32.21,naive
2016-01-13,15,37.44,33.0,naive
2016-01-13,16,39.58,36.08,naive
2016-01-13,17,43.0,41.94,naive
2016-01-13,18,42.22,40.33,naive
2016-01-13,19,38.86,29.69,naive
2016-01-13,20,29.62,26.05,naive
2016-01-13,21,26.97,24.76,naive
2016-01-13,22,25.88,24.03,naive
2016-01-13,23,23.52,21.51,naive
2016-01-14,0,24.29,21.0,naive
2016-01-14,1,23.06,19.66,naive
2016-01-14,2,22.22,18.13,naive
2016-01-14,3,22.03,15.3,naive
2016-01-14,4,22.53,18.05,naive
2016-01-14,5,23.9,20.83,naive
2016-01-14,6,29.99,24.1,naive
2016-01-14,7,44.07,27.87,naive
2016-01-14,8,44.99,29.98,naive
2016-01-14,9,41.39,30.73,naive
2016-01-14,10,34.95,31.45,naive
2016-01-14,11,33.18,33.56,naive
2016-01-14,12,31.17,33.99,naive
2016-01-14,13,33.52,34.09,naive
2016-01-14,14,39.97,34.02,naive
2016-01-14,15,42.99,37.44,naive
2016-01-14,16,42.34,39.58,naive
2016-01-14,17,45.5,43.0,naive
2016-01-14,18,41.06,42.22,naive
2016-01-14,19,40.02,38.86,naive
2016-01-14,20,38.34,29.62,naive
2016-01-14,21,30.86,26.97,naive
2016-01-14,22,28.16,25.88,naive
2016-01-14,23,25.73,23.52,naive
2016-01-15,0,24.58,24.29,naive
2016-01-15,1,25.03,23.06,naive
2016-01-15,2,24.36,22.22,naive
2016-01-15,3,23.5,22.03,naive
2016-01-15,4,22.94,22.53,naive
2016-01-15,5,23.17,23.9,naive
2016-01-15,6,26.35,29.99,naive
2016-01-15,7,40.9,44.07,naive
2016-01-15,8,45.21,44.99,naive
2016-01-15,9,45.46,41.39,naive
2016-01-15,10,45.99,34.95,naive
2016-01-15,11,46.95,33.18,naive
2016-01-15,12,44.0,31.17,naive
2016-01-15,13,42.05,33.52,naive
2016-01-15,14,39.99,39.97,naive
2016-01-15,15,37.65,42.99,naive
2016-01-15,16,38.0,42.34,naive
2016-01-15,17,45.26,45.5,naive
2016-01-15,18,48.04,41.06,naive
2016-01-15,19,44.36,40.02,naive
2016-01-15,20,34.38,38.34,naive
2016-01-15,21,29.34,30.86,naive
2016-01-15,22,27.17,28.16,naive
2016-01-15,23,25.02,25.73,naive
2016-01-16,0,27.13,26.1,naive
2016-01-16,1,26.37,25.1,naive
2016-01-16,2,25.58,24.3,naive
2016-01-16,3,24.73,23.23,naive
2016-01-16,4,24.08,21.96,naive
2016-01-16,5,25.32,22.45,naive
2016-01-16,6,24.77,23.07,naive
2016-01-16,7,25.03,25.0,naive
2016-01-16,8,27.55,32.11,naive
2016-01-16,9,32.4,37.12,naive
2016-01-16,10,34.21,36.13,naive
2016-01-16,11,33.23,35.76,naive
2016-01-16,12,29.16,34.06,naive
2016-01-16,13,26.31,31.54,naive
2016-01-16,14,25.47,27.92,naive
2016-01-16,15,25.6,27.0,naive
2016-01-16,16,30.15,30.5,naive
2016-01-16,17,39.77,36.99,naive
2016-01-16,18,40.03,36.8,naive
2016-01-16,19,30.99,35.0,naive
2016-01-16,20,26.19,29.0,naive
2016-01-16,21,25.9,25.01,naive
2016-01-16,22,25.53,25.1,naive
2016-01-16,23,24.12,22.28,naive
2016-01-17,0,20.86,15.58,naive
2016-01-17,1,20.25,19.05,naive
2016-01-17,2,20.76,16.87,naive
2016-01-17,3,20.97,12.75,naive
2016-01-17,4,20.89,10.81,naive
2016-01-17,5,20.94,10.85,naive
2016-01-17,6,19.64,9.85,naive
2016-01-17,7,22.35,11.92,naive
2016-01-17,8,23.52,15.44,naive
2016-01-17,9,26.54,18.99,naive
2016-01-17,10,30.11,19.66,naive
2016-01-17,11,36.29,21.59,naive
2016-01-17,12,32.44,21.83,naive
2016-01-17,13,26.93,20.82,naive
2016-01-17,14,26.19,20.06,naive
2016-01-17,15,27.07,21.45,naive
2016-01-17,16,31.94,23.92,naive
2016-01-17,17,39.49,27.93,naive
2016-01-17,18,42.8,35.0,naive
2016-01-17,19,39.23,33.0,naive
2016-01-17,20,33.3,30.03,naive
2016-01-17,21,27.04,26.06,naive
2016-01-17,22,27.05,26.93,naive
2016-01-17,23,24.99,23.12,naive
2016-01-18,0,23.96,24.58,naive
2016-01-18,1,23.47,25.03,naive
2016-01-18,2,23.56,24.36,naive
2016-01-18,3,23.48,23.5,naive
2016-01-18,4,23.51,22.94,naive
2016-01-18,5,24.25,23.17,naive
2016-01-18,6,27.61,26.35,naive
2016-01-18,7,46.01,40.9,naive
2016-01-18,8,49.98,45.21,naive
2016-01-18,9,50.54,45.46,naive
2016-01-18,10,49.91,45.99,naive
2016-01-18,11,48.44,46.95,naive
2016-01-18,12,46.93,44.0,naive
2016-01-18,13,46.32,42.05,naive
2016-01-18,14,45.76,39.99,naive
2016-01-18,15,49.53,37.65,naive
2016-01-18,16,49.66,38.0,naive
2016-01-18,17,62.55,45.26,naive
2016-01-18,18,56.07,48.04,naive
2016-01-18,19,47.18,44.36,naive
2016-01-18,20,35.09,34.38,naive
2016-01-18,21,26.95,29.34,naive
2016-01-18,22,26.94,27.17,naive
2016-01-18,23,25.09,25.02,naive
2016-01-19,0,31.95,23.96,naive
2016-01-19,1,32.16,23.47,naive
2016-01-19,2,28.97,23.56,naive
2016-01-19,3,30.01,23.48,naive
2016-01-19,4,30.45,23.51,naive
2016-01-19,5,27.01,24.25,naive
2016-01-19,6,31.9,27.61,naive
2016-01-19,7,54.1,46.01,naive
2016-01-19,8,64.9,49.98,naive
2016-01-19,9,65.35,50.54,naive
2016-01-19,10,61.31,49.91,naive
2016-01-19,11,61.43,48.44,naive
2016-01-19,12,58.98,46.93,naive
2016-01-19,13,58.53,46.32,naive
2016-01-19,14,55.81,45.76,naive
2016-01-19,15,55.5,49.53,naive
2016-01-19,16,56.21,49.66,naive
2016-01-19,17,70.07,62.55,naive
2016-01-19,18,74.97,56.07,naive
2016-01-19,19,57.56,47.18,naive
2016-01-19,20,48.24,35.09,naive
2016-01-19,21,37.98,26.95,naive
2016-01-19,22,33.67,26.94,naive
2016-01-19,23,29.79,25.09,naive
2016-01-20,0,26.05,31.95,naive
2016-01-20,1,26.17,32.16,naive
2016-01-20,2,26.42,28.97,naive
2016-01-20,3,25.36,30.01,naive
2016-01-20,4,25.76,30.45,naive
2016-01-20,5,26.54,27.01,naive
2016-01-20,6,32.7,31.9,naive
2016-01-20,7,55.08,54.1,naive
2016-01-20,8,61.08,64.9,naive
2016-01-20,9,58.43,65.35,naive
2016-01-20,10,58.97,61.31,naive
2016-01-20,11,56.14,61.43,naive
2016-01-20,12,58.6,58.98,naive
2016-01-20,13,57.58,58.53,naive
2016-01-20,14,54.95,55.81,naive
2016-01-20,15,52.42,55.5,naive
2016-01-20,16,72.01,56.21,naive
2016-01-20,17,92.75,70.07,naive
2016-01-20,18,79.09,74.97,naive
2016-01-20,19,70.03,57.56,naive
2016-01-20,20,50.1,48.24,naive
2016-01-20,21,40.06,37.98,naive
2016-01-20,22,33.52,33.67,naive
2016-01-20,23,29.63,29.79,naive
2016-01-21,0,29.65,26.05,naive
2016-01-21,1,27.82,26.17,naive
2016-01-21,2,26.65,26.42,naive
2016-01-21,3,26.96,25.36,naive
2016-01-21,4,27.47,25.76,naive
2016-01-21,5,29.09,26.54,naive
2016-01-21,6,40.78,32.7,naive
2016-01-21,7,70.01,55.08,naive
2016-01-21,8,85.05,61.08,naive
2016-01-21,9,83.54,58.43,naive
2016-01-21,10,74.94,58.97,naive
2016-01-21,11,70.12,56.14,naive
2016-01-21,12,59.91,58.6,naive
