origin,hour,y_true,y_pred,model
2016-01-04,0,13.78,9.111541820726732,SARIMAX
2016-01-04,1,12.77,5.123919989879089,SARIMAX
2016-01-04,2,10.56,5.181225394767932,SARIMAX
2016-01-04,3,3.87,4.789064785259571,SARIMAX
2016-01-04,4,3.2,6.20646131941796,SARIMAX
2016-01-04,5,8.67,11.100507236983553,SARIMAX
2016-01-04,6,18.01,17.220859573735375,SARIMAX
2016-01-04,7,28.52,28.323326030390437,SARIMAX
2016-01-04,8,34.74,27.68325249772654,SARIMAX
2016-01-04,9,33.46,30.869280338879413,SARIMAX
2016-01-04,10,33.24,32.69236123864558,SARIMAX
2016-01-04,11,35.09,33.70263010360982,SARIMAX
2016-01-04,12,35.0,36.98045988484975,SARIMAX
2016-01-04,13,35.0,35.15407192651976,SARIMAX
2016-01-04,14,34.94,35.02108379631045,SARIMAX
2016-01-04,15,34.92,35.95995845423361,SARIMAX
2016-01-04,16,38.0,38.98282329840873,SARIMAX
2016-01-04,17,41.21,44.5740388487856,SARIMAX
2016-01-04,18,42.95,46.86237582627418,SARIMAX
2016-01-04,19,41.96,44.51931374892245,SARIMAX
2016-01-04,20,34.94,37.439566968101516,SARIMAX
2016-01-04,21,30.66,33.16722721157561,SARIMAX
2016-01-04,22,30.0,31.360724399186463,SARIMAX
2016-01-04,23,23.9,26.81939446293932,SARIMAX
2016-01-05,0,25.03,26.984259971662873,SARIMAX
2016-01-05,1,24.42,26.7974713304471,SARIMAX
2016-01-05,2,22.34,24.88079228729545,SARIMAX
2016-01-05,3,21.5,22.314729499653573,SARIMAX
2016-01-05,4,20.0,21.32602505263838,SARIMAX
2016-01-05,5,23.53,24.45102336653696,SARIMAX
2016-01-05,6,28.96,33.9663186586087,SARIMAX
2016-01-05,7,38.32,46.21055126849565,SARIMAX
2016-01-05,8,41.45,47.65378831670772,SARIMAX
2016-01-05,9,40.72,45.821808096308494,SARIMAX
2016-01-05,10,40.66,45.619863811634445,SARIMAX
2016-01-05,11,40.33,45.066464155187816,SARIMAX
2016-01-05,12,38.25,45.201481655536945,SARIMAX
2016-01-05,13,36.98,42.88243028719217,SARIMAX
2016-01-05,14,34.91,42.209006584512004,SARIMAX
2016-01-05,15,33.5,42.20285625328337,SARIMAX
2016-01-05,16,35.1,43.82159661158271,SARIMAX
2016-01-05,17,42.44,50.00253529092493,SARIMAX
2016-01-05,18,42.94,51.67614390607351,SARIMAX
2016-01-05,19,41.74,49.40497109085237,SARIMAX
2016-01-05,20,36.47,40.58100531975906,SARIMAX
2016-01-05,21,33.01,34.93687968137179,SARIMAX
2016-01-05,22,31.75,32.47136699009189,SARIMAX
2016-01-05,23,26.99,27.250354521424768,SARIMAX
2016-01-06,0,26.62,28.311781548425817,SARIMAX
2016-01-06,1,25.58,28.045330417770742,SARIMAX
2016-01-06,2,24.59,28.01680219387043,SARIMAX
2016-01-06,3,22.5,26.134711344066936,SARIMAX
2016-01-06,4,23.16,25.029552366632362,SARIMAX
2016-01-06,5,24.99,27.57242785765685,SARIMAX
2016-01-06,6,26.62,36.29240261177033,SARIMAX
2016-01-06,7,28.03,46.85445638446969,SARIMAX
2016-01-06,8,29.34,50.80616820342698,SARIMAX
2016-01-06,9,32.94,49.05829707302587,SARIMAX
2016-01-06,10,37.71,48.981181662455555,SARIMAX
2016-01-06,11,40.08,48.41176312870519,SARIMAX
2016-01-06,12,40.73,46.6891144528264,SARIMAX
2016-01-06,13,38.26,46.01592190326176,SARIMAX
2016-01-06,14,35.44,46.53100438951389,SARIMAX
2016-01-06,15,36.92,47.10932923489725,SARIMAX
2016-01-06,16,41.28,47.153785370141065,SARIMAX
2016-01-06,17,44.95,52.841646719653866,SARIMAX
2016-01-06,18,46.9,54.80276605798021,SARIMAX
2016-01-06,19,43.95,52.55235379981552,SARIMAX
2016-01-06,20,39.94,44.57964088519507,SARIMAX
2016-01-06,21,32.4,39.28551142443836,SARIMAX
2016-01-06,22,33.51,36.89027340242339,SARIMAX
2016-01-06,23,30.11,31.840315619296963,SARIMAX
2016-01-07,0,26.41,30.62506396328237,SARIMAX
2016-01-07,1,26.05,29.680198863097992,SARIMAX
2016-01-07,2,24.93,28.46286915655805,SARIMAX
2016-01-07,3,22.39,25.691738463310617,SARIMAX
2016-01-07,4,22.32,24.16083934306313,SARIMAX
2016-01-07,5,24.2,25.395545585086992,SARIMAX
