origin,hour,y_true,y_pred,model
2016-01-11,0,21.95,21.700347592367862,LEAR window-ensemble
2016-01-11,1,20.04,21.194447566268156,LEAR window-ensemble
2016-01-11,2,19.78,20.89726150744206,LEAR window-ensemble
2016-01-11,3,19.36,19.708513464601793,LEAR window-ensemble
2016-01-11,4,19.56,20.550558069638292,LEAR window-ensemble
2016-01-11,5,21.67,24.12550041868263,LEAR window-ensemble
2016-01-11,6,28.5,33.85319176573587,LEAR window-ensemble
2016-01-11,7,41.61,46.46885005469796,LEAR window-ensemble
2016-01-11,8,45.93,49.60187598827811,LEAR window-ensemble
2016-01-11,9,44.0,49.07003585369562,LEAR window-ensemble
2016-01-11,10,41.94,47.56893002205927,LEAR window-ensemble
2016-01-11,11,41.96,47.74141879297582,LEAR window-ensemble
2016-01-11,12,42.33,46.29331553415872,LEAR window-ensemble
2016-01-11,13,42.1,45.129514241675594,LEAR window-ensemble
2016-01-11,14,39.88,43.22217051210278,LEAR window-ensemble
2016-01-11,15,37.5,43.00052209971937,LEAR window-ensemble
2016-01-11,16,37.95,43.93833798573594,LEAR window-ensemble
2016-01-11,17,44.69,49.58972439342948,LEAR window-ensemble
2016-01-11,18,42.88,49.59276928006253,LEAR window-ensemble
2016-01-11,19,40.0,45.084059539773975,LEAR window-ensemble
2016-01-11,20,33.09,40.94171605139866,LEAR window-ensemble
2016-01-11,21,27.93,35.41507859692689,LEAR window-ensemble
2016-01-11,22,28.0,32.97749859587021,LEAR window-ensemble
2016-01-11,23,24.14,26.352899964253687,LEAR window-ensemble
2016-01-12,0,21.51,23.846381179634328,LEAR window-ensemble
2016-01-12,1,19.81,22.76282780583299,LEAR window-ensemble
2016-01-12,2,19.1,21.832210170066702,LEAR window-ensemble
2016-01-12,3,15.74,21.041070914755885,LEAR window-ensemble
2016-01-12,4,15.54,21.98098687971128,LEAR window-ensemble
2016-01-12,5,20.19,23.757392545393117,LEAR window-ensemble
2016-01-12,6,24.38,30.031140803315132,LEAR window-ensemble
2016-01-12,7,35.92,41.03667537309407,LEAR window-ensemble
2016-01-12,8,40.5,43.38595316461521,LEAR window-ensemble
2016-01-12,9,41.0,41.98750728093669,LEAR window-ensemble
2016-01-12,10,38.66,40.4388452991214,LEAR window-ensemble
2016-01-12,11,36.46,40.302957820146844,LEAR window-ensemble
2016-01-12,12,35.0,38.41813290456273,LEAR window-ensemble
2016-01-12,13,33.3,37.67665044043046,LEAR window-ensemble
2016-01-12,14,32.21,37.27844164351907,LEAR window-ensemble
2016-01-12,15,33.0,37.446388354789626,LEAR window-ensemble
2016-01-12,16,36.08,39.15597026754989,LEAR window-ensemble
2016-01-12,17,41.94,44.78634250275367,LEAR window-ensemble
2016-01-12,18,40.33,44.80203358406427,LEAR window-ensemble
2016-01-12,19,29.69,41.076604570641784,LEAR window-ensemble
2016-01-12,20,26.05,34.89206318209792,LEAR window-ensemble
2016-01-12,21,24.76,30.266482090870582,LEAR window-ensemble
2016-01-12,22,24.03,28.760525145802745,LEAR window-ensemble
2016-01-12,23,21.51,23.6122905957938,LEAR window-ensemble
2016-01-13,0,21.0,18.004765587428082,LEAR window-ensemble
2016-01-13,1,19.66,16.75152396905885,LEAR window-ensemble
2016-01-13,2,18.13,15.010799973966162,LEAR window-ensemble
2016-01-13,3,15.3,14.343872302317912,LEAR window-ensemble
2016-01-13,4,18.05,15.810575913000722,LEAR window-ensemble
2016-01-13,5,20.83,18.68514702478583,LEAR window-ensemble
2016-01-13,6,24.1,24.60568886817438,LEAR window-ensemble
2016-01-13,7,27.87,33.08982216330618,LEAR window-ensemble
2016-01-13,8,29.98,33.72578796543918,LEAR window-ensemble
2016-01-13,9,30.73,32.92737673959097,LEAR window-ensemble
2016-01-13,10,31.45,33.43480447393084,LEAR window-ensemble
2016-01-13,11,33.56,34.10195328663647,LEAR window-ensemble
2016-01-13,12,33.99,33.829128954179126,LEAR window-ensemble
2016-01-13,13,34.09,33.916035992730656,LEAR window-ensemble
2016-01-13,14,34.02,34.20422354373502,LEAR window-ensemble
2016-01-13,15,37.44,36.42117812625408,LEAR window-ensemble
2016-01-13,16,39.58,37.92107318140842,LEAR window-ensemble
2016-01-13,17,43.0,44.7031665164798,LEAR window-ensemble
2016-01-13,18,42.22,46.603684843345675,LEAR window-ensemble
2016-01-13,19,38.86,41.77059368491893,LEAR window-ensemble
2016-01-13,20,29.62,37.266461107973335,LEAR window-ensemble
2016-01-13,21,26.97,33.0321691314045,LEAR window-ensemble
2016-01-13,22,25.88,31.459850087643424,LEAR window-ensemble
2016-01-13,23,23.52,27.310507602426174,LEAR window-ensemble
2016-01-14,0,24.29,23.481487118042473,LEAR window-ensemble
2016-01-14,1,23.06,22.157289866558948,LEAR window-ensemble
2016-01-14,2,22.22,20.7825222050815,LEAR window-ensemble
2016-01-14,3,22.03,20.418483716266458,LEAR window-ensemble
2016-01-14,4,22.53,22.084505549941944,LEAR window-ensemble
2016-01-14,5,23.9,24.31856980349685,LEAR window-ensemble
2016-01-14,6,29.99,29.873918042664073,LEAR window-ensemble
2016-01-14,7,44.07,39.02850832455612,LEAR window-ensemble
2016-01-14,8,44.99,40.47068452425118,LEAR window-ensemble
2016-01-14,9,41.39,38.22293172507044,LEAR window-ensemble
2016-01-14,10,34.95,35.02017149206138,LEAR window-ensemble
2016-01-14,11,33.18,35.22442971615941,LEAR window-ensemble
2016-01-14,12,31.17,33.87685635548451,LEAR window-ensemble
2016-01-14,13,33.52,34.438129746670896,LEAR window-ensemble
2016-01-14,14,39.97,35.84077082615026,LEAR window-ensemble
2016-01-14,15,42.99,38.357530799609805,LEAR window-ensemble
2016-01-14,16,42.34,39.605798200202926,LEAR window-ensemble
2016-01-14,17,45.5,45.66520668574455,LEAR window-ensemble
2016-01-14,18,41.06,44.38932217638364,LEAR window-ensemble
2016-01-14,19,40.02,38.87215272421419,LEAR window-ensemble
2016-01-14,20,38.34,34.18422179955254,LEAR window-ensemble
2016-01-14,21,30.86,30.64946957540826,LEAR window-ensemble
2016-01-14,22,28.16,31.170900202985365,LEAR window-ensemble
2016-01-14,23,25.73,27.547501582225053,LEAR window-ensemble
2016-01-15,0,24.58,24.091796956269647,LEAR window-ensemble
2016-01-15,1,25.03,24.051391282041102,LEAR window-ensemble
2016-01-15,2,24.36,23.3297561074149,LEAR window-ensemble
2016-01-15,3,23.5,22.78369896338249,LEAR window-ensemble
2016-01-15,4,22.94,23.86749053339399,LEAR window-ensemble
2016-01-15,5,23.17,25.510162914002212,LEAR window-ensemble
2016-01-15,6,26.35,32.146725789029325,LEAR window-ensemble
2016-01-15,7,40.9,43.563926622759666,LEAR window-ensemble
2016-01-15,8,45.21,45.724161239276825,LEAR window-ensemble
2016-01-15,9,45.46,44.642197070443075,LEAR window-ensemble
2016-01-15,10,45.99,43.769983976345145,LEAR window-ensemble
2016-01-15,11,46.95,43.77065184573413,LEAR window-ensemble
2016-01-15,12,44.0,41.56657518345609,LEAR window-ensemble
2016-01-15,13,42.05,40.06538924638943,LEAR window-ensemble
2016-01-15,14,39.99,39.3270868693094,LEAR window-ensemble
