origin,hour,y_true,y_pred,model
2026-01-08 00:00:00+00:00,0,83.08250000000001,27.703257,LSTM
2026-01-08 00:00:00+00:00,1,84.52250000000001,30.895592,LSTM
2026-01-08 00:00:00+00:00,2,82.4725,33.173298,LSTM
2026-01-08 00:00:00+00:00,3,85.265,37.192772,LSTM
2026-01-08 00:00:00+00:00,4,87.8875,39.369217,LSTM
2026-01-08 00:00:00+00:00,5,97.88,41.873135,LSTM
2026-01-08 00:00:00+00:00,6,126.7125,72.27352,LSTM
2026-01-08 00:00:00+00:00,7,168.81,113.387726,LSTM
2026-01-08 00:00:00+00:00,8,192.72,113.21564,LSTM
2026-01-08 00:00:00+00:00,9,207.9325,112.43547,LSTM
2026-01-08 00:00:00+00:00,10,213.1125,123.37689,LSTM
2026-01-08 00:00:00+00:00,11,220.27,139.83298,LSTM
2026-01-08 00:00:00+00:00,12,236.215,134.72995,LSTM
2026-01-08 00:00:00+00:00,13,264.585,133.61974,LSTM
2026-01-08 00:00:00+00:00,14,264.42,108.284515,LSTM
2026-01-08 00:00:00+00:00,15,259.49,120.98366,LSTM
2026-01-08 00:00:00+00:00,16,233.8525,109.13356,LSTM
2026-01-08 00:00:00+00:00,17,199.3975,105.354355,LSTM
2026-01-08 00:00:00+00:00,18,139.2475,120.768875,LSTM
2026-01-08 00:00:00+00:00,19,102.125,97.97661,LSTM
2026-01-08 00:00:00+00:00,20,94.4825,81.98528,LSTM
2026-01-08 00:00:00+00:00,21,91.305,59.82389,LSTM
2026-01-08 00:00:00+00:00,22,79.035,51.490227,LSTM
2026-01-08 00:00:00+00:00,23,78.9625,53.772858,LSTM
2026-01-09 00:00:00+00:00,0,70.69,8.0840645,LSTM
2026-01-09 00:00:00+00:00,1,57.35,15.886192,LSTM
2026-01-09 00:00:00+00:00,2,50.84,11.290008,LSTM
2026-01-09 00:00:00+00:00,3,47.845,26.5439,LSTM
2026-01-09 00:00:00+00:00,4,56.575,29.527262,LSTM
2026-01-09 00:00:00+00:00,5,72.605,27.823347,LSTM
2026-01-09 00:00:00+00:00,6,84.3025,54.02517,LSTM
2026-01-09 00:00:00+00:00,7,89.7625,71.56296,LSTM
2026-01-09 00:00:00+00:00,8,89.1475,49.202866,LSTM
2026-01-09 00:00:00+00:00,9,93.93,47.952614,LSTM
2026-01-09 00:00:00+00:00,10,85.795,45.889294,LSTM
2026-01-09 00:00:00+00:00,11,83.015,57.758728,LSTM
2026-01-09 00:00:00+00:00,12,82.85,61.76384,LSTM
2026-01-09 00:00:00+00:00,13,82.83500000000001,55.962402,LSTM
2026-01-09 00:00:00+00:00,14,85.245,39.10426,LSTM
2026-01-09 00:00:00+00:00,15,87.5725,42.41694,LSTM
2026-01-09 00:00:00+00:00,16,92.52,39.183064,LSTM
2026-01-09 00:00:00+00:00,17,91.6625,50.782578,LSTM
2026-01-09 00:00:00+00:00,18,87.28,56.137035,LSTM
2026-01-09 00:00:00+00:00,19,82.80250000000001,39.86082,LSTM
2026-01-09 00:00:00+00:00,20,80.36,59.214943,LSTM
2026-01-09 00:00:00+00:00,21,80.35,29.444206,LSTM
2026-01-09 00:00:00+00:00,22,74.51,37.875977,LSTM
2026-01-09 00:00:00+00:00,23,72.78999999999999,41.28472,LSTM
2026-01-10 00:00:00+00:00,0,69.775,33.416218,LSTM
2026-01-10 00:00:00+00:00,1,66.2375,30.863754,LSTM
2026-01-10 00:00:00+00:00,2,66.535,40.28093,LSTM
2026-01-10 00:00:00+00:00,3,66.5125,40.329384,LSTM
2026-01-10 00:00:00+00:00,4,68.46000000000001,39.11178,LSTM
2026-01-10 00:00:00+00:00,5,69.96000000000001,40.135567,LSTM
2026-01-10 00:00:00+00:00,6,76.66499999999999,56.06249,LSTM
2026-01-10 00:00:00+00:00,7,85.0275,83.45134,LSTM
2026-01-10 00:00:00+00:00,8,92.3625,70.396576,LSTM
2026-01-10 00:00:00+00:00,9,97.595,84.88678,LSTM
2026-01-10 00:00:00+00:00,10,101.5575,85.143326,LSTM
2026-01-10 00:00:00+00:00,11,101.57,105.60051,LSTM
2026-01-10 00:00:00+00:00,12,104.825,108.52316,LSTM
2026-01-10 00:00:00+00:00,13,111.4425,104.393394,LSTM
2026-01-10 00:00:00+00:00,14,117.7175,83.879974,LSTM
2026-01-10 00:00:00+00:00,15,128.0075,90.383,LSTM
2026-01-10 00:00:00+00:00,16,139.5275,93.87642,LSTM
2026-01-10 00:00:00+00:00,17,136.91,93.423416,LSTM
2026-01-10 00:00:00+00:00,18,128.305,115.129135,LSTM
2026-01-10 00:00:00+00:00,19,120.49,99.13516,LSTM
2026-01-10 00:00:00+00:00,20,113.21,95.72627,LSTM
