origin,hour,y_true,y_pred,model
2026-01-08 00:00:00+00:00,0,83.08250000000001,88.61,naive
2026-01-08 00:00:00+00:00,1,84.52250000000001,85.045,naive
2026-01-08 00:00:00+00:00,2,82.4725,81.64750000000001,naive
2026-01-08 00:00:00+00:00,3,85.265,80.7825,naive
2026-01-08 00:00:00+00:00,4,87.8875,84.8825,naive
2026-01-08 00:00:00+00:00,5,97.88,92.77,naive
2026-01-08 00:00:00+00:00,6,126.7125,99.2,naive
2026-01-08 00:00:00+00:00,7,168.81,109.35,naive
2026-01-08 00:00:00+00:00,8,192.72,112.1275,naive
2026-01-08 00:00:00+00:00,9,207.9325,108.3125,naive
2026-01-08 00:00:00+00:00,10,213.1125,99.935,naive
2026-01-08 00:00:00+00:00,11,220.27,96.34,naive
2026-01-08 00:00:00+00:00,12,236.215,93.155,naive
2026-01-08 00:00:00+00:00,13,264.585,95.2275,naive
2026-01-08 00:00:00+00:00,14,264.42,101.8375,naive
2026-01-08 00:00:00+00:00,15,259.49,106.385,naive
2026-01-08 00:00:00+00:00,16,233.8525,125.1875,naive
2026-01-08 00:00:00+00:00,17,199.3975,124.1,naive
2026-01-08 00:00:00+00:00,18,139.2475,116.7325,naive
2026-01-08 00:00:00+00:00,19,102.125,108.7275,naive
2026-01-08 00:00:00+00:00,20,94.4825,98.455,naive
2026-01-08 00:00:00+00:00,21,91.305,93.96,naive
2026-01-08 00:00:00+00:00,22,79.035,88.7625,naive
2026-01-08 00:00:00+00:00,23,78.9625,84.08,naive
2026-01-09 00:00:00+00:00,0,70.69,83.08250000000001,naive
2026-01-09 00:00:00+00:00,1,57.35,84.52250000000001,naive
2026-01-09 00:00:00+00:00,2,50.84,82.4725,naive
2026-01-09 00:00:00+00:00,3,47.845,85.265,naive
2026-01-09 00:00:00+00:00,4,56.575,87.8875,naive
2026-01-09 00:00:00+00:00,5,72.605,97.88,naive
2026-01-09 00:00:00+00:00,6,84.3025,126.7125,naive
2026-01-09 00:00:00+00:00,7,89.7625,168.81,naive
2026-01-09 00:00:00+00:00,8,89.1475,192.72,naive
2026-01-09 00:00:00+00:00,9,93.93,207.9325,naive
2026-01-09 00:00:00+00:00,10,85.795,213.1125,naive
2026-01-09 00:00:00+00:00,11,83.015,220.27,naive
2026-01-09 00:00:00+00:00,12,82.85,236.215,naive
2026-01-09 00:00:00+00:00,13,82.83500000000001,264.585,naive
2026-01-09 00:00:00+00:00,14,85.245,264.42,naive
2026-01-09 00:00:00+00:00,15,87.5725,259.49,naive
2026-01-09 00:00:00+00:00,16,92.52,233.8525,naive
2026-01-09 00:00:00+00:00,17,91.6625,199.3975,naive
2026-01-09 00:00:00+00:00,18,87.28,139.2475,naive
2026-01-09 00:00:00+00:00,19,82.80250000000001,102.125,naive
2026-01-09 00:00:00+00:00,20,80.36,94.4825,naive
2026-01-09 00:00:00+00:00,21,80.35,91.305,naive
2026-01-09 00:00:00+00:00,22,74.51,79.035,naive
2026-01-09 00:00:00+00:00,23,72.78999999999999,78.9625,naive
2026-01-10 00:00:00+00:00,0,69.775,78.33,naive
2026-01-10 00:00:00+00:00,1,66.2375,75.82,naive
2026-01-10 00:00:00+00:00,2,66.535,74.82,naive
2026-01-10 00:00:00+00:00,3,66.5125,73.02250000000001,naive
2026-01-10 00:00:00+00:00,4,68.46000000000001,74.99,naive
2026-01-10 00:00:00+00:00,5,69.96000000000001,75.91,naive
2026-01-10 00:00:00+00:00,6,76.66499999999999,79.3125,naive
2026-01-10 00:00:00+00:00,7,85.0275,90.69,naive
2026-01-10 00:00:00+00:00,8,92.3625,94.09,naive
2026-01-10 00:00:00+00:00,9,97.595,93.31,naive
2026-01-10 00:00:00+00:00,10,101.5575,88.7075,naive
2026-01-10 00:00:00+00:00,11,101.57,87.4125,naive
2026-01-10 00:00:00+00:00,12,104.825,86.60499999999999,naive
2026-01-10 00:00:00+00:00,13,111.4425,89.6825,naive
2026-01-10 00:00:00+00:00,14,117.7175,94.6,naive
2026-01-10 00:00:00+00:00,15,128.0075,99.88,naive
2026-01-10 00:00:00+00:00,16,139.5275,109.715,naive
2026-01-10 00:00:00+00:00,17,136.91,110.825,naive
2026-01-10 00:00:00+00:00,18,128.305,104.76,naive
2026-01-10 00:00:00+00:00,19,120.49,97.625,naive
2026-01-10 00:00:00+00:00,20,113.21,91.1175,naive
2026-01-10 00:00:00+00:00,21,107.68,90.7125,naive
2026-01-10 00:00:00+00:00,22,98.1975,86.015,naive
2026-01-10 00:00:00+00:00,23,96.9025,88.8225,naive
2026-01-11 00:00:00+00:00,0,92.7475,85.33,naive
2026-01-11 00:00:00+00:00,1,88.035,85.0425,naive
2026-01-11 00:00:00+00:00,2,84.86,83.7375,naive
2026-01-11 00:00:00+00:00,3,82.68,82.5575,naive
2026-01-11 00:00:00+00:00,4,82.26,83.4075,naive
2026-01-11 00:00:00+00:00,5,81.6025,83.795,naive
2026-01-11 00:00:00+00:00,6,84.25999999999999,86.4825,naive
2026-01-11 00:00:00+00:00,7,92.06,88.1225,naive
2026-01-11 00:00:00+00:00,8,103.1025,94.3,naive
2026-01-11 00:00:00+00:00,9,100.6825,94.755,naive
2026-01-11 00:00:00+00:00,10,99.9175,90.8775,naive
2026-01-11 00:00:00+00:00,11,97.0875,89.5425,naive
2026-01-11 00:00:00+00:00,12,96.5175,86.7775,naive
2026-01-11 00:00:00+00:00,13,98.8775,92.675,naive
2026-01-11 00:00:00+00:00,14,101.275,93.1975,naive
2026-01-11 00:00:00+00:00,15,111.755,100.5925,naive
2026-01-11 00:00:00+00:00,16,116.25,118.425,naive
2026-01-11 00:00:00+00:00,17,112.2475,121.18,naive
2026-01-11 00:00:00+00:00,18,106.2075,119.715,naive
2026-01-11 00:00:00+00:00,19,96.04,112.45,naive
2026-01-11 00:00:00+00:00,20,95.005,99.7,naive
2026-01-11 00:00:00+00:00,21,93.02,95.765,naive
2026-01-11 00:00:00+00:00,22,85.22999999999999,89.21000000000001,naive
2026-01-11 00:00:00+00:00,23,81.2575,92.4525,naive
2026-01-12 00:00:00+00:00,0,81.1925,70.69,naive
2026-01-12 00:00:00+00:00,1,79.0425,57.35,naive
2026-01-12 00:00:00+00:00,2,77.31,50.84,naive
2026-01-12 00:00:00+00:00,3,76.58500000000001,47.845,naive
2026-01-12 00:00:00+00:00,4,80.1625,56.575,naive
2026-01-12 00:00:00+00:00,5,86.9225,72.605,naive
2026-01-12 00:00:00+00:00,6,97.8725,84.3025,naive
2026-01-12 00:00:00+00:00,7,115.6175,89.7625,naive
2026-01-12 00:00:00+00:00,8,129.8475,89.1475,naive
2026-01-12 00:00:00+00:00,9,124.3975,93.93,naive
2026-01-12 00:00:00+00:00,10,129.8675,85.795,naive
2026-01-12 00:00:00+00:00,11,129.9625,83.015,naive
2026-01-12 00:00:00+00:00,12,132.76,82.85,naive
2026-01-12 00:00:00+00:00,13,128.37,82.83500000000001,naive
2026-01-12 00:00:00+00:00,14,131.7125,85.245,naive
2026-01-12 00:00:00+00:00,15,119.58,87.5725,naive
2026-01-12 00:00:00+00:00,16,119.6,92.52,naive
2026-01-12 00:00:00+00:00,17,116.5,91.6625,naive
2026-01-12 00:00:00+00:00,18,102.3375,87.28,naive
2026-01-12 00:00:00+00:00,19,93.48,82.80250000000001,naive
2026-01-12 00:00:00+00:00,20,91.795,80.36,naive
2026-01-12 00:00:00+00:00,21,92.165,80.35,naive
2026-01-12 00:00:00+00:00,22,86.0475,74.51,naive
2026-01-12 00:00:00+00:00,23,84.30499999999999,72.78999999999999,naive
2026-01-13 00:00:00+00:00,0,82.69,81.1925,naive
2026-01-13 00:00:00+00:00,1,82.685,79.0425,naive
2026-01-13 00:00:00+00:00,2,84.115,77.31,naive
2026-01-13 00:00:00+00:00,3,86.7475,76.58500000000001,naive
2026-01-13 00:00:00+00:00,4,88.725,80.1625,naive
2026-01-13 00:00:00+00:00,5,97.5525,86.9225,naive
2026-01-13 00:00:00+00:00,6,116.03,97.8725,naive
2026-01-13 00:00:00+00:00,7,129.805,115.6175,naive
2026-01-13 00:00:00+00:00,8,132.5175,129.8475,naive
2026-01-13 00:00:00+00:00,9,142.1975,124.3975,naive
2026-01-13 00:00:00+00:00,10,123.8525,129.8675,naive
2026-01-13 00:00:00+00:00,11,117.675,129.9625,naive
2026-01-13 00:00:00+00:00,12,112.9775,132.76,naive
2026-01-13 00:00:00+00:00,13,122.215,128.37,naive
2026-01-13 00:00:00+00:00,14,120.515,131.7125,naive
2026-01-13 00:00:00+00:00,15,122.15,119.58,naive
2026-01-13 00:00:00+00:00,16,122.33,119.6,naive
2026-01-13 00:00:00+00:00,17,113.3525,116.5,naive
2026-01-13 00:00:00+00:00,18,98.735,102.3375,naive
2026-01-13 00:00:00+00:00,19,90.95,93.48,naive
2026-01-13 00:00:00+00:00,20,92.2075,91.795,naive
2026-01-13 00:00:00+00:00,21,90.0,92.165,naive
2026-01-13 00:00:00+00:00,22,82.6725,86.0475,naive
2026-01-13 00:00:00+00:00,23,85.5625,84.30499999999999,naive
2026-01-14 00:00:00+00:00,0,84.295,82.69,naive
2026-01-14 00:00:00+00:00,1,85.8775,82.685,naive
2026-01-14 00:00:00+00:00,2,86.16250000000001,84.115,naive
2026-01-14 00:00:00+00:00,3,87.645,86.7475,naive
2026-01-14 00:00:00+00:00,4,89.86,88.725,naive
2026-01-14 00:00:00+00:00,5,95.145,97.5525,naive
2026-01-14 00:00:00+00:00,6,105.14,116.03,naive
2026-01-14 00:00:00+00:00,7,128.9575,129.805,naive
2026-01-14 00:00:00+00:00,8,132.0325,132.5175,naive
2026-01-14 00:00:00+00:00,9,116.4525,142.1975,naive
2026-01-14 00:00:00+00:00,10,107.5325,123.8525,naive
2026-01-14 00:00:00+00:00,11,103.475,117.675,naive
2026-01-14 00:00:00+00:00,12,103.6,112.9775,naive
2026-01-14 00:00:00+00:00,13,118.2175,122.215,naive
2026-01-14 00:00:00+00:00,14,144.63,120.515,naive
2026-01-14 00:00:00+00:00,15,152.85750000000002,122.15,naive
2026-01-14 00:00:00+00:00,16,200.0225,122.33,naive
2026-01-14 00:00:00+00:00,17,182.355,113.3525,naive
2026-01-14 00:00:00+00:00,18,158.76749999999998,98.735,naive
2026-01-14 00:00:00+00:00,19,134.01,90.95,naive
2026-01-14 00:00:00+00:00,20,121.7875,92.2075,naive
2026-01-14 00:00:00+00:00,21,113.8625,90.0,naive
2026-01-14 00:00:00+00:00,22,97.0875,82.6725,naive
2026-01-14 00:00:00+00:00,23,100.615,85.5625,naive
2026-01-15 00:00:00+00:00,0,94.0475,84.295,naive
2026-01-15 00:00:00+00:00,1,89.34,85.8775,naive
2026-01-15 00:00:00+00:00,2,84.8075,86.16250000000001,naive
2026-01-15 00:00:00+00:00,3,82.92999999999999,87.645,naive
2026-01-15 00:00:00+00:00,4,86.0,89.86,naive
2026-01-15 00:00:00+00:00,5,98.2025,95.145,naive
2026-01-15 00:00:00+00:00,6,105.115,105.14,naive
2026-01-15 00:00:00+00:00,7,104.975,128.9575,naive
2026-01-15 00:00:00+00:00,8,101.415,132.0325,naive
2026-01-15 00:00:00+00:00,9,100.4,116.4525,naive
2026-01-15 00:00:00+00:00,10,97.8625,107.5325,naive
2026-01-15 00:00:00+00:00,11,95.2825,103.475,naive
2026-01-15 00:00:00+00:00,12,100.615,103.6,naive
2026-01-15 00:00:00+00:00,13,105.645,118.2175,naive
2026-01-15 00:00:00+00:00,14,123.095,144.63,naive
2026-01-15 00:00:00+00:00,15,135.3725,152.85750000000002,naive
2026-01-15 00:00:00+00:00,16,145.495,200.0225,naive
2026-01-15 00:00:00+00:00,17,119.745,182.355,naive
2026-01-15 00:00:00+00:00,18,105.4925,158.76749999999998,naive
2026-01-15 00:00:00+00:00,19,98.16,134.01,naive
2026-01-15 00:00:00+00:00,20,90.995,121.7875,naive
2026-01-15 00:00:00+00:00,21,88.3925,113.8625,naive
2026-01-15 00:00:00+00:00,22,81.155,97.0875,naive
2026-01-15 00:00:00+00:00,23,81.05,100.615,naive
2026-01-16 00:00:00+00:00,0,75.0,94.0475,naive
2026-01-16 00:00:00+00:00,1,70.57249999999999,89.34,naive
2026-01-16 00:00:00+00:00,2,67.23,84.8075,naive
2026-01-16 00:00:00+00:00,3,71.38,82.92999999999999,naive
2026-01-16 00:00:00+00:00,4,82.05000000000001,86.0,naive
2026-01-16 00:00:00+00:00,5,90.7225,98.2025,naive
2026-01-16 00:00:00+00:00,6,98.6,105.115,naive
2026-01-16 00:00:00+00:00,7,109.3075,104.975,naive
2026-01-16 00:00:00+00:00,8,108.9275,101.415,naive
2026-01-16 00:00:00+00:00,9,103.0275,100.4,naive
2026-01-16 00:00:00+00:00,10,99.7875,97.8625,naive
2026-01-16 00:00:00+00:00,11,99.1975,95.2825,naive
2026-01-16 00:00:00+00:00,12,99.3125,100.615,naive
2026-01-16 00:00:00+00:00,13,113.2,105.645,naive
2026-01-16 00:00:00+00:00,14,141.0,123.095,naive
2026-01-16 00:00:00+00:00,15,162.68,135.3725,naive
2026-01-16 00:00:00+00:00,16,170.325,145.495,naive
2026-01-16 00:00:00+00:00,17,162.4425,119.745,naive
2026-01-16 00:00:00+00:00,18,154.18,105.4925,naive
2026-01-16 00:00:00+00:00,19,134.0,98.16,naive
2026-01-16 00:00:00+00:00,20,117.6125,90.995,naive
2026-01-16 00:00:00+00:00,21,117.705,88.3925,naive
2026-01-16 00:00:00+00:00,22,104.17,81.155,naive
2026-01-16 00:00:00+00:00,23,104.66,81.05,naive
2026-01-17 00:00:00+00:00,0,101.2875,69.775,naive
2026-01-17 00:00:00+00:00,1,98.235,66.2375,naive
2026-01-17 00:00:00+00:00,2,96.1375,66.535,naive
2026-01-17 00:00:00+00:00,3,95.1875,66.5125,naive
2026-01-17 00:00:00+00:00,4,95.2425,68.46000000000001,naive
2026-01-17 00:00:00+00:00,5,95.8525,69.96000000000001,naive
2026-01-17 00:00:00+00:00,6,99.1875,76.66499999999999,naive
2026-01-17 00:00:00+00:00,7,105.97,85.0275,naive
2026-01-17 00:00:00+00:00,8,116.655,92.3625,naive
2026-01-17 00:00:00+00:00,9,115.1,97.595,naive
2026-01-17 00:00:00+00:00,10,111.6075,101.5575,naive
2026-01-17 00:00:00+00:00,11,111.9475,101.57,naive
2026-01-17 00:00:00+00:00,12,108.64,104.825,naive
2026-01-17 00:00:00+00:00,13,112.8175,111.4425,naive
2026-01-17 00:00:00+00:00,14,122.77,117.7175,naive
2026-01-17 00:00:00+00:00,15,135.775,128.0075,naive
2026-01-17 00:00:00+00:00,16,140.9125,139.5275,naive
2026-01-17 00:00:00+00:00,17,142.84750000000005,136.91,naive
2026-01-17 00:00:00+00:00,18,138.5875,128.305,naive
2026-01-17 00:00:00+00:00,19,120.79,120.49,naive
2026-01-17 00:00:00+00:00,20,107.805,113.21,naive
2026-01-17 00:00:00+00:00,21,109.15,107.68,naive
2026-01-17 00:00:00+00:00,22,107.0225,98.1975,naive
2026-01-17 00:00:00+00:00,23,110.715,96.9025,naive
2026-01-18 00:00:00+00:00,0,109.19,92.7475,naive
2026-01-18 00:00:00+00:00,1,107.39,88.035,naive
2026-01-18 00:00:00+00:00,2,102.54,84.86,naive
2026-01-18 00:00:00+00:00,3,102.235,82.68,naive
2026-01-18 00:00:00+00:00,4,102.08,82.26,naive
2026-01-18 00:00:00+00:00,5,101.05,81.6025,naive
2026-01-18 00:00:00+00:00,6,100.605,84.25999999999999,naive
2026-01-18 00:00:00+00:00,7,105.68,92.06,naive
2026-01-18 00:00:00+00:00,8,107.4225,103.1025,naive
2026-01-18 00:00:00+00:00,9,101.91,100.6825,naive
2026-01-18 00:00:00+00:00,10,98.4825,99.9175,naive
2026-01-18 00:00:00+00:00,11,96.855,97.0875,naive
2026-01-18 00:00:00+00:00,12,96.9625,96.5175,naive
2026-01-18 00:00:00+00:00,13,100.845,98.8775,naive
2026-01-18 00:00:00+00:00,14,105.55,101.275,naive
2026-01-18 00:00:00+00:00,15,114.875,111.755,naive
2026-01-18 00:00:00+00:00,16,129.9925,116.25,naive
2026-01-18 00:00:00+00:00,17,142.195,112.2475,naive
2026-01-18 00:00:00+00:00,18,136.6725,106.2075,naive
2026-01-18 00:00:00+00:00,19,123.0525,96.04,naive
2026-01-18 00:00:00+00:00,20,110.63,95.005,naive
2026-01-18 00:00:00+00:00,21,114.28,93.02,naive
2026-01-18 00:00:00+00:00,22,103.7325,85.22999999999999,naive
2026-01-18 00:00:00+00:00,23,101.15,81.2575,naive
2026-01-19 00:00:00+00:00,0,100.44,75.0,naive
2026-01-19 00:00:00+00:00,1,100.8325,70.57249999999999,naive
2026-01-19 00:00:00+00:00,2,100.4375,67.23,naive
2026-01-19 00:00:00+00:00,3,100.135,71.38,naive
2026-01-19 00:00:00+00:00,4,102.53,82.05000000000001,naive
2026-01-19 00:00:00+00:00,5,126.38,90.7225,naive
2026-01-19 00:00:00+00:00,6,161.08249999999998,98.6,naive
2026-01-19 00:00:00+00:00,7,175.98250000000002,109.3075,naive
2026-01-19 00:00:00+00:00,8,161.9375,108.9275,naive
2026-01-19 00:00:00+00:00,9,135.9225,103.0275,naive
2026-01-19 00:00:00+00:00,10,120.5275,99.7875,naive
2026-01-19 00:00:00+00:00,11,117.56,99.1975,naive
2026-01-19 00:00:00+00:00,12,125.0025,99.3125,naive
2026-01-19 00:00:00+00:00,13,144.35,113.2,naive
2026-01-19 00:00:00+00:00,14,170.0425,141.0,naive
2026-01-19 00:00:00+00:00,15,194.89,162.68,naive
2026-01-19 00:00:00+00:00,16,208.2275,170.325,naive
2026-01-19 00:00:00+00:00,17,200.055,162.4425,naive
2026-01-19 00:00:00+00:00,18,180.9625,154.18,naive
2026-01-19 00:00:00+00:00,19,157.385,134.0,naive
2026-01-19 00:00:00+00:00,20,135.17,117.6125,naive
2026-01-19 00:00:00+00:00,21,126.4025,117.705,naive
2026-01-19 00:00:00+00:00,22,112.47,104.17,naive
2026-01-19 00:00:00+00:00,23,115.06,104.66,naive
2026-01-20 00:00:00+00:00,0,114.335,100.44,naive
2026-01-20 00:00:00+00:00,1,110.355,100.8325,naive
2026-01-20 00:00:00+00:00,2,109.8675,100.4375,naive
2026-01-20 00:00:00+00:00,3,113.1725,100.135,naive
2026-01-20 00:00:00+00:00,4,125.28,102.53,naive
2026-01-20 00:00:00+00:00,5,190.105,126.38,naive
2026-01-20 00:00:00+00:00,6,240.8775,161.08249999999998,naive
2026-01-20 00:00:00+00:00,7,262.785,175.98250000000002,naive
2026-01-20 00:00:00+00:00,8,179.535,161.9375,naive
2026-01-20 00:00:00+00:00,9,132.17,135.9225,naive
2026-01-20 00:00:00+00:00,10,107.9525,120.5275,naive
2026-01-20 00:00:00+00:00,11,103.6225,117.56,naive
2026-01-20 00:00:00+00:00,12,105.755,125.0025,naive
2026-01-20 00:00:00+00:00,13,136.7225,144.35,naive
2026-01-20 00:00:00+00:00,14,178.26,170.0425,naive
2026-01-20 00:00:00+00:00,15,276.735,194.89,naive
2026-01-20 00:00:00+00:00,16,249.63,208.2275,naive
2026-01-20 00:00:00+00:00,17,193.925,200.055,naive
2026-01-20 00:00:00+00:00,18,181.9175,180.9625,naive
