origin,hour,y_true,y_pred,model
2016-01-04,0,13.78,9.733021586456871,Ensemble (regime-aware)
2016-01-04,1,12.77,7.711162469702993,Ensemble (regime-aware)
2016-01-04,2,10.56,5.334301546568719,Ensemble (regime-aware)
2016-01-04,3,3.87,4.3971322172099985,Ensemble (regime-aware)
2016-01-04,4,3.2,4.524594994953381,Ensemble (regime-aware)
2016-01-04,5,8.67,8.736799821021695,Ensemble (regime-aware)
2016-01-04,6,18.01,18.00493982670435,Ensemble (regime-aware)
2016-01-04,7,28.52,24.321998725887006,Ensemble (regime-aware)
2016-01-04,8,34.74,26.250174686786295,Ensemble (regime-aware)
2016-01-04,9,33.46,29.762390937085645,Ensemble (regime-aware)
2016-01-04,10,33.24,30.377401858794073,Ensemble (regime-aware)
2016-01-04,11,35.09,31.802253803538107,Ensemble (regime-aware)
2016-01-04,12,35.0,34.368489758076535,Ensemble (regime-aware)
2016-01-04,13,35.0,33.5215869559477,Ensemble (regime-aware)
2016-01-04,14,34.94,35.18380797943159,Ensemble (regime-aware)
2016-01-04,15,34.92,36.470233823565195,Ensemble (regime-aware)
2016-01-04,16,38.0,37.479945065673746,Ensemble (regime-aware)
2016-01-04,17,41.21,44.87889361887697,Ensemble (regime-aware)
2016-01-04,18,42.95,44.54110695424369,Ensemble (regime-aware)
2016-01-04,19,41.96,41.51222976714001,Ensemble (regime-aware)
2016-01-04,20,34.94,35.8214303074253,Ensemble (regime-aware)
2016-01-04,21,30.66,31.273490935194058,Ensemble (regime-aware)
2016-01-04,22,30.0,30.10758847211403,Ensemble (regime-aware)
2016-01-04,23,23.9,23.84582979589966,Ensemble (regime-aware)
2016-01-05,0,25.03,22.524159989431627,Ensemble (regime-aware)
2016-01-05,1,24.42,20.538845380228338,Ensemble (regime-aware)
2016-01-05,2,22.34,19.201531562492352,Ensemble (regime-aware)
2016-01-05,3,21.5,17.44022541672486,Ensemble (regime-aware)
2016-01-05,4,20.0,17.944857554185774,Ensemble (regime-aware)
2016-01-05,5,23.53,21.229023606308985,Ensemble (regime-aware)
2016-01-05,6,28.96,27.904243891453003,Ensemble (regime-aware)
2016-01-05,7,38.32,38.13790093350653,Ensemble (regime-aware)
2016-01-05,8,41.45,39.37187234132684,Ensemble (regime-aware)
