origin,hour,y_true,y_pred,model
2016-01-04,0,13.78,8.738792,LSTM-s45
2016-01-04,1,12.77,8.166243,LSTM-s45
2016-01-04,2,10.56,5.2289906,LSTM-s45
2016-01-04,3,3.87,4.218191,LSTM-s45
2016-01-04,4,3.2,5.0194035,LSTM-s45
2016-01-04,5,8.67,7.808443,LSTM-s45
2016-01-04,6,18.01,19.357384,LSTM-s45
2016-01-04,7,28.52,28.26363,LSTM-s45
2016-01-04,8,34.74,27.768463,LSTM-s45
2016-01-04,9,33.46,29.6959,LSTM-s45
2016-01-04,10,33.24,30.915579,LSTM-s45
2016-01-04,11,35.09,34.76127,LSTM-s45
2016-01-04,12,35.0,34.19048,LSTM-s45
2016-01-04,13,35.0,31.491447,LSTM-s45
2016-01-04,14,34.94,36.163795,LSTM-s45
2016-01-04,15,34.92,39.184715,LSTM-s45
2016-01-04,16,38.0,38.167633,LSTM-s45
2016-01-04,17,41.21,49.964226,LSTM-s45
2016-01-04,18,42.95,47.6634,LSTM-s45
2016-01-04,19,41.96,45.311203,LSTM-s45
2016-01-04,20,34.94,36.704018,LSTM-s45
2016-01-04,21,30.66,32.66865,LSTM-s45
2016-01-04,22,30.0,31.455898,LSTM-s45
2016-01-04,23,23.9,24.554432,LSTM-s45
2016-01-05,0,25.03,21.60342,LSTM-s45
2016-01-05,1,24.42,20.874195,LSTM-s45
2016-01-05,2,22.34,18.17403,LSTM-s45
2016-01-05,3,21.5,17.754822,LSTM-s45
2016-01-05,4,20.0,18.02017,LSTM-s45
2016-01-05,5,23.53,20.052044,LSTM-s45
2016-01-05,6,28.96,25.754807,LSTM-s45
2016-01-05,7,38.32,34.45651,LSTM-s45
2016-01-05,8,41.45,37.01126,LSTM-s45
2016-01-05,9,40.72,37.65417,LSTM-s45
2016-01-05,10,40.66,36.07392,LSTM-s45
2016-01-05,11,40.33,37.054348,LSTM-s45
2016-01-05,12,38.25,35.069893,LSTM-s45
2016-01-05,13,36.98,34.424664,LSTM-s45
2016-01-05,14,34.91,38.416466,LSTM-s45
2016-01-05,15,33.5,37.37828,LSTM-s45
2016-01-05,16,35.1,38.287086,LSTM-s45
2016-01-05,17,42.44,46.613045,LSTM-s45
2016-01-05,18,42.94,46.913887,LSTM-s45
2016-01-05,19,41.74,42.157677,LSTM-s45
2016-01-05,20,36.47,34.606903,LSTM-s45
2016-01-05,21,33.01,31.277546,LSTM-s45
2016-01-05,22,31.75,30.364742,LSTM-s45
2016-01-05,23,26.99,23.353485,LSTM-s45
2016-01-06,0,26.62,25.616995,LSTM-s45
2016-01-06,1,25.58,26.505404,LSTM-s45
2016-01-06,2,24.59,25.183964,LSTM-s45
2016-01-06,3,22.5,24.813046,LSTM-s45
2016-01-06,4,23.16,25.73384,LSTM-s45
2016-01-06,5,24.99,24.692278,LSTM-s45
2016-01-06,6,26.62,29.260757,LSTM-s45
2016-01-06,7,28.03,40.026775,LSTM-s45
2016-01-06,8,29.34,40.01972,LSTM-s45
2016-01-06,9,32.94,41.899956,LSTM-s45
2016-01-06,10,37.71,42.438187,LSTM-s45
2016-01-06,11,40.08,43.0902,LSTM-s45
2016-01-06,12,40.73,39.924274,LSTM-s45
2016-01-06,13,38.26,41.27788,LSTM-s45
2016-01-06,14,35.44,42.30265,LSTM-s45
2016-01-06,15,36.92,41.96871,LSTM-s45
2016-01-06,16,41.28,45.02193,LSTM-s45
2016-01-06,17,44.95,50.22416,LSTM-s45
2016-01-06,18,46.9,53.50728,LSTM-s45
2016-01-06,19,43.95,47.05993,LSTM-s45
2016-01-06,20,39.94,39.161427,LSTM-s45
2016-01-06,21,32.4,35.28757,LSTM-s45
2016-01-06,22,33.51,33.47479,LSTM-s45
2016-01-06,23,30.11,27.632359,LSTM-s45
2016-01-07,0,26.41,26.574148,LSTM-s45
2016-01-07,1,26.05,23.782633,LSTM-s45
2016-01-07,2,24.93,22.779179,LSTM-s45
2016-01-07,3,22.39,22.310461,LSTM-s45
2016-01-07,4,22.32,21.461256,LSTM-s45
2016-01-07,5,24.2,24.467775,LSTM-s45
2016-01-07,6,31.0,29.684654,LSTM-s45
2016-01-07,7,42.47,38.024246,LSTM-s45
2016-01-07,8,42.97,37.21816,LSTM-s45
2016-01-07,9,41.93,36.829105,LSTM-s45
2016-01-07,10,41.62,32.86535,LSTM-s45
2016-01-07,11,41.5,32.952293,LSTM-s45
2016-01-07,12,40.66,34.387875,LSTM-s45
2016-01-07,13,40.33,32.827084,LSTM-s45
2016-01-07,14,36.51,33.879864,LSTM-s45
2016-01-07,15,33.49,32.589695,LSTM-s45
2016-01-07,16,34.19,33.182224,LSTM-s45
2016-01-07,17,40.66,37.142326,LSTM-s45
2016-01-07,18,40.8,38.38999,LSTM-s45
2016-01-07,19,37.19,35.088005,LSTM-s45
2016-01-07,20,31.94,30.484722,LSTM-s45
2016-01-07,21,27.01,27.475998,LSTM-s45
2016-01-07,22,27.52,24.31189,LSTM-s45
2016-01-07,23,23.4,19.108032,LSTM-s45
2016-01-08,0,12.12,15.030918,LSTM-s45
2016-01-08,1,17.23,11.8937435,LSTM-s45
2016-01-08,2,13.9,10.86695,LSTM-s45
2016-01-08,3,12.11,9.632007,LSTM-s45
2016-01-08,4,12.99,11.347946,LSTM-s45
2016-01-08,5,16.98,15.895304,LSTM-s45
2016-01-08,6,22.02,22.800648,LSTM-s45
2016-01-08,7,28.4,29.987234,LSTM-s45
2016-01-08,8,29.31,28.092272,LSTM-s45
2016-01-08,9,26.6,27.433416,LSTM-s45
2016-01-08,10,25.55,25.295738,LSTM-s45
2016-01-08,11,25.76,26.679564,LSTM-s45
2016-01-08,12,25.13,25.328619,LSTM-s45
2016-01-08,13,25.58,27.666073,LSTM-s45
2016-01-08,14,27.6,28.929432,LSTM-s45
2016-01-08,15,32.08,31.674093,LSTM-s45
2016-01-08,16,37.16,35.656593,LSTM-s45
2016-01-08,17,45.0,42.220146,LSTM-s45
2016-01-08,18,46.97,46.47529,LSTM-s45
2016-01-08,19,40.09,44.88022,LSTM-s45
2016-01-08,20,34.61,35.152065,LSTM-s45
2016-01-08,21,31.52,32.581974,LSTM-s45
2016-01-08,22,32.5,32.398384,LSTM-s45
2016-01-08,23,26.01,27.500181,LSTM-s45
2016-01-09,0,26.1,30.300955,LSTM-s45
2016-01-09,1,25.1,29.044037,LSTM-s45
2016-01-09,2,24.3,29.079464,LSTM-s45
2016-01-09,3,23.23,28.079756,LSTM-s45
2016-01-09,4,21.96,28.044205,LSTM-s45
2016-01-09,5,22.45,25.54792,LSTM-s45
2016-01-09,6,23.07,27.314865,LSTM-s45
2016-01-09,7,25.0,29.256235,LSTM-s45
2016-01-09,8,32.11,32.69263,LSTM-s45
2016-01-09,9,37.12,37.752224,LSTM-s45
2016-01-09,10,36.13,38.964607,LSTM-s45
2016-01-09,11,35.76,39.379635,LSTM-s45
2016-01-09,12,34.06,41.48846,LSTM-s45
2016-01-09,13,31.54,33.54568,LSTM-s45
2016-01-09,14,27.92,35.058144,LSTM-s45
2016-01-09,15,27.0,35.83761,LSTM-s45
2016-01-09,16,30.5,34.13385,LSTM-s45
2016-01-09,17,36.99,42.469604,LSTM-s45
2016-01-09,18,36.8,43.896084,LSTM-s45
2016-01-09,19,35.0,37.626522,LSTM-s45
2016-01-09,20,29.0,33.69961,LSTM-s45
2016-01-09,21,25.01,30.74787,LSTM-s45
2016-01-09,22,25.1,31.631538,LSTM-s45
2016-01-09,23,22.28,26.153364,LSTM-s45
2016-01-10,0,15.58,18.686056,LSTM-s45
2016-01-10,1,19.05,14.137822,LSTM-s45
2016-01-10,2,16.87,12.591822,LSTM-s45
2016-01-10,3,12.75,11.937019,LSTM-s45
2016-01-10,4,10.81,11.072615,LSTM-s45
2016-01-10,5,10.85,10.641494,LSTM-s45
2016-01-10,6,9.85,6.13443,LSTM-s45
2016-01-10,7,11.92,8.443083,LSTM-s45
2016-01-10,8,15.44,11.559713,LSTM-s45
2016-01-10,9,18.99,17.51865,LSTM-s45
2016-01-10,10,19.66,17.640501,LSTM-s45
2016-01-10,11,21.59,20.593657,LSTM-s45
2016-01-10,12,21.83,20.2196,LSTM-s45
2016-01-10,13,20.82,19.067495,LSTM-s45
2016-01-10,14,20.06,23.462357,LSTM-s45
2016-01-10,15,21.45,20.995588,LSTM-s45
2016-01-10,16,23.92,23.92663,LSTM-s45
