origin,hour,y_true,y_pred,model
2016-01-04,0,13.78,9.461401500000001,LSTM (seed ensemble)
2016-01-04,1,12.77,7.300509,LSTM (seed ensemble)
2016-01-04,2,10.56,5.20869145,LSTM (seed ensemble)
2016-01-04,3,3.87,4.860079575,LSTM (seed ensemble)
2016-01-04,4,3.2,4.652323,LSTM (seed ensemble)
2016-01-04,5,8.67,9.731485999999999,LSTM (seed ensemble)
2016-01-04,6,18.01,20.625801749999997,LSTM (seed ensemble)
2016-01-04,7,28.52,28.666711499999998,LSTM (seed ensemble)
2016-01-04,8,34.74,28.944404499999997,LSTM (seed ensemble)
2016-01-04,9,33.46,30.72115025,LSTM (seed ensemble)
2016-01-04,10,33.24,31.77855425,LSTM (seed ensemble)
2016-01-04,11,35.09,32.6674575,LSTM (seed ensemble)
2016-01-04,12,35.0,33.89559,LSTM (seed ensemble)
2016-01-04,13,35.0,33.18468,LSTM (seed ensemble)
2016-01-04,14,34.94,36.34263725,LSTM (seed ensemble)
2016-01-04,15,34.92,40.122808500000005,LSTM (seed ensemble)
2016-01-04,16,38.0,39.456417,LSTM (seed ensemble)
2016-01-04,17,41.21,49.612046750000005,LSTM (seed ensemble)
2016-01-04,18,42.95,48.460446749999996,LSTM (seed ensemble)
2016-01-04,19,41.96,43.736582500000004,LSTM (seed ensemble)
2016-01-04,20,34.94,37.68591725,LSTM (seed ensemble)
2016-01-04,21,30.66,32.11300075,LSTM (seed ensemble)
2016-01-04,22,30.0,31.16480125,LSTM (seed ensemble)
2016-01-04,23,23.9,24.46704125,LSTM (seed ensemble)
2016-01-05,0,25.03,22.6096875,LSTM (seed ensemble)
2016-01-05,1,24.42,20.505637,LSTM (seed ensemble)
2016-01-05,2,22.34,18.6106105,LSTM (seed ensemble)
2016-01-05,3,21.5,17.576728,LSTM (seed ensemble)
2016-01-05,4,20.0,18.184650249999997,LSTM (seed ensemble)
2016-01-05,5,23.53,19.84942375,LSTM (seed ensemble)
2016-01-05,6,28.96,26.38398925,LSTM (seed ensemble)
2016-01-05,7,38.32,34.862664,LSTM (seed ensemble)
2016-01-05,8,41.45,37.00041675,LSTM (seed ensemble)
2016-01-05,9,40.72,37.6962365,LSTM (seed ensemble)
