target_day,exog_2_D0_h17,exog_2_D0_h16,price_D-1_h18,exog_2_D0_h18,price_D-7_h18,exog_1_D0_h19,exog_1_D0_h20,exog_2_D0_h15,exog_2_D0_h19,price_D-7_h17,price_D-1_h17,exog_1_D0_h18,price_D-1_h19,exog_1_D0_h07,exog_2_D0_h21,exog_1_D0_h06,exog_2_D0_h20,price_D-2_h18,price_D-7_h16,exog_2_D0_h22
2016-01-04,11710.38625,11773.0205,26.76,11765.11825,43.38,23451.5,22241.75,12562.01875,11749.7805,42.98,22.21,23750.0,27.08,20239.0,11401.725,18632.5,11607.70675,28.36,36.9,11190.425
2016-01-05,11392.0025,11420.84025,42.95,11340.54675,55.86,24864.25,23608.5,11860.3645,11305.553,52.0,41.21,25249.75,41.96,23252.75,11324.26625,21341.0,11324.11575,26.76,41.81,11228.21875
2016-01-06,7062.1975,7030.5692500000005,42.94,7142.5830000000005,36.09,25013.0,23745.0,7583.9695,7146.001,33.44,42.44,25413.5,41.74,23476.5,7053.441,21539.0,7089.11425,42.95,30.68,7204.576999999999
2016-01-07,18476.4765,18552.21425,46.9,18669.292,40.25,24876.25,23634.25,18547.249,18446.4465,40.03,44.95,25277.0,43.95,23429.25,17786.3775,21517.0,17853.4085,42.94,32.87,17941.1375
2016-01-08,15208.58875,15784.97275,40.8,14754.54325,37.41,24243.0,22923.0,18569.05,14353.795,37.44,40.66,24832.0,37.19,23443.5,12315.215,21491.0,13464.466,46.9,28.87,11074.46725
2016-01-09,8044.45375,7223.05175,46.97,8774.75875,28.36,21607.75,20401.5,7190.04675,9226.5315,28.01,45.0,22075.0,40.09,18619.5,9929.45425,17555.5,9517.8645,40.8,19.25,10380.7135
2016-01-10,10248.51275,10556.02075,36.8,10240.8665,26.76,21080.25,20302.0,12252.78975,10247.8995,22.21,36.99,21216.25,35.0,16137.75,10128.158,15570.75,10245.1275,46.97,18.76,10055.83325
2016-01-11,7192.2435000000005,6512.04125,35.0,7995.00775,42.95,25264.5,23923.75,6514.1615,8436.2855,41.21,27.93,25682.0,33.0,23674.75,8305.94025,21450.5,8383.89525,36.8,38.0,8087.62075
2016-01-12,9805.443750000002,9250.2115,42.88,10374.85425,42.94,25545.0,24231.0,9882.18525,10686.393,42.44,44.69,25994.0,40.0,24304.75,11515.80825,22243.5,11178.8035,35.0,35.1,11809.789
2016-01-13,8921.57,9722.609,40.33,8288.58825,46.9,25616.5,24299.75,11169.7785,7684.2065,44.95,41.94,26075.5,29.69,24425.5,7265.6945,22336.5,7426.80575,42.88,41.28,7085.596
2016-01-14,9455.96175,9239.633,42.22,9605.7795,40.8,25406.5,24126.25,10356.90375,9520.95425,40.66,43.0,25861.25,38.86,24281.0,8711.821,22212.75,9194.426,40.33,34.19,8256.5125
2016-01-15,5526.93525,5965.16075,41.06,5184.34425,46.97,24628.5,23322.25,6964.86075,4748.1635,45.0,45.5,25276.75,40.02,24129.25,3812.639,22025.75,4322.616,42.22,37.16,3344.98025
2016-01-16,6118.94675,6183.272,48.04,6246.0035,36.8,22019.25,20845.0,7032.10825,6496.801,36.99,45.26,22547.0,44.36,19372.25,7095.4755,18121.25,6765.5185,41.06,30.5,7171.80025
2016-01-17,1395.75675,1548.75925,40.03,1394.5,35.0,21519.75,20767.0,2904.21725,1463.8105,27.93,39.77,21695.5,30.99,16898.25,1610.1135,16154.0,1507.75075,48.04,23.92,1768.36875
2016-01-18,3204.939,3249.0082500000003,42.8,3495.513,42.88,25691.75,24381.5,5036.50375,3683.60775,44.69,39.49,26130.25,39.23,24387.0,3913.686,22010.75,3839.77725,40.03,37.95,3935.6695
2016-01-19,5503.0545,5469.3415,56.07,5730.78125,40.33,25990.0,24704.25,6818.607749999999,5806.97,41.94,62.55,26446.5,47.18,25011.0,5256.7985,22806.25,5600.65,42.8,36.08,4967.755999999999
2016-01-20,3742.13675,3806.76575,74.97,3873.40025,42.22,25698.75,24467.0,4854.79775,3831.52275,43.0,70.07,26339.5,57.56,24575.25,3297.547,22428.0,3603.28375,56.07,39.58,3030.342
