feature,shap_value,feature_value
price_D-1_h00,0.15245834538417133,39.1
price_D-1_h01,0.11552161998185322,38.28
price_D-1_h02,0.10483652771485166,39.43
price_D-1_h03,0.09573355845113526,37.29
price_D-1_h04,0.032153325865662455,36.65
price_D-1_h05,0.18914459608480833,44.84
price_D-1_h06,0.05163410665199619,69.97
price_D-1_h07,0.11003159125391801,98.45
price_D-1_h08,0.01717089693677052,95.83
price_D-1_h09,0.011241954311345559,99.99
price_D-1_h10,0.018080266629126793,99.36
price_D-1_h11,0.01873056948351222,87.42
price_D-1_h12,0.03157236677476153,83.43
price_D-1_h13,0.5945384895865237,81.81
price_D-1_h14,0.09853410064632781,85.1
price_D-1_h15,1.0389250669261323,82.84
price_D-1_h16,0.6015386271945925,91.14
price_D-1_h17,0.4053846238836891,109.98
price_D-1_h18,0.1991328461829977,128.4
price_D-1_h19,0.5974517990819361,103.87
price_D-1_h20,1.1835864538880425,84.55
price_D-1_h21,0.6036302586112171,69.4
price_D-1_h22,0.624242941746418,65.06
price_D-1_h23,1.1334690237125216,43.08
price_D-2_h00,0.1180285862991808,38.6
price_D-2_h01,0.06462340566794549,38.22
price_D-2_h02,0.04582613192105228,38.6
price_D-2_h03,0.04279714272741788,37.43
price_D-2_h04,0.043719102976607825,38.27
price_D-2_h05,-0.002673899109663437,37.83
price_D-2_h06,0.0011491754114093813,35.97
price_D-2_h07,0.007990177347704816,39.24
price_D-2_h08,0.013955140152276651,37.76
price_D-2_h09,-0.0006407322559999227,39.26
price_D-2_h10,0.007501413530480105,38.03
price_D-2_h11,0.0015980807252857292,38.16
price_D-2_h12,0.007647680699930805,37.07
price_D-2_h13,-0.0005196068972189759,36.03
price_D-2_h14,0.002083606036648288,37.32
price_D-2_h15,0.005582838913665067,38.29
price_D-2_h16,-0.0003996689523331486,44.06
price_D-2_h17,0.0129670337576664,61.92
price_D-2_h18,0.002883967268317582,57.72
price_D-2_h19,0.018910572857304398,57.38
price_D-2_h20,0.003088296980657138,46.0
price_D-2_h21,-0.0029091311445067275,39.39
price_D-2_h22,0.04409622030504052,44.05
price_D-2_h23,0.08753946513961842,35.93
price_D-3_h00,0.09507588119489305,45.9
price_D-3_h01,-0.0015022389754455892,39.34
price_D-3_h02,0.02732802711481532,40.99
price_D-3_h03,0.012694843512039377,44.04
price_D-3_h04,-0.0031023226333962224,43.07
price_D-3_h05,-0.012028484670042307,41.56
price_D-3_h06,-0.008484619772158064,40.62
price_D-3_h07,0.019814693358716162,43.93
price_D-3_h08,-0.013865565110562089,50.99
price_D-3_h09,-0.010462627148783378,54.98
price_D-3_h10,0.0006703054212772032,53.05
price_D-3_h11,0.00846499795258081,48.34
price_D-3_h12,0.016118500131549075,45.89
price_D-3_h13,0.0052229985323855805,43.3
price_D-3_h14,0.0010302855222409481,44.0
price_D-3_h15,0.0005199402105963291,47.56
price_D-3_h16,0.0042113217410739414,61.94
price_D-3_h17,0.0028979678868200714,65.91
price_D-3_h18,0.012829128436239472,65.01
price_D-3_h19,-0.004117873838836759,62.92
price_D-3_h20,0.0028737336316997887,47.01
price_D-3_h21,0.0004397719030485379,44.03
price_D-3_h22,0.0054325554488164115,44.33
price_D-3_h23,0.07614540451772937,39.54
price_D-7_h00,0.011952379933131634,45.83
price_D-7_h01,0.00965796655773475,41.64
price_D-7_h02,0.01643161575072177,34.61
price_D-7_h03,0.012704020439273872,36.28
price_D-7_h04,0.006513788512951053,35.25
price_D-7_h05,0.023307294500087682,39.94
price_D-7_h06,0.10453145147392573,58.29
price_D-7_h07,0.545077338194829,111.04
price_D-7_h08,0.29600891336332597,121.67
price_D-7_h09,0.062191196125145,125.61
price_D-7_h10,-0.0069356696382607335,121.49
price_D-7_h11,-0.0170029774598538,117.34
price_D-7_h12,-0.017275785633366337,106.15
price_D-7_h13,0.09538848805617069,101.91
price_D-7_h14,0.23162810682585724,100.03
price_D-7_h15,0.4391731034439948,103.42
price_D-7_h16,0.031254107601991155,110.91
price_D-7_h17,0.09120509120045202,142.78
price_D-7_h18,0.0769617069905428,143.09
price_D-7_h19,0.18147124382202556,124.94
price_D-7_h20,0.3400300422765862,84.97
price_D-7_h21,0.1013574028433825,55.08
price_D-7_h22,0.02339185643844515,48.95
price_D-7_h23,0.03880994572826339,37.74
exog_1_D-1_h00,0.0019455258257810738,19378.0
exog_1_D-1_h01,-0.008612730373879923,18790.75
exog_1_D-1_h02,0.0019681690946020793,18630.0
exog_1_D-1_h03,-0.004660839303750354,18732.75
exog_1_D-1_h04,-0.009128795647243445,19136.5
exog_1_D-1_h05,-0.0278560638563088,20022.0
exog_1_D-1_h06,-0.01593199454324435,22842.75
exog_1_D-1_h07,-0.0032444956188827203,25346.75
exog_1_D-1_h08,-0.008746153344148725,26560.75
exog_1_D-1_h09,-0.017317084217465778,26522.0
exog_1_D-1_h10,-0.005336993362660909,26621.5
exog_1_D-1_h11,-0.009956425146459225,26757.25
exog_1_D-1_h12,-0.009916159761026824,26942.0
exog_1_D-1_h13,-0.011501211753549782,26766.25
exog_1_D-1_h14,-0.006618875935566984,26368.0
exog_1_D-1_h15,-0.005222261358850644,26125.0
exog_1_D-1_h16,-0.005737467545247137,25832.5
exog_1_D-1_h17,0.040015704012321546,26896.0
exog_1_D-1_h18,0.007568864645601562,27131.5
exog_1_D-1_h19,-0.0011114871053010018,26618.0
exog_1_D-1_h20,0.00764433701226604,25139.0
exog_1_D-1_h21,0.0013878801715505077,23976.25
exog_1_D-1_h22,0.05328654506942683,22963.25
exog_1_D-1_h23,0.016990047850123837,21600.75
exog_1_D-7_h00,-0.023337087751283014,19811.25
exog_1_D-7_h01,-0.007049234590813351,19247.25
exog_1_D-7_h02,-0.013373804747596455,18942.0
exog_1_D-7_h03,0.00021855328724856222,18965.0
exog_1_D-7_h04,-0.00796848557487802,19231.0
exog_1_D-7_h05,-0.003076366956496174,20193.5
exog_1_D-7_h06,0.02616053730807863,22961.5
exog_1_D-7_h07,0.012917964162355926,25023.0
exog_1_D-7_h08,0.013219680231212958,25733.5
exog_1_D-7_h09,0.007607283346537425,25698.25
exog_1_D-7_h10,0.02006743240179387,26012.75
exog_1_D-7_h11,0.002953499761680939,26279.75
exog_1_D-7_h12,0.004897154436849692,26347.0
exog_1_D-7_h13,0.015619484202140377,26244.5
exog_1_D-7_h14,0.030781350073552753,25918.25
