,Nuclear,Fossil brown coal / lignite,Fossil hard coal,Fossil gas,Fossil oil,"Other, non-renewable",Hydro,Hydro pumped storage,Battery storage (power),Battery storage (capacity),Biomass,Wind offshore,Wind offshore planned (WindSeeG),Wind onshore,Wind onshore planned (EEG 2023),Solar DC,Solar AC,Solar planned (EEG 2023)
2002,23.614,20.304,28.294,20.3,5.3,,4.937,,0.001,0.001,0.722,,,11.976,,0.289,0.278,
2003,22.114,20.899,28.624,19.534,5.056,,4.953,,0.001,0.001,0.915,,,14.381,,0.434,0.412,
2004,21.471,20.8,30.396,19.384,5.635,,5.186,,0.001,0.001,1.368,,,16.419,,1.085,1.01,
2005,21.405,20.642,27.639,20.622,5.457,,5.21,,0.001,0.002,1.823,,,18.248,,2.008,1.875,
2006,21.227,20.51,26.959,21.202,5.491,,5.193,,0.001,0.002,2.519,,,20.474,,2.851,2.665,
2007,21.333,21.163,27.504,21.303,5.448,,5.137,,0.002,0.002,3.104,,,22.116,,4.102,3.849,
2008,21.6,21.019,27.869,22.756,5.351,,5.164,,0.003,0.003,3.506,,,22.794,,6.077,5.706,
2009,21.52,21.095,27.289,23.147,5.154,,5.34,,0.003,0.004,3.914,0.035,,25.697,,10.512,9.887,
2010,21.52,21.317,28.35,23.758,5.857,,5.407,,0.005,0.006,4.487,0.082,,26.823,,18.092,17.103,
2011,12.075,19.984,25.351,26.214,4.79,2.316,5.174,9.273,0.007,0.008,5.531,0.196,,28.579,,26.068,24.647,
2012,12.075,21.163,24.804,26.604,4.787,2.349,5.205,9.273,0.011,0.014,5.901,0.284,,30.556,,32.924,31.135,
2013,12.075,21.104,25.591,27.744,4.807,2.308,5.277,9.273,0.025,0.034,6.273,0.548,,32.969,,36.055,34.075,
2014,12.075,21.104,25.795,28.945,4.827,2.314,5.293,9.273,0.061,0.081,6.802,1.049,,37.621,,37.82,35.717,
2015,10.8,21.059,28.256,28.688,4.913,2.326,5.301,9.471,0.103,0.142,6.927,3.382,,41.297,,39.236,37.022,
2016,10.8,21.059,27.022,29.984,5.042,2.32,5.314,9.471,0.279,0.344,7.16,4.237,,45.283,,40.735,38.389,
2017,10.8,21.061,24.588,30.346,4.8,2.373,5.325,9.483,0.453,0.586,7.498,5.523,,50.174,,42.403,39.924,
2018,9.516,21.061,23.299,30.654,4.533,2.377,5.337,9.863,0.726,0.986,7.93,6.513,,52.328,,45.408,42.639,
2019,9.516,21.061,22.029,30.49,4.576,2.38,5.346,10.001,1.012,1.445,8.281,7.655,,53.193,,49.418,46.295,
2020,8.114,20.707,23.063,31.121,4.561,2.397,5.363,10.001,1.563,2.335,8.66,7.874,,54.414,,54.56,50.972,
2021,8.114,19.842,18.357,31.928,4.384,2.396,5.296,10.001,2.42,3.721,8.785,7.874,,56.046,,60.265,56.118,
2022,4.056,18.541,18.327,34.058,4.377,2.43,5.41,10.001,4.201,6.351,8.84,8.216,,58.014,,67.842,62.955,
2023,0.0,18.362,18.257,35.729,4.315,2.427,5.411,10.001,8.366,12.462,8.881,8.473,,61.013,,83.3,76.944,
2024,0.0,15.174,15.389,35.677,3.713,2.433,5.415,9.902,12.668,18.67,8.974,9.215,,63.589,69.0,100.788,92.488,88.0
2025,0.0,14.776,15.214,35.346,3.577,2.453,5.415,9.902,16.858,25.447,9.011,9.733,,68.18,,118.049,107.785,
2026,0.0,14.776,15.063,35.314,3.535,2.419,5.32,9.902,20.785,32.406,9.043,10.969,,70.741,84.0,128.732,117.202,128.0
2027,,,,,,,,,,,,,,,,,,
2028,,,,,,,,,,,,,,,99.0,,,172.0
2029,,,,,,,,,,,,,,,,,,
2030,,,,,,,,,,,,,30.0,,115.0,,,215.0
