,price_FR,price_NL,price_BE,price_CH,price_CZ,price_PL,price_DK1,price_DK2
2015-01-01 01:00:00,,,,43.43,24.2,,18.29,18.29
2015-01-01 02:00:00,,,,38.08,22.06,,16.04,16.04
2015-01-01 03:00:00,,,,35.47,20.27,,14.6,14.6
2015-01-01 04:00:00,,,,30.83,19.17,,14.95,14.95
2015-01-01 05:00:00,,,,28.26,17.9,,14.5,14.5
2015-01-01 06:00:00,,,,25.36,17.29,,10.76,10.76
2015-01-01 07:00:00,,,,26.93,17.39,,12.01,12.01
2015-01-01 08:00:00,,,,24.95,15.84,,12.39,12.39
2015-01-01 09:00:00,,,,26.71,18.55,,14.04,14.04
2015-01-01 10:00:00,,,,30.04,21.97,,14.68,14.68
2015-01-01 11:00:00,,,,31.77,23.94,,16.08,16.08
2015-01-01 12:00:00,,,,35.09,24.87,,16.08,16.08
2015-01-01 13:00:00,,,,35.39,24.0,,16.05,25.42
2015-01-01 14:00:00,,,,31.47,23.4,,16.04,26.78
2015-01-01 15:00:00,,,,29.08,23.3,,16.1,27.51
2015-01-01 16:00:00,,,,31.03,25.9,,23.93,28.32
2015-01-01 17:00:00,,,,39.09,30.5,,26.9,28.36
2015-01-01 18:00:00,,,,47.82,29.17,,26.36,28.18
2015-01-01 19:00:00,,,,50.75,27.09,,23.98,27.81
2015-01-01 20:00:00,,,,49.3,22.2,,16.09,16.09
2015-01-01 21:00:00,,,,48.24,18.0,,14.08,14.08
2015-01-01 22:00:00,,,,49.04,16.7,,12.44,12.44
2015-01-01 23:00:00,,,,46.14,10.7,,0.04,0.04
2015-01-02 00:00:00,,,,42.29,0.01,,-12.11,-12.11
2015-01-02 01:00:00,,,,38.1,-0.3,,-19.63,-19.63
2015-01-02 02:00:00,,,,38.03,-3.5,,-19.37,-19.37
2015-01-02 03:00:00,,,,32.06,-4.2,,-31.41,-31.41
2015-01-02 04:00:00,,,,27.66,-3.26,,-31.41,-31.41
2015-01-02 05:00:00,,,,28.0,-0.2,,-13.48,-13.48
2015-01-02 06:00:00,,,,33.44,1.8,,0.08,0.08
2015-01-02 07:00:00,,,,37.1,8.7,,10.06,28.37
2015-01-02 08:00:00,,,,39.34,13.15,,14.25,28.37
2015-01-02 09:00:00,,,,41.82,17.2,,14.56,28.32
2015-01-02 10:00:00,,,,42.19,19.0,,14.64,28.3
2015-01-02 11:00:00,,,,43.0,19.15,,15.08,28.39
2015-01-02 12:00:00,,,,44.02,20.0,,15.41,28.3
2015-01-02 13:00:00,,,,42.48,20.0,,14.52,28.24
2015-01-02 14:00:00,,,,39.12,20.5,,14.7,28.12
2015-01-02 15:00:00,,,,38.05,20.5,,14.66,28.23
2015-01-02 16:00:00,,,,39.49,23.0,,16.09,28.59
2015-01-02 17:00:00,,,,47.91,26.0,,25.1,28.73
2015-01-02 18:00:00,,,,52.88,25.5,,25.06,28.48
2015-01-02 19:00:00,,,,52.96,23.0,,18.34,28.38
2015-01-02 20:00:00,,,,49.91,17.2,,14.26,15.0
2015-01-02 21:00:00,,,,48.93,14.0,,12.22,12.22
2015-01-02 22:00:00,,,,50.0,11.65,,8.0,10.4
2015-01-02 23:00:00,,,,49.86,5.0,,-0.33,-0.33
2015-01-03 00:00:00,,,,39.48,0.59,,-0.08,-0.08
2015-01-03 01:00:00,,,,37.01,-0.7,,-0.07,-0.07
2015-01-03 02:00:00,,,,35.61,-2.0,,-5.03,-5.03
2015-01-03 03:00:00,,,,29.28,-1.06,,0.01,0.01
2015-01-03 04:00:00,,,,26.24,0.25,,-0.04,-0.04
2015-01-03 05:00:00,,,,25.82,0.99,,0.03,0.03
2015-01-03 06:00:00,,,,26.75,5.26,,-8.67,-8.67
2015-01-03 07:00:00,,,,30.84,11.84,,4.46,4.46
2015-01-03 08:00:00,,,,35.78,15.3,,9.9,9.9
2015-01-03 09:00:00,,,,37.2,19.05,,14.29,14.29
2015-01-03 10:00:00,,,,36.44,22.37,,16.73,16.73
2015-01-03 11:00:00,,,,36.74,23.59,,22.31,22.31
2015-01-03 12:00:00,,,,37.07,24.22,,23.03,23.03
2015-01-03 13:00:00,,,,37.0,24.0,,22.4,22.4
2015-01-03 14:00:00,,,,33.76,26.94,,27.07,27.81
2015-01-03 15:00:00,,,,31.07,29.4,,28.29,28.37
2015-01-03 16:00:00,,,,31.48,31.96,,28.6,29.23
2015-01-03 17:00:00,,,,40.09,38.22,,28.88,29.53
2015-01-03 18:00:00,,,,46.36,40.0,,28.78,29.75
2015-01-03 19:00:00,,,,48.95,36.4,,28.54,29.46
2015-01-03 20:00:00,,,,48.04,29.7,,28.34,28.69
2015-01-03 21:00:00,,,,46.0,25.3,,27.26,27.93
2015-01-03 22:00:00,,,,43.66,20.29,,27.7,27.7
2015-01-03 23:00:00,,,,37.48,12.54,,14.27,14.27
2015-01-04 00:00:00,,,,36.41,5.0,,9.32,9.32
2015-01-04 01:00:00,,,,31.46,3.0,,0.1,0.1
2015-01-04 02:00:00,,,,24.97,2.0,,0.1,0.1
2015-01-04 03:00:00,,,,14.42,0.0,,0.1,0.1
2015-01-04 04:00:00,,,,11.03,0.01,,0.11,0.11
2015-01-04 05:00:00,,,,13.77,-1.45,,6.8,6.8
2015-01-04 06:00:00,,,,16.44,-2.0,,14.95,14.95
2015-01-04 07:00:00,,,,17.79,0.82,,25.49,25.49
2015-01-04 08:00:00,,,,18.86,6.5,,26.28,27.63
2015-01-04 09:00:00,,,,28.83,12.0,,27.32,28.03
2015-01-04 10:00:00,,,,33.02,14.5,,27.56,28.24
2015-01-04 11:00:00,,,,35.64,18.44,28.32,27.32,28.32
2015-01-04 12:00:00,,,,37.3,17.36,28.24,27.08,28.24
2015-01-04 13:00:00,,,,35.41,14.76,28.27,26.33,28.27
2015-01-04 14:00:00,,,,30.34,14.7,28.32,27.42,28.32
2015-01-04 15:00:00,,,,26.52,16.0,28.7,28.37,28.7
