,Hydro pumped storage consumption,Cross border electricity trading,Nuclear,Hydro Run-of-River,Biomass,Fossil brown coal / lignite,Fossil hard coal,Fossil oil,Fossil gas,Geothermal,Hydro water reservoir,Hydro pumped storage,Others,Waste,Wind offshore,Wind onshore,Solar,Load,Residual load,Renewable share of load,Renewable share of generation,Fossil coal-derived gas
2015-01-01 01:00:00,-520.35,-9314.1,11748.3,1520.175,4655.625,15992.95,3298.1,174.175,2350.95,9.025,88.175,409.2,293.4,580.625,520.75,9028.800000000001,0.0,43833.075,34283.525,36.7,32.0,
2015-01-01 02:00:00,-984.6,-9403.2,11684.55,1509.225,4690.4,15466.5,3123.525,172.725,2186.5,9.0,55.875,255.825,315.6,567.475,519.0,9190.925,0.0,42322.125,32612.2,38.35,32.8,
2015-01-01 03:00:00,-1372.9,-9528.9,11686.425,1504.725,4712.975,14691.3,3281.675,173.2,2216.65,9.05,43.300000000000004,169.625,276.1,597.45,522.5,9135.85,0.0,40965.9,31307.525,39.525,33.175,
2015-01-01 04:00:00,-1777.5,-9785.1,11617.0,1497.625,4713.075,14733.15,3452.5249999999996,174.275,2243.85,9.05,38.85,123.32499999999999,266.475,596.2,524.575,9223.2,0.05,40283.575,30535.7,40.4,33.15,
2015-01-01 05:00:00,-2396.3,-9222.7,11334.675,1492.05,4705.625,14064.55,3110.8,174.9,2297.3,9.05,39.325,141.4,266.875,585.975,524.3499999999999,9561.8,0.2,39621.65,29535.325,41.875,34.475,
2015-01-01 06:00:00,-2837.15,-9433.9,10914.725,1490.3,4692.05,12947.05,3328.925,174.725,2344.4,9.1,44.725,29.875,275.05,577.55,526.075,10078.7,0.2,38195.25,27590.325,44.775,36.075,
2015-01-01 07:00:00,-2850.8500000000004,-9357.8,10634.675,1484.35,4678.725,12590.775,3494.25,174.725,2365.6,9.1,50.75,20.475,312.125,588.475,525.4,10584.2,0.275,38488.525,27378.625,45.75,37.075,
2015-01-01 08:00:00,-2734.625,-9426.6,10857.65,1483.875,4686.85,12948.3,3549.275,174.65,2398.4,9.1,14.65,12.475,316.125,566.125,530.275,10573.35,53.975,39194.175,28036.6,44.925,36.575,
2015-01-01 09:00:00,-2128.325,-9223.4,10661.2,1495.55,4713.325,13359.325,3347.3,174.2,2406.5,8.675,12.625,12.35,324.675,572.625,532.5,10642.45,743.05,41783.775,29865.75,44.05,37.55,
2015-01-01 10:00:00,-1684.65,-9512.0,10684.5,1504.375,4714.925,13285.975,3586.675,174.52499999999998,2398.05,5.875,7.05,50.65,327.225,572.575,530.275,11046.85,2040.025,44625.75,31008.625,45.05,39.5,
