date,auction_name,eua_price_eur_t
2012-01-03 00:00:00,DE,6.31
2012-01-10 00:00:00,DE,6.83
2012-01-17 00:00:00,DE,6.68
2012-01-24 00:00:00,DE,6.9
2012-01-26 00:00:00,LT,7.46
2012-01-31 00:00:00,DE,7.66
2012-02-07 00:00:00,DE,8.42
2012-02-14 00:00:00,DE,7.6
2012-02-21 00:00:00,DE,8.58
2012-02-23 00:00:00,NL,8.81
2012-02-28 00:00:00,DE,9.17
2012-03-06 00:00:00,DE,8.44
2012-03-13 00:00:00,DE,7.65
2012-03-15 00:00:00,LT,7.8
2012-03-20 00:00:00,DE,7.25
2012-03-22 00:00:00,NL,6.95
2012-03-27 00:00:00,DE,6.9
2012-04-03 00:00:00,DE,6.0
2012-04-10 00:00:00,DE,6.54
2012-04-17 00:00:00,DE,6.97
2012-04-19 00:00:00,NL,7.02
2012-04-24 00:00:00,DE,7.06
2012-05-08 00:00:00,DE,6.5
2012-05-15 00:00:00,DE,6.49
2012-05-22 00:00:00,DE,6.65
2012-05-29 00:00:00,DE,6.55
2012-06-05 00:00:00,DE,6.27
2012-06-12 00:00:00,DE,6.54
2012-06-14 00:00:00,NL,6.59
2012-06-19 00:00:00,DE,7.39
2012-06-26 00:00:00,DE,8.0
2012-07-03 00:00:00,DE,8.11
2012-07-10 00:00:00,DE,7.87
2012-07-17 00:00:00,DE,7.68
2012-07-24 00:00:00,DE,7.13
2012-07-31 00:00:00,DE,6.64
2012-08-07 00:00:00,DE,7.21
2012-08-14 00:00:00,DE,7.51
2012-08-21 00:00:00,DE,7.6
2012-08-28 00:00:00,DE,8.25
2012-09-04 00:00:00,DE,8.24
2012-09-11 00:00:00,DE,7.72
2012-09-18 00:00:00,DE,7.25
2012-09-25 00:00:00,DE,7.21
2012-10-02 00:00:00,DE,7.79
2012-10-09 00:00:00,DE,7.85
2012-10-11 00:00:00,CZ,7.59
2012-10-16 00:00:00,DE,7.76
2012-10-23 00:00:00,DE,7.85
2012-10-26 00:00:00,DE,7.54
2012-10-30 00:00:00,DE,8.12
2012-10-31 00:00:00,DE,7.01
2012-11-02 00:00:00,DE,7.96
2012-11-06 00:00:00,DE,8.24
2012-11-09 00:00:00,DE,8.2
2012-11-13 00:00:00,DE,8.53
2012-11-13 00:00:00,EU,8.49
2012-11-15 00:00:00,EU,7.3
2012-11-16 00:00:00,DE,6.75
2012-11-20 00:00:00,DE,6.56
2012-11-20 00:00:00,EU,6.47
2012-11-22 00:00:00,EU,6.64
2012-11-23 00:00:00,DE,6.75
2012-11-27 00:00:00,EU,6.7
2012-11-29 00:00:00,EU,6.68
2012-11-30 00:00:00,DE,6.23
2012-12-04 00:00:00,EU,5.82
2012-12-06 00:00:00,EU,6.3
2012-12-07 00:00:00,DE,6.42
2012-12-10 00:00:00,HU,6.63
2012-12-11 00:00:00,EU,6.91
2012-12-13 00:00:00,EU,6.55
2012-12-14 00:00:00,DE,6.57
2012-12-17 00:00:00,HU,6.29
2012-12-18 00:00:00,EU,6.45
2013-01-07 00:00:00,EU,6.18
2013-01-08 00:00:00,EU,6.35
2013-01-10 00:00:00,EU,5.93
2013-01-11 00:00:00,DE,5.75
2013-01-14 00:00:00,EU,5.55
2013-01-15 00:00:00,EU,5.77
2013-01-17 00:00:00,EU,5.36
2013-01-21 00:00:00,EU,4.7
2013-01-22 00:00:00,EU,4.88
2013-01-24 00:00:00,EU,4.58
2013-01-25 00:00:00,DE,3.88
2013-01-28 00:00:00,EU,3.9
2013-01-29 00:00:00,EU,3.88
2013-01-31 00:00:00,EU,3.43
2013-02-01 00:00:00,DE,3.15
2013-02-04 00:00:00,EU,4.0
2013-02-05 00:00:00,EU,4.1
2013-02-07 00:00:00,EU,4.24
2013-02-08 00:00:00,DE,4.32
2013-02-11 00:00:00,EU,4.19
2013-02-12 00:00:00,EU,4.44
2013-02-14 00:00:00,EU,5.0
2013-02-15 00:00:00,DE,4.96
2013-02-18 00:00:00,EU,5.14
2013-02-19 00:00:00,EU,4.31
2013-02-21 00:00:00,EU,4.68
2013-02-25 00:00:00,EU,4.76
2013-02-26 00:00:00,EU,4.13
2013-02-26 00:00:00,XF,4.29
2013-02-28 00:00:00,EU,4.38
2013-03-01 00:00:00,DE,4.64
2013-03-04 00:00:00,EU,4.54
2013-03-05 00:00:00,EU,4.41
2013-03-05 00:00:00,XF,4.34
2013-03-07 00:00:00,EU,4.12
2013-03-08 00:00:00,DE,4.15
2013-03-11 00:00:00,EU,4.01
