origin,hour,y_true,y_pred,model
2017-10-13,0,30.53,26.46154746687909,ALL
2017-10-13,1,29.38,26.949596629451754,ALL
2017-10-13,2,28.34,26.490026638819582,ALL
2017-10-13,3,28.46,24.90748566519436,ALL
2017-10-13,4,29.03,25.700768011993535,ALL
2017-10-13,5,31.47,30.32150709472895,ALL
2017-10-13,6,43.08,41.79492974810072,ALL
2017-10-13,7,59.93,50.22548613847528,ALL
2017-10-13,8,64.82,53.437733293067836,ALL
2017-10-13,9,50.81,51.64526770127958,ALL
2017-10-13,10,46.46,46.44978569921838,ALL
2017-10-13,11,44.4,41.44130370904709,ALL
2017-10-13,12,38.03,33.11912910699765,ALL
2017-10-13,13,33.49,31.942808281711127,ALL
2017-10-13,14,31.29,29.209192154624755,ALL
2017-10-13,15,34.72,30.337401806243754,ALL
2017-10-13,16,36.99,33.42571893035964,ALL
2017-10-13,17,46.45,39.86484998474107,ALL
2017-10-13,18,55.9,43.54295191334886,ALL
2017-10-13,19,49.9,48.26960559353021,ALL
2017-10-13,20,39.27,39.37781442802459,ALL
2017-10-13,21,35.21,33.433094085772964,ALL
2017-10-13,22,31.66,31.80837976202211,ALL
2017-10-13,23,29.63,28.452734860207865,ALL
2017-10-14,0,28.0,29.131472043822246,ALL
2017-10-14,1,26.99,27.231652174516885,ALL
2017-10-14,2,27.41,26.19272696394244,ALL
2017-10-14,3,26.4,24.638213397338017,ALL
2017-10-14,4,26.17,24.650572445224515,ALL
2017-10-14,5,26.1,25.777424919500724,ALL
2017-10-14,6,28.0,25.29436241646796,ALL
2017-10-14,7,33.99,28.478816107450452,ALL
2017-10-14,8,39.42,31.84563149364633,ALL
2017-10-14,9,35.95,32.74705719900907,ALL
2017-10-14,10,28.04,27.172660837999796,ALL
2017-10-14,11,22.86,24.463932266001642,ALL
2017-10-14,12,26.07,20.829009742236167,ALL
2017-10-14,13,12.67,18.95620163467213,ALL
2017-10-14,14,13.31,20.308196181058506,ALL
2017-10-14,15,26.42,22.791927961696224,ALL
2017-10-14,16,31.44,25.689367268267922,ALL
2017-10-14,17,40.02,34.669768705030435,ALL
2017-10-14,18,49.71,42.2222643379091,ALL
2017-10-14,19,52.51,43.64954445726917,ALL
2017-10-14,20,43.97,36.784733515189636,ALL
2017-10-14,21,40.03,35.340827851256556,ALL
2017-10-14,22,39.07,34.18615645494326,ALL
2017-10-14,23,31.43,32.83687590884763,ALL
2017-10-15,0,34.26,29.487739534724625,ALL
2017-10-15,1,31.56,28.321390239366394,ALL
2017-10-15,2,30.41,27.493398982053836,ALL
2017-10-15,3,29.27,25.646814318382987,ALL
2017-10-15,4,29.04,25.60359710834676,ALL
