origin,hour,y_true,y_pred,model
2017-10-13,0,30.53,25.99487465500014,B1+B2
2017-10-13,1,29.38,24.997279627795066,B1+B2
2017-10-13,2,28.34,24.372797093786012,B1+B2
2017-10-13,3,28.46,23.52131666245111,B1+B2
2017-10-13,4,29.03,24.49422105907913,B1+B2
2017-10-13,5,31.47,26.84672968500232,B1+B2
2017-10-13,6,43.08,37.504195659829094,B1+B2
2017-10-13,7,59.93,47.705345897981275,B1+B2
2017-10-13,8,64.82,49.397628552985886,B1+B2
2017-10-13,9,50.81,47.35014924031969,B1+B2
2017-10-13,10,46.46,43.02707863901326,B1+B2
2017-10-13,11,44.4,37.96157434331965,B1+B2
2017-10-13,12,38.03,33.390679966217064,B1+B2
2017-10-13,13,33.49,31.928339370515527,B1+B2
2017-10-13,14,31.29,28.749648473099136,B1+B2
2017-10-13,15,34.72,30.846847268182593,B1+B2
2017-10-13,16,36.99,33.15713696591401,B1+B2
2017-10-13,17,46.45,38.6654562350837,B1+B2
2017-10-13,18,55.9,44.6512246544756,B1+B2
2017-10-13,19,49.9,48.36920239707986,B1+B2
2017-10-13,20,39.27,40.979332705951315,B1+B2
2017-10-13,21,35.21,35.09010094148453,B1+B2
2017-10-13,22,31.66,31.613644886890633,B1+B2
2017-10-13,23,29.63,27.422244409620973,B1+B2
2017-10-14,0,28.0,27.81328412351437,B1+B2
2017-10-14,1,26.99,26.008422014430174,B1+B2
2017-10-14,2,27.41,24.642404955747747,B1+B2
2017-10-14,3,26.4,23.840993845420495,B1+B2
2017-10-14,4,26.17,23.393048186731587,B1+B2
2017-10-14,5,26.1,23.78055219557841,B1+B2
2017-10-14,6,28.0,23.955754388599516,B1+B2
2017-10-14,7,33.99,27.802965854056986,B1+B2
2017-10-14,8,39.42,28.106038074224564,B1+B2
2017-10-14,9,35.95,30.537767813787703,B1+B2
2017-10-14,10,28.04,21.84417435584413,B1+B2
2017-10-14,11,22.86,21.37834043148472,B1+B2
2017-10-14,12,26.07,17.197802008464507,B1+B2
2017-10-14,13,12.67,17.952764172566916,B1+B2
2017-10-14,14,13.31,18.403341939249408,B1+B2
2017-10-14,15,26.42,21.353648617144906,B1+B2
2017-10-14,16,31.44,24.738352895114918,B1+B2
2017-10-14,17,40.02,33.90859645660531,B1+B2
2017-10-14,18,49.71,41.242133711052844,B1+B2
2017-10-14,19,52.51,43.141726312956074,B1+B2
2017-10-14,20,43.97,37.80337307725979,B1+B2
2017-10-14,21,40.03,33.9730624790364,B1+B2
2017-10-14,22,39.07,33.619859552208496,B1+B2
2017-10-14,23,31.43,30.868355924049936,B1+B2
2017-10-15,0,34.26,28.665117000297556,B1+B2
2017-10-15,1,31.56,26.628948670475285,B1+B2
2017-10-15,2,30.41,25.84687201975287,B1+B2
2017-10-15,3,29.27,24.899547209280822,B1+B2
2017-10-15,4,29.04,24.32217323272489,B1+B2
2017-10-15,5,28.91,23.364686723195774,B1+B2
2017-10-15,6,31.18,26.65373672972804,B1+B2
2017-10-15,7,35.9,32.22490132487899,B1+B2
2017-10-15,8,34.22,35.42115532365019,B1+B2
2017-10-15,9,33.24,33.79671561885268,B1+B2
2017-10-15,10,31.58,29.447002225439093,B1+B2
2017-10-15,11,30.97,26.400454477749676,B1+B2
2017-10-15,12,22.77,22.860053042346813,B1+B2
2017-10-15,13,17.07,19.25115988666647,B1+B2
2017-10-15,14,22.44,19.207707424981606,B1+B2
2017-10-15,15,26.63,20.651352123151717,B1+B2
2017-10-15,16,28.03,24.590506135668996,B1+B2
2017-10-15,17,39.38,32.4001375660024,B1+B2
2017-10-15,18,45.05,39.99674710460502,B1+B2
2017-10-15,19,45.04,42.12054695419199,B1+B2
2017-10-15,20,31.75,36.11953370809455,B1+B2
2017-10-15,21,31.73,31.69674478083746,B1+B2
2017-10-15,22,29.09,31.075568845086394,B1+B2
2017-10-15,23,18.4,26.514250079828003,B1+B2
2017-10-16,0,22.99,19.775797535789465,B1+B2
2017-10-16,1,21.26,19.40212374654056,B1+B2
2017-10-16,2,21.86,19.621718145095414,B1+B2
2017-10-16,3,21.79,19.725653197075733,B1+B2
2017-10-16,4,22.93,21.58117285715165,B1+B2
2017-10-16,5,28.9,24.96877770293924,B1+B2
2017-10-16,6,42.0,36.31295528193812,B1+B2
