origin,hour,y_true,y_pred,model
2017-10-13,0,30.53,27.237321139997338,B1+B3
2017-10-13,1,29.38,25.91627889766547,B1+B3
2017-10-13,2,28.34,25.15459991070326,B1+B3
2017-10-13,3,28.46,24.554758989442142,B1+B3
2017-10-13,4,29.03,25.37674903469274,B1+B3
2017-10-13,5,31.47,28.760277544462326,B1+B3
2017-10-13,6,43.08,38.53587323348414,B1+B3
2017-10-13,7,59.93,48.54532257486841,B1+B3
2017-10-13,8,64.82,49.96973688756118,B1+B3
2017-10-13,9,50.81,47.55963957331927,B1+B3
2017-10-13,10,46.46,44.096916145611296,B1+B3
2017-10-13,11,44.4,38.344284547998356,B1+B3
2017-10-13,12,38.03,31.919203123900804,B1+B3
2017-10-13,13,33.49,31.0565914004251,B1+B3
2017-10-13,14,31.29,28.38861393520945,B1+B3
2017-10-13,15,34.72,30.313237715177998,B1+B3
2017-10-13,16,36.99,32.82034166935265,B1+B3
2017-10-13,17,46.45,39.421759716778254,B1+B3
2017-10-13,18,55.9,45.37632536458371,B1+B3
2017-10-13,19,49.9,48.586099184923725,B1+B3
2017-10-13,20,39.27,40.658898015956936,B1+B3
2017-10-13,21,35.21,34.95478717857868,B1+B3
2017-10-13,22,31.66,32.21459274802301,B1+B3
2017-10-13,23,29.63,27.36342746795003,B1+B3
2017-10-14,0,28.0,27.005548995267933,B1+B3
2017-10-14,1,26.99,25.264293663154348,B1+B3
2017-10-14,2,27.41,24.18416684285226,B1+B3
2017-10-14,3,26.4,23.517899619128325,B1+B3
2017-10-14,4,26.17,23.669414928563913,B1+B3
2017-10-14,5,26.1,24.524712612406233,B1+B3
2017-10-14,6,28.0,24.734203752806888,B1+B3
2017-10-14,7,33.99,28.177718024223314,B1+B3
2017-10-14,8,39.42,28.497076920046588,B1+B3
2017-10-14,9,35.95,29.48000306849861,B1+B3
2017-10-14,10,28.04,22.870154392622922,B1+B3
2017-10-14,11,22.86,21.516094649042245,B1+B3
2017-10-14,12,26.07,18.74257118943079,B1+B3
2017-10-14,13,12.67,18.223552659323154,B1+B3
2017-10-14,14,13.31,18.414306218769404,B1+B3
2017-10-14,15,26.42,21.513160295260718,B1+B3
2017-10-14,16,31.44,24.98788554056665,B1+B3
2017-10-14,17,40.02,34.14336515061658,B1+B3
2017-10-14,18,49.71,41.888655670990794,B1+B3
2017-10-14,19,52.51,43.59097468459628,B1+B3
2017-10-14,20,43.97,37.54676918451013,B1+B3
2017-10-14,21,40.03,34.23366647145636,B1+B3
2017-10-14,22,39.07,34.58258387627893,B1+B3
2017-10-14,23,31.43,30.407282759359155,B1+B3
2017-10-15,0,34.26,28.816649264488312,B1+B3
2017-10-15,1,31.56,26.558182715201344,B1+B3
2017-10-15,2,30.41,25.83683250250934,B1+B3
2017-10-15,3,29.27,24.587810161288964,B1+B3
2017-10-15,4,29.04,24.195088871542183,B1+B3
2017-10-15,5,28.91,24.682191364229062,B1+B3
2017-10-15,6,31.18,27.341837860851836,B1+B3
2017-10-15,7,35.9,32.95360680952145,B1+B3
2017-10-15,8,34.22,35.56023737076878,B1+B3
2017-10-15,9,33.24,33.713095797046876,B1+B3
2017-10-15,10,31.58,29.7434492194644,B1+B3
2017-10-15,11,30.97,26.312636754967116,B1+B3
2017-10-15,12,22.77,22.679168814741182,B1+B3
2017-10-15,13,17.07,18.75534174249654,B1+B3
2017-10-15,14,22.44,17.847966514106325,B1+B3
2017-10-15,15,26.63,20.589524129356164,B1+B3
2017-10-15,16,28.03,24.586811939769746,B1+B3
2017-10-15,17,39.38,32.81753504160058,B1+B3
2017-10-15,18,45.05,39.018345501488206,B1+B3
2017-10-15,19,45.04,42.587925620191534,B1+B3
2017-10-15,20,31.75,35.78843324992296,B1+B3
2017-10-15,21,31.73,31.614512889755368,B1+B3
2017-10-15,22,29.09,31.44054069977533,B1+B3
2017-10-15,23,18.4,26.841924106573664,B1+B3
2017-10-16,0,22.99,19.678710687713455,B1+B3
2017-10-16,1,21.26,20.83595611162388,B1+B3
2017-10-16,2,21.86,20.48663268952388,B1+B3
2017-10-16,3,21.79,21.295996269059444,B1+B3
2017-10-16,4,22.93,23.057803455987855,B1+B3
2017-10-16,5,28.9,26.311730431882204,B1+B3
2017-10-16,6,42.0,37.66330934572228,B1+B3
2017-10-16,7,55.34,45.182447264974975,B1+B3
2017-10-16,8,51.65,44.96804680433155,B1+B3
2017-10-16,9,43.12,41.253792315698554,B1+B3
2017-10-16,10,37.3,35.78574597800801,B1+B3
2017-10-16,11,33.16,33.970691351039655,B1+B3
2017-10-16,12,32.26,31.98569911243703,B1+B3
2017-10-16,13,31.68,29.790968809829344,B1+B3
2017-10-16,14,40.56,31.844803460747627,B1+B3
2017-10-16,15,42.5,36.04905186310123,B1+B3
2017-10-16,16,44.62,39.215639843257854,B1+B3
2017-10-16,17,50.9,53.00636251723117,B1+B3
2017-10-16,18,63.47,65.05439328599955,B1+B3
2017-10-16,19,66.73,63.86859358051915,B1+B3
2017-10-16,20,45.95,43.50445584639314,B1+B3
2017-10-16,21,39.05,37.03274861044494,B1+B3
2017-10-16,22,34.07,32.748765768355746,B1+B3
2017-10-16,23,31.11,27.030158659113834,B1+B3
2017-10-17,0,28.95,28.215357084278523,B1+B3
2017-10-17,1,27.02,28.683989027137105,B1+B3
2017-10-17,2,26.99,26.775210164936986,B1+B3
2017-10-17,3,27.04,27.485630292326057,B1+B3
2017-10-17,4,28.06,28.91763882100986,B1+B3
2017-10-17,5,30.57,32.11652335010382,B1+B3
2017-10-17,6,34.99,39.96258117406411,B1+B3
2017-10-17,7,46.16,52.26623278657928,B1+B3
2017-10-17,8,44.97,51.74280383365429,B1+B3
2017-10-17,9,36.95,45.8846553998834,B1+B3
2017-10-17,10,33.46,39.573370928326476,B1+B3
2017-10-17,11,31.34,35.757847516926006,B1+B3
2017-10-17,12,29.24,31.438508338781926,B1+B3
2017-10-17,13,30.22,30.389607798756455,B1+B3
2017-10-17,14,29.72,32.39126419315689,B1+B3
2017-10-17,15,32.8,36.2916942522247,B1+B3
2017-10-17,16,35.47,40.17497898347733,B1+B3
2017-10-17,17,47.92,50.996793593847656,B1+B3
2017-10-17,18,63.36,63.84879873642498,B1+B3
2017-10-17,19,67.92,65.93200456595024,B1+B3
2017-10-17,20,47.38,48.99978863671284,B1+B3
2017-10-17,21,43.61,41.62275540053805,B1+B3
2017-10-17,22,39.99,40.045883078623305,B1+B3
2017-10-17,23,36.79,35.109505158486755,B1+B3
2017-10-18,0,33.22,35.206198392782994,B1+B3
2017-10-18,1,34.02,35.27761337351883,B1+B3
2017-10-18,2,34.02,35.93892437484,B1+B3
2017-10-18,3,31.89,35.49522304317808,B1+B3
2017-10-18,4,31.81,37.63078302444477,B1+B3
2017-10-18,5,36.03,41.562106481017516,B1+B3
2017-10-18,6,49.87,51.023020243861836,B1+B3
2017-10-18,7,66.0,63.75999464304879,B1+B3
2017-10-18,8,69.94,64.25820110488793,B1+B3
2017-10-18,9,67.91,58.764916276137086,B1+B3
2017-10-18,10,64.42,52.5115187729148,B1+B3
2017-10-18,11,63.08,48.638097618522494,B1+B3
2017-10-18,12,47.93,43.17972737416107,B1+B3
2017-10-18,13,45.97,41.7272503440371,B1+B3
2017-10-18,14,46.07,42.77044053309883,B1+B3
2017-10-18,15,55.84,48.43744250286851,B1+B3
2017-10-18,16,62.65,53.87208011755455,B1+B3
2017-10-18,17,65.66,66.80172185295608,B1+B3
2017-10-18,18,73.41,84.86658451505458,B1+B3
2017-10-18,19,83.02,93.13535502375132,B1+B3
2017-10-18,20,66.84,59.727660151653694,B1+B3
2017-10-18,21,54.27,49.174676280867324,B1+B3
2017-10-18,22,40.45,46.701181744255976,B1+B3
2017-10-18,23,36.94,39.2643221302995,B1+B3
2017-10-19,0,34.28,35.77162210490343,B1+B3
2017-10-19,1,34.26,35.32580540699021,B1+B3
2017-10-19,2,33.59,34.02533804537178,B1+B3
2017-10-19,3,33.74,33.82995444375334,B1+B3
2017-10-19,4,34.0,33.119602441607945,B1+B3
2017-10-19,5,34.89,37.560364391961755,B1+B3
2017-10-19,6,53.71,49.328305735102234,B1+B3
2017-10-19,7,67.66,61.18571794921642,B1+B3
2017-10-19,8,68.54,66.73559466423735,B1+B3
2017-10-19,9,67.82,59.25283988625705,B1+B3
2017-10-19,10,62.07,50.85680860940823,B1+B3
2017-10-19,11,49.97,45.949745532008095,B1+B3
2017-10-19,12,46.57,39.35445261400232,B1+B3
2017-10-19,13,41.55,37.37414321279236,B1+B3
2017-10-19,14,40.53,38.106003477050415,B1+B3
2017-10-19,15,43.63,42.53262744470645,B1+B3
2017-10-19,16,49.91,45.43444583640395,B1+B3
2017-10-19,17,58.01,54.42696358255086,B1+B3
2017-10-19,18,61.27,60.990935880754535,B1+B3
2017-10-19,19,54.3,59.24194550422356,B1+B3
2017-10-19,20,41.55,43.362020875052494,B1+B3
2017-10-19,21,34.6,36.29447081987603,B1+B3
2017-10-19,22,34.87,33.92999349972658,B1+B3
2017-10-19,23,31.04,30.433260903486953,B1+B3
2017-10-20,0,29.62,28.79350869950337,B1+B3
2017-10-20,1,29.02,27.59279208250939,B1+B3
2017-10-20,2,29.06,26.69469772110137,B1+B3
2017-10-20,3,29.88,26.551650337131534,B1+B3
2017-10-20,4,30.0,27.850065660928035,B1+B3
2017-10-20,5,31.01,29.996190216283647,B1+B3
2017-10-20,6,39.91,36.408262180659314,B1+B3
2017-10-20,7,47.05,47.04340393870572,B1+B3
2017-10-20,8,51.28,48.68613503652715,B1+B3
2017-10-20,9,47.0,45.65415257873686,B1+B3
2017-10-20,10,43.14,41.617090333055636,B1+B3
2017-10-20,11,41.28,41.039744074098145,B1+B3
2017-10-20,12,37.59,37.080398260778594,B1+B3
2017-10-20,13,33.06,34.25568059991191,B1+B3
2017-10-20,14,32.89,32.16123951424023,B1+B3
2017-10-20,15,32.61,36.0364145011964,B1+B3
2017-10-20,16,33.04,38.748077144348784,B1+B3
2017-10-20,17,44.61,44.992315244631406,B1+B3
2017-10-20,18,47.86,48.5215393731563,B1+B3
2017-10-20,19,46.94,49.30260149621212,B1+B3
2017-10-20,20,38.98,39.92690433549466,B1+B3
2017-10-20,21,41.84,36.16294297850718,B1+B3
2017-10-20,22,35.86,35.54699566183042,B1+B3
2017-10-20,23,32.74,31.148563932713017,B1+B3
2017-10-21,0,35.0,30.855296194363177,B1+B3
2017-10-21,1,32.52,29.59540368078993,B1+B3
2017-10-21,2,32.05,30.109809446497046,B1+B3
2017-10-21,3,30.84,30.464290869911583,B1+B3
2017-10-21,4,29.35,30.64346829784217,B1+B3
2017-10-21,5,30.3,31.473330779663524,B1+B3
2017-10-21,6,31.16,34.6861280146871,B1+B3
2017-10-21,7,35.88,37.60237208767522,B1+B3
2017-10-21,8,41.91,42.439934167592746,B1+B3
2017-10-21,9,46.07,44.39812138545324,B1+B3
2017-10-21,10,47.71,45.46290569525365,B1+B3
2017-10-21,11,45.98,42.68767423654758,B1+B3
2017-10-21,12,35.0,38.88400465919429,B1+B3
2017-10-21,13,31.02,33.8362894832857,B1+B3
2017-10-21,14,32.09,34.33659369644829,B1+B3
2017-10-21,15,32.0,33.33178147548532,B1+B3
2017-10-21,16,32.09,33.66907683512886,B1+B3
2017-10-21,17,36.56,39.537083335812056,B1+B3
2017-10-21,18,40.2,44.957657130856056,B1+B3
2017-10-21,19,40.71,42.97446008305053,B1+B3
2017-10-21,20,31.75,37.36161892507484,B1+B3
2017-10-21,21,28.59,32.74649532272848,B1+B3
2017-10-21,22,27.5,30.53168778899022,B1+B3
2017-10-21,23,15.48,25.996210076543775,B1+B3
2017-10-22,0,19.1,17.700074097203185,B1+B3
2017-10-22,1,19.03,14.2962380181939,B1+B3
2017-10-22,2,16.9,13.406754158599194,B1+B3
2017-10-22,3,12.98,11.277195403811909,B1+B3
2017-10-22,4,9.24,12.04091895690235,B1+B3
2017-10-22,5,5.23,13.465454184621622,B1+B3
2017-10-22,6,9.86,9.592262801040679,B1+B3
2017-10-22,7,9.85,11.818496061068029,B1+B3
2017-10-22,8,13.04,15.755206239916387,B1+B3
2017-10-22,9,12.9,16.061534576319985,B1+B3
2017-10-22,10,13.09,15.711110491620492,B1+B3
2017-10-22,11,14.3,19.626939541655275,B1+B3
2017-10-22,12,13.58,21.121131286960562,B1+B3
2017-10-22,13,13.44,18.035515692135096,B1+B3
2017-10-22,14,13.5,20.920444068976778,B1+B3
2017-10-22,15,23.39,23.102386050701078,B1+B3
2017-10-22,16,28.65,26.13031728722209,B1+B3
2017-10-22,17,34.45,33.67102623650589,B1+B3
2017-10-22,18,49.9,41.480260804937686,B1+B3
2017-10-22,19,49.97,43.39043306517554,B1+B3
