origin,hour,y_true,y_pred,model
2017-10-13,0,30.53,27.301058066969254,B1+B5
2017-10-13,1,29.38,26.01269702605931,B1+B5
2017-10-13,2,28.34,25.365503360547045,B1+B5
2017-10-13,3,28.46,24.475318863114833,B1+B5
2017-10-13,4,29.03,25.35732775324702,B1+B5
2017-10-13,5,31.47,28.908889741974313,B1+B5
2017-10-13,6,43.08,38.818030163379476,B1+B5
2017-10-13,7,59.93,48.8477239687592,B1+B5
2017-10-13,8,64.82,50.47518556032302,B1+B5
2017-10-13,9,50.81,47.009823738222934,B1+B5
2017-10-13,10,46.46,43.835512858849114,B1+B5
2017-10-13,11,44.4,38.529638671603905,B1+B5
2017-10-13,12,38.03,32.377806215608715,B1+B5
2017-10-13,13,33.49,29.602474181452386,B1+B5
2017-10-13,14,31.29,28.601712643920383,B1+B5
2017-10-13,15,34.72,29.755470564004664,B1+B5
2017-10-13,16,36.99,32.841744553770944,B1+B5
2017-10-13,17,46.45,38.661593615229215,B1+B5
2017-10-13,18,55.9,45.07563416816416,B1+B5
2017-10-13,19,49.9,48.325540020469575,B1+B5
2017-10-13,20,39.27,40.33152718563131,B1+B5
2017-10-13,21,35.21,35.29040225354297,B1+B5
2017-10-13,22,31.66,31.827703822095913,B1+B5
2017-10-13,23,29.63,27.321984167107974,B1+B5
2017-10-14,0,28.0,27.657137091332793,B1+B5
2017-10-14,1,26.99,25.88319580701737,B1+B5
2017-10-14,2,27.41,24.488848509324033,B1+B5
2017-10-14,3,26.4,24.093917401428783,B1+B5
2017-10-14,4,26.17,24.051381255686223,B1+B5
2017-10-14,5,26.1,24.801737291182903,B1+B5
2017-10-14,6,28.0,25.60351919622943,B1+B5
2017-10-14,7,33.99,28.41791854752358,B1+B5
2017-10-14,8,39.42,30.32971621827368,B1+B5
2017-10-14,9,35.95,30.237936960335833,B1+B5
2017-10-14,10,28.04,24.32270119732258,B1+B5
2017-10-14,11,22.86,22.540095340455014,B1+B5
2017-10-14,12,26.07,18.65952930194072,B1+B5
2017-10-14,13,12.67,18.242470068708805,B1+B5
2017-10-14,14,13.31,18.45715355594649,B1+B5
2017-10-14,15,26.42,21.31950013929084,B1+B5
2017-10-14,16,31.44,24.97393855945255,B1+B5
2017-10-14,17,40.02,34.69281569959622,B1+B5
2017-10-14,18,49.71,42.36337769823262,B1+B5
2017-10-14,19,52.51,43.921421982174444,B1+B5
2017-10-14,20,43.97,37.61448984869612,B1+B5
2017-10-14,21,40.03,34.29999034081238,B1+B5
2017-10-14,22,39.07,34.400234569370106,B1+B5
2017-10-14,23,31.43,30.358356723318845,B1+B5
2017-10-15,0,34.26,29.26155724131007,B1+B5
2017-10-15,1,31.56,27.01057734272257,B1+B5
2017-10-15,2,30.41,25.868506921358538,B1+B5
2017-10-15,3,29.27,25.055468351643587,B1+B5
2017-10-15,4,29.04,24.721451931885902,B1+B5
2017-10-15,5,28.91,25.20424292100462,B1+B5
2017-10-15,6,31.18,28.583185657683032,B1+B5
2017-10-15,7,35.9,33.0930758056764,B1+B5
2017-10-15,8,34.22,35.62167794412662,B1+B5
2017-10-15,9,33.24,33.586991649816746,B1+B5
2017-10-15,10,31.58,29.423393300308405,B1+B5
2017-10-15,11,30.97,26.421067039458173,B1+B5
2017-10-15,12,22.77,23.429043278217247,B1+B5
2017-10-15,13,17.07,18.86178124046836,B1+B5
