origin,hour,y_true,y_pred,model
2017-10-13,0,30.53,27.478315299523974,B1+coupling_split
2017-10-13,1,29.38,25.51809275461374,B1+coupling_split
2017-10-13,2,28.34,25.13729030417808,B1+coupling_split
2017-10-13,3,28.46,24.841328281007648,B1+coupling_split
2017-10-13,4,29.03,25.648634978074472,B1+coupling_split
2017-10-13,5,31.47,28.99983236103772,B1+coupling_split
2017-10-13,6,43.08,38.76066255146324,B1+coupling_split
2017-10-13,7,59.93,48.22221170497289,B1+coupling_split
2017-10-13,8,64.82,50.34139372269585,B1+coupling_split
2017-10-13,9,50.81,47.07245216813421,B1+coupling_split
2017-10-13,10,46.46,43.42623633466384,B1+coupling_split
2017-10-13,11,44.4,38.435643061102375,B1+coupling_split
2017-10-13,12,38.03,32.4292339949904,B1+coupling_split
2017-10-13,13,33.49,29.055063991045703,B1+coupling_split
2017-10-13,14,31.29,27.849843341204654,B1+coupling_split
2017-10-13,15,34.72,30.47015265615234,B1+coupling_split
2017-10-13,16,36.99,33.165867763771075,B1+coupling_split
2017-10-13,17,46.45,39.1708874327269,B1+coupling_split
2017-10-13,18,55.9,44.749446918417384,B1+coupling_split
2017-10-13,19,49.9,48.13065061774219,B1+coupling_split
2017-10-13,20,39.27,39.55721367170321,B1+coupling_split
2017-10-13,21,35.21,36.256993902855484,B1+coupling_split
2017-10-13,22,31.66,33.1590189968409,B1+coupling_split
2017-10-13,23,29.63,27.52601033304087,B1+coupling_split
2017-10-14,0,28.0,27.411626509221513,B1+coupling_split
2017-10-14,1,26.99,26.501948442624684,B1+coupling_split
2017-10-14,2,27.41,25.407935915815806,B1+coupling_split
2017-10-14,3,26.4,24.754227694497036,B1+coupling_split
2017-10-14,4,26.17,24.484867386381733,B1+coupling_split
2017-10-14,5,26.1,24.544741109846868,B1+coupling_split
2017-10-14,6,28.0,26.13224015438921,B1+coupling_split
2017-10-14,7,33.99,28.872033643449377,B1+coupling_split
2017-10-14,8,39.42,31.840005551492723,B1+coupling_split
2017-10-14,9,35.95,31.2555979534092,B1+coupling_split
2017-10-14,10,28.04,26.64990736834156,B1+coupling_split
2017-10-14,11,22.86,24.46884189656796,B1+coupling_split
2017-10-14,12,26.07,20.943794037181682,B1+coupling_split
2017-10-14,13,12.67,19.419987257026513,B1+coupling_split
2017-10-14,14,13.31,19.76334792089302,B1+coupling_split
2017-10-14,15,26.42,22.598977681834835,B1+coupling_split
2017-10-14,16,31.44,25.737186388505286,B1+coupling_split
2017-10-14,17,40.02,35.90239199827629,B1+coupling_split
2017-10-14,18,49.71,44.269767489069196,B1+coupling_split
2017-10-14,19,52.51,47.021455459376696,B1+coupling_split
2017-10-14,20,43.97,38.95056792902735,B1+coupling_split
2017-10-14,21,40.03,34.944099992962556,B1+coupling_split
