origin,hour,y_true,y_pred,model
2017-10-13,0,30.53,27.298458184549723,B1+coupling_state
2017-10-13,1,29.38,26.304453427244155,B1+coupling_state
2017-10-13,2,28.34,24.843188749374633,B1+coupling_state
2017-10-13,3,28.46,24.1551649383276,B1+coupling_state
2017-10-13,4,29.03,25.060312636836947,B1+coupling_state
2017-10-13,5,31.47,28.44586840255016,B1+coupling_state
2017-10-13,6,43.08,38.43926974553094,B1+coupling_state
2017-10-13,7,59.93,48.144608666399535,B1+coupling_state
2017-10-13,8,64.82,49.915717606378394,B1+coupling_state
2017-10-13,9,50.81,46.525702406846094,B1+coupling_state
2017-10-13,10,46.46,43.52076239283027,B1+coupling_state
2017-10-13,11,44.4,37.34583283524255,B1+coupling_state
2017-10-13,12,38.03,32.20050430050352,B1+coupling_state
2017-10-13,13,33.49,30.01165425124585,B1+coupling_state
2017-10-13,14,31.29,28.142878741088705,B1+coupling_state
2017-10-13,15,34.72,29.858945455871904,B1+coupling_state
2017-10-13,16,36.99,32.526479747309914,B1+coupling_state
2017-10-13,17,46.45,39.05283172872714,B1+coupling_state
2017-10-13,18,55.9,44.681081978705954,B1+coupling_state
2017-10-13,19,49.9,47.99034333323983,B1+coupling_state
2017-10-13,20,39.27,40.1311628405041,B1+coupling_state
2017-10-13,21,35.21,35.73875021757,B1+coupling_state
2017-10-13,22,31.66,32.98827499189266,B1+coupling_state
2017-10-13,23,29.63,27.492078366829727,B1+coupling_state
2017-10-14,0,28.0,27.708342403426872,B1+coupling_state
2017-10-14,1,26.99,26.058238556463188,B1+coupling_state
2017-10-14,2,27.41,24.842097954275207,B1+coupling_state
2017-10-14,3,26.4,24.346405871151752,B1+coupling_state
2017-10-14,4,26.17,24.78255463763469,B1+coupling_state
2017-10-14,5,26.1,25.14587077212086,B1+coupling_state
2017-10-14,6,28.0,26.163740758036212,B1+coupling_state
2017-10-14,7,33.99,30.22378349058426,B1+coupling_state
2017-10-14,8,39.42,31.795113846891894,B1+coupling_state
2017-10-14,9,35.95,31.453548639750654,B1+coupling_state
2017-10-14,10,28.04,25.5031108021522,B1+coupling_state
2017-10-14,11,22.86,23.05257918753976,B1+coupling_state
2017-10-14,12,26.07,20.346131476852644,B1+coupling_state
2017-10-14,13,12.67,19.147470423103616,B1+coupling_state
2017-10-14,14,13.31,19.596732170252636,B1+coupling_state
2017-10-14,15,26.42,21.89107182006686,B1+coupling_state
2017-10-14,16,31.44,25.993333747763995,B1+coupling_state
2017-10-14,17,40.02,34.91572687748873,B1+coupling_state
2017-10-14,18,49.71,42.15466556167803,B1+coupling_state
2017-10-14,19,52.51,45.214187088887336,B1+coupling_state
2017-10-14,20,43.97,38.306174615145984,B1+coupling_state
2017-10-14,21,40.03,34.27529972596899,B1+coupling_state
2017-10-14,22,39.07,34.13647009657379,B1+coupling_state
2017-10-14,23,31.43,30.25273498352093,B1+coupling_state
2017-10-15,0,34.26,29.197121662739356,B1+coupling_state
2017-10-15,1,31.56,27.527970294091407,B1+coupling_state
2017-10-15,2,30.41,26.618414245256027,B1+coupling_state
2017-10-15,3,29.27,25.61478980247062,B1+coupling_state
2017-10-15,4,29.04,24.382369871381925,B1+coupling_state
2017-10-15,5,28.91,24.181311900714395,B1+coupling_state
2017-10-15,6,31.18,28.301647041104935,B1+coupling_state
2017-10-15,7,35.9,32.71259715081728,B1+coupling_state
2017-10-15,8,34.22,35.99096351845799,B1+coupling_state
2017-10-15,9,33.24,33.59582849031732,B1+coupling_state
2017-10-15,10,31.58,29.344710564417497,B1+coupling_state
2017-10-15,11,30.97,25.090027151237848,B1+coupling_state
2017-10-15,12,22.77,22.13018051893637,B1+coupling_state
2017-10-15,13,17.07,18.025136830451878,B1+coupling_state
2017-10-15,14,22.44,16.297326085773122,B1+coupling_state
2017-10-15,15,26.63,19.51742369262013,B1+coupling_state
2017-10-15,16,28.03,23.110251457423928,B1+coupling_state
2017-10-15,17,39.38,33.185887000819754,B1+coupling_state
2017-10-15,18,45.05,40.57309207768394,B1+coupling_state
2017-10-15,19,45.04,42.15871748715432,B1+coupling_state
2017-10-15,20,31.75,36.031476329554735,B1+coupling_state
2017-10-15,21,31.73,31.708557702978887,B1+coupling_state
2017-10-15,22,29.09,31.119584238811917,B1+coupling_state
2017-10-15,23,18.4,26.162222891463124,B1+coupling_state
2017-10-16,0,22.99,19.686200679010756,B1+coupling_state
2017-10-16,1,21.26,21.133790690246947,B1+coupling_state
2017-10-16,2,21.86,20.502062876281382,B1+coupling_state
2017-10-16,3,21.79,20.546065715148508,B1+coupling_state
2017-10-16,4,22.93,22.44770484715569,B1+coupling_state
2017-10-16,5,28.9,26.322808824240116,B1+coupling_state
2017-10-16,6,42.0,35.96586459967462,B1+coupling_state
2017-10-16,7,55.34,45.35488404460961,B1+coupling_state
2017-10-16,8,51.65,44.59883691554719,B1+coupling_state
2017-10-16,9,43.12,41.773359614668244,B1+coupling_state
2017-10-16,10,37.3,36.71207905179423,B1+coupling_state
2017-10-16,11,33.16,35.291003661180106,B1+coupling_state
2017-10-16,12,32.26,31.614397516629673,B1+coupling_state
2017-10-16,13,31.68,29.714182912946054,B1+coupling_state
2017-10-16,14,40.56,32.15540774496533,B1+coupling_state
2017-10-16,15,42.5,36.11407023303318,B1+coupling_state
2017-10-16,16,44.62,39.08412931144865,B1+coupling_state
2017-10-16,17,50.9,51.31859895839234,B1+coupling_state
2017-10-16,18,63.47,60.85404294139742,B1+coupling_state
2017-10-16,19,66.73,60.13413456653029,B1+coupling_state
2017-10-16,20,45.95,41.89517180417023,B1+coupling_state
2017-10-16,21,39.05,35.546493407697874,B1+coupling_state
2017-10-16,22,34.07,32.18210652126549,B1+coupling_state
2017-10-16,23,31.11,26.56302422841105,B1+coupling_state
2017-10-17,0,28.95,28.424597408424223,B1+coupling_state
2017-10-17,1,27.02,27.772658023674516,B1+coupling_state
2017-10-17,2,26.99,26.468451894342106,B1+coupling_state
2017-10-17,3,27.04,26.252707234235196,B1+coupling_state
2017-10-17,4,28.06,27.91040401746049,B1+coupling_state
2017-10-17,5,30.57,30.308190426942875,B1+coupling_state
2017-10-17,6,34.99,37.7627285488594,B1+coupling_state
2017-10-17,7,46.16,47.93736136988326,B1+coupling_state
2017-10-17,8,44.97,46.56284004286425,B1+coupling_state
2017-10-17,9,36.95,43.584740131840846,B1+coupling_state
2017-10-17,10,33.46,38.417533576492445,B1+coupling_state
2017-10-17,11,31.34,34.719992598437244,B1+coupling_state
2017-10-17,12,29.24,30.930926544873795,B1+coupling_state
2017-10-17,13,30.22,29.241241207595827,B1+coupling_state
2017-10-17,14,29.72,31.214733311726075,B1+coupling_state
2017-10-17,15,32.8,35.28361779538005,B1+coupling_state
2017-10-17,16,35.47,39.09361446807612,B1+coupling_state
2017-10-17,17,47.92,48.77953670266557,B1+coupling_state
2017-10-17,18,63.36,57.809062948774624,B1+coupling_state
2017-10-17,19,67.92,59.41943387940438,B1+coupling_state
2017-10-17,20,47.38,46.12196162997,B1+coupling_state
2017-10-17,21,43.61,39.43671839723734,B1+coupling_state
2017-10-17,22,39.99,37.754904593099816,B1+coupling_state
2017-10-17,23,36.79,33.9620947158004,B1+coupling_state
2017-10-18,0,33.22,34.65578714005668,B1+coupling_state
2017-10-18,1,34.02,34.742829510154266,B1+coupling_state
2017-10-18,2,34.02,36.260656842000444,B1+coupling_state
2017-10-18,3,31.89,35.703381038802405,B1+coupling_state
2017-10-18,4,31.81,37.69318928541875,B1+coupling_state
2017-10-18,5,36.03,41.09461676670294,B1+coupling_state
2017-10-18,6,49.87,49.534096092929104,B1+coupling_state
2017-10-18,7,66.0,60.59174039461348,B1+coupling_state
2017-10-18,8,69.94,63.474252083079236,B1+coupling_state
2017-10-18,9,67.91,58.346970303876645,B1+coupling_state
2017-10-18,10,64.42,51.828886079705626,B1+coupling_state
2017-10-18,11,63.08,47.851425914606565,B1+coupling_state
2017-10-18,12,47.93,42.16400991163481,B1+coupling_state
2017-10-18,13,45.97,40.548122980640215,B1+coupling_state
2017-10-18,14,46.07,42.667753479545674,B1+coupling_state
2017-10-18,15,55.84,46.75775398651261,B1+coupling_state
2017-10-18,16,62.65,51.51564239573624,B1+coupling_state
2017-10-18,17,65.66,67.98739373669015,B1+coupling_state
2017-10-18,18,73.41,82.32284493255979,B1+coupling_state
2017-10-18,19,83.02,87.02668320227967,B1+coupling_state
2017-10-18,20,66.84,56.33843671477378,B1+coupling_state
2017-10-18,21,54.27,47.49137353840432,B1+coupling_state
2017-10-18,22,40.45,43.50158402187126,B1+coupling_state
2017-10-18,23,36.94,37.97425517226238,B1+coupling_state
2017-10-19,0,34.28,37.198177224201515,B1+coupling_state
2017-10-19,1,34.26,38.4485618641269,B1+coupling_state
2017-10-19,2,33.59,37.16178552113019,B1+coupling_state
2017-10-19,3,33.74,36.4918037849829,B1+coupling_state
2017-10-19,4,34.0,35.565543899602375,B1+coupling_state
2017-10-19,5,34.89,39.07162966024584,B1+coupling_state
2017-10-19,6,53.71,51.4739707454455,B1+coupling_state
2017-10-19,7,67.66,61.38373827080518,B1+coupling_state
2017-10-19,8,68.54,63.83297776455821,B1+coupling_state
2017-10-19,9,67.82,58.59122645620595,B1+coupling_state
2017-10-19,10,62.07,50.418948388519055,B1+coupling_state
2017-10-19,11,49.97,45.44193753198792,B1+coupling_state
2017-10-19,12,46.57,39.07840539886091,B1+coupling_state
2017-10-19,13,41.55,38.27299895845846,B1+coupling_state
2017-10-19,14,40.53,37.90984109695364,B1+coupling_state
2017-10-19,15,43.63,43.2032492307764,B1+coupling_state
2017-10-19,16,49.91,45.84172774613471,B1+coupling_state
2017-10-19,17,58.01,55.023236419119314,B1+coupling_state
2017-10-19,18,61.27,60.670568303874944,B1+coupling_state
