origin,hour,y_true,y_pred,model
2017-10-13,0,30.53,26.94615979494598,B1+headroom
2017-10-13,1,29.38,24.726608287889558,B1+headroom
2017-10-13,2,28.34,24.40461252028438,B1+headroom
2017-10-13,3,28.46,23.450870486856036,B1+headroom
2017-10-13,4,29.03,24.254992692120066,B1+headroom
2017-10-13,5,31.47,27.825462310185284,B1+headroom
2017-10-13,6,43.08,36.92330946072239,B1+headroom
2017-10-13,7,59.93,47.168978672003334,B1+headroom
2017-10-13,8,64.82,48.455274121158595,B1+headroom
2017-10-13,9,50.81,46.46836448589046,B1+headroom
2017-10-13,10,46.46,42.196622325340286,B1+headroom
2017-10-13,11,44.4,37.400564472480525,B1+headroom
2017-10-13,12,38.03,31.849878685452502,B1+headroom
2017-10-13,13,33.49,28.906102750445633,B1+headroom
2017-10-13,14,31.29,27.657556264537355,B1+headroom
2017-10-13,15,34.72,28.75064913229366,B1+headroom
2017-10-13,16,36.99,32.46165667019203,B1+headroom
2017-10-13,17,46.45,37.73449702399205,B1+headroom
2017-10-13,18,55.9,44.21141936221385,B1+headroom
2017-10-13,19,49.9,47.358277785152445,B1+headroom
2017-10-13,20,39.27,40.154362837721045,B1+headroom
2017-10-13,21,35.21,34.82066133333429,B1+headroom
2017-10-13,22,31.66,32.33376015871048,B1+headroom
2017-10-13,23,29.63,27.422465317681826,B1+headroom
2017-10-14,0,28.0,27.584104742400346,B1+headroom
2017-10-14,1,26.99,26.135833459449724,B1+headroom
2017-10-14,2,27.41,24.781589401001145,B1+headroom
2017-10-14,3,26.4,24.389814311454316,B1+headroom
2017-10-14,4,26.17,23.882106749171715,B1+headroom
2017-10-14,5,26.1,24.454186394043077,B1+headroom
2017-10-14,6,28.0,25.226214257918098,B1+headroom
2017-10-14,7,33.99,28.45230146317462,B1+headroom
2017-10-14,8,39.42,30.244247395903884,B1+headroom
2017-10-14,9,35.95,30.650618127871965,B1+headroom
2017-10-14,10,28.04,24.103529377487995,B1+headroom
2017-10-14,11,22.86,22.64500410719561,B1+headroom
2017-10-14,12,26.07,18.809358256843282,B1+headroom
2017-10-14,13,12.67,17.65182832833239,B1+headroom
2017-10-14,14,13.31,17.931493913669048,B1+headroom
2017-10-14,15,26.42,20.951371751257458,B1+headroom
2017-10-14,16,31.44,25.013913988830424,B1+headroom
2017-10-14,17,40.02,34.32962447608111,B1+headroom
2017-10-14,18,49.71,41.528155737646294,B1+headroom
2017-10-14,19,52.51,44.19010974693611,B1+headroom
2017-10-14,20,43.97,37.17956900815287,B1+headroom
2017-10-14,21,40.03,34.024177493078916,B1+headroom
2017-10-14,22,39.07,33.68255833132796,B1+headroom
2017-10-14,23,31.43,30.576387223445636,B1+headroom
2017-10-15,0,34.26,28.944506635869182,B1+headroom
2017-10-15,1,31.56,26.96700292821423,B1+headroom
2017-10-15,2,30.41,25.640118225216682,B1+headroom
2017-10-15,3,29.27,24.948557876011435,B1+headroom
2017-10-15,4,29.04,24.530857763893763,B1+headroom
2017-10-15,5,28.91,24.683255144647667,B1+headroom
2017-10-15,6,31.18,26.513250355043244,B1+headroom
2017-10-15,7,35.9,32.55424394467462,B1+headroom
2017-10-15,8,34.22,35.581510396352655,B1+headroom
2017-10-15,9,33.24,33.760241973444245,B1+headroom
2017-10-15,10,31.58,29.09203527038054,B1+headroom
2017-10-15,11,30.97,26.121941524502386,B1+headroom
2017-10-15,12,22.77,23.48269409885003,B1+headroom
2017-10-15,13,17.07,19.28262765521026,B1+headroom
2017-10-15,14,22.44,17.003499268749934,B1+headroom
2017-10-15,15,26.63,20.16745515949082,B1+headroom
2017-10-15,16,28.03,24.898911539818503,B1+headroom
2017-10-15,17,39.38,32.87040905442169,B1+headroom
2017-10-15,18,45.05,38.636874577498126,B1+headroom
2017-10-15,19,45.04,42.328002727609245,B1+headroom
2017-10-15,20,31.75,36.07406837749502,B1+headroom
2017-10-15,21,31.73,31.918384687911956,B1+headroom
2017-10-15,22,29.09,31.2683338656895,B1+headroom
2017-10-15,23,18.4,26.723794150080654,B1+headroom
2017-10-16,0,22.99,19.18130841550438,B1+headroom
