origin,hour,y_true,y_pred,model
2017-10-13,0,30.53,27.199445179136468,B3_carbon_switch
2017-10-13,1,29.38,25.798910927848155,B3_carbon_switch
2017-10-13,2,28.34,24.732263543569946,B3_carbon_switch
2017-10-13,3,28.46,23.909634288543455,B3_carbon_switch
2017-10-13,4,29.03,24.827327576763896,B3_carbon_switch
2017-10-13,5,31.47,27.76448066548839,B3_carbon_switch
2017-10-13,6,43.08,37.69629854478349,B3_carbon_switch
2017-10-13,7,59.93,48.037671770282145,B3_carbon_switch
2017-10-13,8,64.82,48.64547480528083,B3_carbon_switch
2017-10-13,9,50.81,45.89017845572225,B3_carbon_switch
2017-10-13,10,46.46,43.43392918130415,B3_carbon_switch
2017-10-13,11,44.4,38.72155181348675,B3_carbon_switch
2017-10-13,12,38.03,32.86443526473484,B3_carbon_switch
2017-10-13,13,33.49,30.401907438632676,B3_carbon_switch
2017-10-13,14,31.29,29.295174418678457,B3_carbon_switch
2017-10-13,15,34.72,30.871677305001366,B3_carbon_switch
2017-10-13,16,36.99,32.55928833024927,B3_carbon_switch
2017-10-13,17,46.45,38.168169525633324,B3_carbon_switch
2017-10-13,18,55.9,44.03057727325727,B3_carbon_switch
2017-10-13,19,49.9,45.936825225941206,B3_carbon_switch
2017-10-13,20,39.27,40.76264728524299,B3_carbon_switch
2017-10-13,21,35.21,35.011033953172976,B3_carbon_switch
2017-10-13,22,31.66,31.87284753828127,B3_carbon_switch
2017-10-13,23,29.63,26.484400569552694,B3_carbon_switch
2017-10-14,0,28.0,26.98230443567822,B3_carbon_switch
2017-10-14,1,26.99,25.301545062858864,B3_carbon_switch
2017-10-14,2,27.41,24.29185304783734,B3_carbon_switch
2017-10-14,3,26.4,23.585764733625552,B3_carbon_switch
2017-10-14,4,26.17,24.090012428013733,B3_carbon_switch
2017-10-14,5,26.1,24.31420511257073,B3_carbon_switch
2017-10-14,6,28.0,23.990906958597815,B3_carbon_switch
2017-10-14,7,33.99,26.842883786125718,B3_carbon_switch
2017-10-14,8,39.42,26.274247166665972,B3_carbon_switch
2017-10-14,9,35.95,27.82415658929593,B3_carbon_switch
2017-10-14,10,28.04,21.081727040506088,B3_carbon_switch
2017-10-14,11,22.86,20.411672833174602,B3_carbon_switch
2017-10-14,12,26.07,16.953672298629208,B3_carbon_switch
2017-10-14,13,12.67,15.734011774202209,B3_carbon_switch
2017-10-14,14,13.31,16.172964101049487,B3_carbon_switch
2017-10-14,15,26.42,19.640810460004204,B3_carbon_switch
2017-10-14,16,31.44,24.692042547124494,B3_carbon_switch
2017-10-14,17,40.02,33.63927713313024,B3_carbon_switch
2017-10-14,18,49.71,41.47424553311154,B3_carbon_switch
2017-10-14,19,52.51,43.65110572887631,B3_carbon_switch
2017-10-14,20,43.97,37.18539171102893,B3_carbon_switch
2017-10-14,21,40.03,34.05094463821542,B3_carbon_switch
2017-10-14,22,39.07,33.82468042483932,B3_carbon_switch
2017-10-14,23,31.43,29.718100234200048,B3_carbon_switch
2017-10-15,0,34.26,28.829695843610143,B3_carbon_switch
2017-10-15,1,31.56,27.003699319417414,B3_carbon_switch
2017-10-15,2,30.41,25.73774422883702,B3_carbon_switch
2017-10-15,3,29.27,24.32675213558098,B3_carbon_switch
2017-10-15,4,29.04,24.637049486968696,B3_carbon_switch
2017-10-15,5,28.91,25.09294811648689,B3_carbon_switch
2017-10-15,6,31.18,28.05583185321973,B3_carbon_switch
2017-10-15,7,35.9,32.91225391963664,B3_carbon_switch
2017-10-15,8,34.22,36.034720460784676,B3_carbon_switch
2017-10-15,9,33.24,33.588003535908555,B3_carbon_switch
2017-10-15,10,31.58,30.14870733375596,B3_carbon_switch
2017-10-15,11,30.97,27.886634611159415,B3_carbon_switch
2017-10-15,12,22.77,22.527046287048744,B3_carbon_switch
2017-10-15,13,17.07,18.967122900507427,B3_carbon_switch
2017-10-15,14,22.44,18.84255396893061,B3_carbon_switch
2017-10-15,15,26.63,20.199757901250372,B3_carbon_switch
2017-10-15,16,28.03,23.8420219336751,B3_carbon_switch
2017-10-15,17,39.38,31.38390045627104,B3_carbon_switch
2017-10-15,18,45.05,38.8520598633934,B3_carbon_switch
2017-10-15,19,45.04,43.026501975364596,B3_carbon_switch
2017-10-15,20,31.75,35.624557679727495,B3_carbon_switch
2017-10-15,21,31.73,31.763804237461386,B3_carbon_switch
2017-10-15,22,29.09,30.70520653776849,B3_carbon_switch
2017-10-15,23,18.4,25.05885571624744,B3_carbon_switch
2017-10-16,0,22.99,21.00846979554564,B3_carbon_switch
2017-10-16,1,21.26,20.65624078988639,B3_carbon_switch
2017-10-16,2,21.86,20.013573634546653,B3_carbon_switch
2017-10-16,3,21.79,20.43454031238523,B3_carbon_switch
2017-10-16,4,22.93,22.631354182303745,B3_carbon_switch
2017-10-16,5,28.9,25.833669143799515,B3_carbon_switch
2017-10-16,6,42.0,36.90236056659326,B3_carbon_switch
2017-10-16,7,55.34,45.94407470967393,B3_carbon_switch
2017-10-16,8,51.65,45.891701585302556,B3_carbon_switch
2017-10-16,9,43.12,40.64094335190315,B3_carbon_switch
2017-10-16,10,37.3,35.62104805695523,B3_carbon_switch
2017-10-16,11,33.16,34.059661387727665,B3_carbon_switch
2017-10-16,12,32.26,31.888220500112386,B3_carbon_switch
2017-10-16,13,31.68,29.73543908364219,B3_carbon_switch
2017-10-16,14,40.56,32.79048501885567,B3_carbon_switch
2017-10-16,15,42.5,37.26722052407864,B3_carbon_switch
2017-10-16,16,44.62,41.86214188887638,B3_carbon_switch
2017-10-16,17,50.9,57.19760444291039,B3_carbon_switch
2017-10-16,18,63.47,67.37183607675475,B3_carbon_switch
2017-10-16,19,66.73,68.75549297164187,B3_carbon_switch
2017-10-16,20,45.95,44.98549394811314,B3_carbon_switch
2017-10-16,21,39.05,37.08235979452152,B3_carbon_switch
2017-10-16,22,34.07,32.0943383804632,B3_carbon_switch
2017-10-16,23,31.11,26.052481308975487,B3_carbon_switch
2017-10-17,0,28.95,28.545928789739907,B3_carbon_switch
2017-10-17,1,27.02,28.825722122106416,B3_carbon_switch
2017-10-17,2,26.99,26.356545604007252,B3_carbon_switch
2017-10-17,3,27.04,25.816254805456992,B3_carbon_switch
2017-10-17,4,28.06,28.14626258554645,B3_carbon_switch
2017-10-17,5,30.57,30.279792158289684,B3_carbon_switch
2017-10-17,6,34.99,38.431126335968955,B3_carbon_switch
2017-10-17,7,46.16,49.797157535243095,B3_carbon_switch
2017-10-17,8,44.97,50.01113187179989,B3_carbon_switch
2017-10-17,9,36.95,42.86822183840534,B3_carbon_switch
2017-10-17,10,33.46,37.65726937763504,B3_carbon_switch
2017-10-17,11,31.34,35.051241375543135,B3_carbon_switch
2017-10-17,12,29.24,29.950983973062158,B3_carbon_switch
2017-10-17,13,30.22,29.48054648887129,B3_carbon_switch
2017-10-17,14,29.72,31.283083886048587,B3_carbon_switch
2017-10-17,15,32.8,34.68955470477624,B3_carbon_switch
2017-10-17,16,35.47,38.50993445967886,B3_carbon_switch
2017-10-17,17,47.92,48.51956104999925,B3_carbon_switch
2017-10-17,18,63.36,60.587121380852096,B3_carbon_switch
2017-10-17,19,67.92,63.36695702897817,B3_carbon_switch
2017-10-17,20,47.38,47.90625605709657,B3_carbon_switch
2017-10-17,21,43.61,40.83469531066377,B3_carbon_switch
2017-10-17,22,39.99,38.21038680986365,B3_carbon_switch
2017-10-17,23,36.79,33.13430536744035,B3_carbon_switch
2017-10-18,0,33.22,35.49607599257493,B3_carbon_switch
2017-10-18,1,34.02,35.69112890498821,B3_carbon_switch
2017-10-18,2,34.02,35.78162777330777,B3_carbon_switch
2017-10-18,3,31.89,35.72308679223251,B3_carbon_switch
2017-10-18,4,31.81,38.529348243639234,B3_carbon_switch
2017-10-18,5,36.03,41.80149966117759,B3_carbon_switch
2017-10-18,6,49.87,51.521832699492066,B3_carbon_switch
2017-10-18,7,66.0,64.00195532269176,B3_carbon_switch
2017-10-18,8,69.94,62.74643222495739,B3_carbon_switch
2017-10-18,9,67.91,57.608859748400995,B3_carbon_switch
2017-10-18,10,64.42,53.56915166915559,B3_carbon_switch
2017-10-18,11,63.08,49.668274707875554,B3_carbon_switch
2017-10-18,12,47.93,45.06726166069086,B3_carbon_switch
2017-10-18,13,45.97,43.34324032886906,B3_carbon_switch
2017-10-18,14,46.07,44.03358095383027,B3_carbon_switch
2017-10-18,15,55.84,47.82355440656242,B3_carbon_switch
2017-10-18,16,62.65,52.63284555383128,B3_carbon_switch
2017-10-18,17,65.66,66.74370199160006,B3_carbon_switch
2017-10-18,18,73.41,82.64503604932793,B3_carbon_switch
2017-10-18,19,83.02,92.89771019500321,B3_carbon_switch
2017-10-18,20,66.84,61.38653855020944,B3_carbon_switch
2017-10-18,21,54.27,50.30043781992499,B3_carbon_switch
2017-10-18,22,40.45,45.339528255064316,B3_carbon_switch
2017-10-18,23,36.94,39.12787616033507,B3_carbon_switch
2017-10-19,0,34.28,35.825393455992995,B3_carbon_switch
2017-10-19,1,34.26,35.97679352997729,B3_carbon_switch
2017-10-19,2,33.59,33.850571541703346,B3_carbon_switch
2017-10-19,3,33.74,33.572092956395146,B3_carbon_switch
2017-10-19,4,34.0,33.778798179531144,B3_carbon_switch
2017-10-19,5,34.89,37.19842949410754,B3_carbon_switch
2017-10-19,6,53.71,50.874331567573265,B3_carbon_switch
2017-10-19,7,67.66,62.4443784646607,B3_carbon_switch
2017-10-19,8,68.54,64.68680765246572,B3_carbon_switch
2017-10-19,9,67.82,58.8319291958984,B3_carbon_switch
2017-10-19,10,62.07,51.70535033287841,B3_carbon_switch
2017-10-19,11,49.97,48.11155149793372,B3_carbon_switch
2017-10-19,12,46.57,41.02308931107791,B3_carbon_switch
2017-10-19,13,41.55,39.49303716625923,B3_carbon_switch
2017-10-19,14,40.53,38.94251165176732,B3_carbon_switch
2017-10-19,15,43.63,42.51904356193562,B3_carbon_switch
2017-10-19,16,49.91,44.44970087193451,B3_carbon_switch
2017-10-19,17,58.01,52.58542459551494,B3_carbon_switch
2017-10-19,18,61.27,56.42335291307784,B3_carbon_switch
2017-10-19,19,54.3,55.9802061134439,B3_carbon_switch
2017-10-19,20,41.55,42.71689990054389,B3_carbon_switch
2017-10-19,21,34.6,36.282930668541056,B3_carbon_switch
2017-10-19,22,34.87,32.99987085722562,B3_carbon_switch
2017-10-19,23,31.04,28.731563147912695,B3_carbon_switch
2017-10-20,0,29.62,28.70470464824011,B3_carbon_switch
2017-10-20,1,29.02,27.5230660642065,B3_carbon_switch
2017-10-20,2,29.06,26.058819792312516,B3_carbon_switch
2017-10-20,3,29.88,25.674361153320362,B3_carbon_switch
2017-10-20,4,30.0,26.76183590335701,B3_carbon_switch
2017-10-20,5,31.01,29.08123353283238,B3_carbon_switch
2017-10-20,6,39.91,35.58720500701534,B3_carbon_switch
2017-10-20,7,47.05,45.89472414202692,B3_carbon_switch
2017-10-20,8,51.28,49.89690789209743,B3_carbon_switch
2017-10-20,9,47.0,44.51830392106469,B3_carbon_switch
2017-10-20,10,43.14,40.77103050694289,B3_carbon_switch
2017-10-20,11,41.28,39.06819770149973,B3_carbon_switch
2017-10-20,12,37.59,35.8043283552936,B3_carbon_switch
2017-10-20,13,33.06,33.28713126903506,B3_carbon_switch
2017-10-20,14,32.89,32.108611686760696,B3_carbon_switch
2017-10-20,15,32.61,34.71687363399548,B3_carbon_switch
2017-10-20,16,33.04,37.36046697723785,B3_carbon_switch
2017-10-20,17,44.61,43.4012064579164,B3_carbon_switch
2017-10-20,18,47.86,46.74140539770296,B3_carbon_switch
2017-10-20,19,46.94,47.59173208412081,B3_carbon_switch
2017-10-20,20,38.98,40.96191051177872,B3_carbon_switch
2017-10-20,21,41.84,36.79624902187385,B3_carbon_switch
2017-10-20,22,35.86,34.811724773598726,B3_carbon_switch
2017-10-20,23,32.74,30.119171951253975,B3_carbon_switch
2017-10-21,0,35.0,30.943421099791536,B3_carbon_switch
2017-10-21,1,32.52,28.37554057234819,B3_carbon_switch
2017-10-21,2,32.05,28.42373534404424,B3_carbon_switch
2017-10-21,3,30.84,29.16178152167238,B3_carbon_switch
2017-10-21,4,29.35,29.41457682561756,B3_carbon_switch
2017-10-21,5,30.3,29.918820305515197,B3_carbon_switch
2017-10-21,6,31.16,33.95862114242504,B3_carbon_switch
2017-10-21,7,35.88,37.923662449732944,B3_carbon_switch
2017-10-21,8,41.91,40.791042823569185,B3_carbon_switch
2017-10-21,9,46.07,42.43403336824195,B3_carbon_switch
2017-10-21,10,47.71,44.40777702782138,B3_carbon_switch
2017-10-21,11,45.98,42.610801227657845,B3_carbon_switch
2017-10-21,12,35.0,40.525170788568275,B3_carbon_switch
2017-10-21,13,31.02,35.09484000742063,B3_carbon_switch
2017-10-21,14,32.09,33.43460593172858,B3_carbon_switch
2017-10-21,15,32.0,33.47145782506878,B3_carbon_switch
2017-10-21,16,32.09,33.95043178724407,B3_carbon_switch
2017-10-21,17,36.56,40.19741524049926,B3_carbon_switch
2017-10-21,18,40.2,44.19130176805392,B3_carbon_switch
2017-10-21,19,40.71,43.375548260796,B3_carbon_switch
2017-10-21,20,31.75,37.36735405077204,B3_carbon_switch
2017-10-21,21,28.59,33.27458485621591,B3_carbon_switch
2017-10-21,22,27.5,30.69498455052293,B3_carbon_switch
2017-10-21,23,15.48,27.262778539491027,B3_carbon_switch
2017-10-22,0,19.1,16.529720072058097,B3_carbon_switch
2017-10-22,1,19.03,13.97257525242876,B3_carbon_switch
2017-10-22,2,16.9,12.485664388460364,B3_carbon_switch
2017-10-22,3,12.98,11.522612521265224,B3_carbon_switch
2017-10-22,4,9.24,13.44108336979522,B3_carbon_switch
2017-10-22,5,5.23,14.65503708626556,B3_carbon_switch
2017-10-22,6,9.86,11.22449132570403,B3_carbon_switch
2017-10-22,7,9.85,14.918974237013213,B3_carbon_switch
2017-10-22,8,13.04,16.924184479835215,B3_carbon_switch
2017-10-22,9,12.9,18.398656143849728,B3_carbon_switch
2017-10-22,10,13.09,16.701016905445037,B3_carbon_switch
2017-10-22,11,14.3,20.46760552293622,B3_carbon_switch
2017-10-22,12,13.58,21.140521866255746,B3_carbon_switch
2017-10-22,13,13.44,19.05261861930712,B3_carbon_switch
2017-10-22,14,13.5,21.29143454158876,B3_carbon_switch
2017-10-22,15,23.39,22.986989106746346,B3_carbon_switch
2017-10-22,16,28.65,25.676170084816775,B3_carbon_switch
2017-10-22,17,34.45,33.619502446067564,B3_carbon_switch
2017-10-22,18,49.9,40.70030678265652,B3_carbon_switch
2017-10-22,19,49.97,43.05264083596655,B3_carbon_switch
2017-10-22,20,44.92,35.876004603430076,B3_carbon_switch
2017-10-22,21,35.88,32.92317081087137,B3_carbon_switch
2017-10-22,22,32.24,31.86839487416031,B3_carbon_switch
2017-10-22,23,29.05,26.617585870338345,B3_carbon_switch
2017-10-23,0,28.61,26.852069029902868,B3_carbon_switch
2017-10-23,1,27.86,26.11867124639331,B3_carbon_switch
2017-10-23,2,26.43,24.929070405272537,B3_carbon_switch
2017-10-23,3,23.07,23.15727258034004,B3_carbon_switch
2017-10-23,4,22.22,24.290356625845988,B3_carbon_switch
2017-10-23,5,30.33,27.814583763737474,B3_carbon_switch
2017-10-23,6,42.36,39.38759846208714,B3_carbon_switch
2017-10-23,7,50.21,49.068394364827284,B3_carbon_switch
2017-10-23,8,50.0,52.4659024269197,B3_carbon_switch
2017-10-23,9,45.39,49.93026691079517,B3_carbon_switch
2017-10-23,10,46.02,49.425526581943735,B3_carbon_switch
2017-10-23,11,46.1,51.58244446457576,B3_carbon_switch
2017-10-23,12,43.16,50.32605781472169,B3_carbon_switch
2017-10-23,13,46.34,49.98345177725817,B3_carbon_switch
2017-10-23,14,46.74,50.408314380518874,B3_carbon_switch
2017-10-23,15,46.01,51.71129930999874,B3_carbon_switch
2017-10-23,16,46.08,51.46765896558961,B3_carbon_switch
2017-10-23,17,49.66,60.07588869623875,B3_carbon_switch
2017-10-23,18,54.2,68.3502886358551,B3_carbon_switch
2017-10-23,19,53.91,66.6504950463853,B3_carbon_switch
2017-10-23,20,50.12,52.29002516460308,B3_carbon_switch
2017-10-23,21,45.48,45.173586044078256,B3_carbon_switch
2017-10-23,22,37.7,38.856668756970215,B3_carbon_switch
2017-10-23,23,36.0,34.29463153623006,B3_carbon_switch
2017-10-24,0,31.68,34.03465544559412,B3_carbon_switch
2017-10-24,1,32.41,33.52249534808787,B3_carbon_switch
2017-10-24,2,32.09,33.48743668558789,B3_carbon_switch
2017-10-24,3,31.67,32.80694284796168,B3_carbon_switch
2017-10-24,4,32.07,32.871946186066175,B3_carbon_switch
2017-10-24,5,34.3,35.191714802475964,B3_carbon_switch
2017-10-24,6,43.56,42.67793904815717,B3_carbon_switch
2017-10-24,7,46.59,51.874329437372694,B3_carbon_switch
2017-10-24,8,53.91,55.6085436633,B3_carbon_switch
2017-10-24,9,48.42,56.57124834972778,B3_carbon_switch
2017-10-24,10,49.08,57.55134037904806,B3_carbon_switch
2017-10-24,11,45.39,58.50498732669902,B3_carbon_switch
2017-10-24,12,38.58,51.8790216080173,B3_carbon_switch
2017-10-24,13,38.23,48.62788013770022,B3_carbon_switch
2017-10-24,14,36.99,45.93921803262016,B3_carbon_switch
2017-10-24,15,36.99,44.243756884730985,B3_carbon_switch
2017-10-24,16,36.1,42.73197124507683,B3_carbon_switch
2017-10-24,17,39.68,44.388137784791866,B3_carbon_switch
2017-10-24,18,44.9,47.45795836937275,B3_carbon_switch
2017-10-24,19,39.56,46.82833030443646,B3_carbon_switch
2017-10-24,20,33.0,37.81231692671486,B3_carbon_switch
2017-10-24,21,32.6,32.787574910976836,B3_carbon_switch
2017-10-24,22,30.18,28.96268775383016,B3_carbon_switch
2017-10-24,23,27.02,25.18458103852769,B3_carbon_switch
2017-10-25,0,15.78,24.63544268506505,B3_carbon_switch
2017-10-25,1,15.05,23.0648244268405,B3_carbon_switch
2017-10-25,2,12.79,21.7707815285993,B3_carbon_switch
2017-10-25,3,13.99,21.3751762755297,B3_carbon_switch
2017-10-25,4,17.03,22.666118893115605,B3_carbon_switch
2017-10-25,5,26.35,25.662990270039266,B3_carbon_switch
2017-10-25,6,34.67,35.141650858658856,B3_carbon_switch
2017-10-25,7,44.84,42.45594728506649,B3_carbon_switch
2017-10-25,8,45.0,43.285257825796435,B3_carbon_switch
2017-10-25,9,43.94,38.95165671554268,B3_carbon_switch
2017-10-25,10,37.11,36.39652266924441,B3_carbon_switch
2017-10-25,11,31.57,33.96752884759992,B3_carbon_switch
2017-10-25,12,29.79,30.188303937036363,B3_carbon_switch
2017-10-25,13,29.66,28.20856531901035,B3_carbon_switch
2017-10-25,14,30.0,28.896497629523452,B3_carbon_switch
