origin,hour,y_true,y_pred,model
2017-10-13,0,30.53,26.980720044592633,B4_coupling
2017-10-13,1,29.38,26.220020741917246,B4_coupling
2017-10-13,2,28.34,25.281564790725184,B4_coupling
2017-10-13,3,28.46,24.310141470005036,B4_coupling
2017-10-13,4,29.03,25.418346021180152,B4_coupling
2017-10-13,5,31.47,29.169010829166183,B4_coupling
2017-10-13,6,43.08,41.1788158567025,B4_coupling
2017-10-13,7,59.93,48.691232885821314,B4_coupling
2017-10-13,8,64.82,50.55873036808519,B4_coupling
2017-10-13,9,50.81,46.155380169263076,B4_coupling
2017-10-13,10,46.46,43.758070256867434,B4_coupling
2017-10-13,11,44.4,38.92565244506649,B4_coupling
2017-10-13,12,38.03,33.16650236418585,B4_coupling
2017-10-13,13,33.49,31.461576871802546,B4_coupling
2017-10-13,14,31.29,28.430934549792536,B4_coupling
2017-10-13,15,34.72,31.7650841873517,B4_coupling
2017-10-13,16,36.99,32.59523435241048,B4_coupling
2017-10-13,17,46.45,38.80298115303683,B4_coupling
2017-10-13,18,55.9,44.05435437223375,B4_coupling
2017-10-13,19,49.9,47.46334465829464,B4_coupling
2017-10-13,20,39.27,41.693872457677315,B4_coupling
2017-10-13,21,35.21,36.00831316436184,B4_coupling
2017-10-13,22,31.66,33.01131396118408,B4_coupling
2017-10-13,23,29.63,28.187256202864997,B4_coupling
2017-10-14,0,28.0,28.62927372424282,B4_coupling
2017-10-14,1,26.99,26.13556909204868,B4_coupling
2017-10-14,2,27.41,24.834755833938445,B4_coupling
2017-10-14,3,26.4,24.121300828775418,B4_coupling
2017-10-14,4,26.17,24.279812791351137,B4_coupling
2017-10-14,5,26.1,25.603524259063185,B4_coupling
2017-10-14,6,28.0,25.90647714021686,B4_coupling
2017-10-14,7,33.99,27.243120111219437,B4_coupling
2017-10-14,8,39.42,30.361668390666882,B4_coupling
2017-10-14,9,35.95,29.10049581490214,B4_coupling
2017-10-14,10,28.04,26.226167665677146,B4_coupling
2017-10-14,11,22.86,21.819214679562513,B4_coupling
2017-10-14,12,26.07,19.348071005195795,B4_coupling
2017-10-14,13,12.67,20.41624927124377,B4_coupling
2017-10-14,14,13.31,19.88851058446558,B4_coupling
2017-10-14,15,26.42,23.213866641146016,B4_coupling
2017-10-14,16,31.44,27.214394914770388,B4_coupling
2017-10-14,17,40.02,36.25732888942963,B4_coupling
2017-10-14,18,49.71,43.73823460394109,B4_coupling
2017-10-14,19,52.51,45.66771552219203,B4_coupling
2017-10-14,20,43.97,39.66467981341193,B4_coupling
2017-10-14,21,40.03,36.4002940795704,B4_coupling
2017-10-14,22,39.07,35.583019430609745,B4_coupling
2017-10-14,23,31.43,32.30043051867297,B4_coupling
2017-10-15,0,34.26,29.921560538649633,B4_coupling
2017-10-15,1,31.56,28.073816599215302,B4_coupling
2017-10-15,2,30.41,27.76120747054833,B4_coupling
2017-10-15,3,29.27,27.393873813421546,B4_coupling
2017-10-15,4,29.04,26.699778089847882,B4_coupling
2017-10-15,5,28.91,25.735599733293594,B4_coupling
2017-10-15,6,31.18,28.955992879499195,B4_coupling
2017-10-15,7,35.9,29.738566807201266,B4_coupling
2017-10-15,8,34.22,32.758778390222304,B4_coupling
2017-10-15,9,33.24,30.901276506799746,B4_coupling
2017-10-15,10,31.58,30.058269969591663,B4_coupling
2017-10-15,11,30.97,27.322504352580307,B4_coupling
2017-10-15,12,22.77,22.583276755316252,B4_coupling
2017-10-15,13,17.07,16.95137729539153,B4_coupling
2017-10-15,14,22.44,7.551046490999141,B4_coupling
2017-10-15,15,26.63,17.166363056550466,B4_coupling
2017-10-15,16,28.03,23.397147019831287,B4_coupling
2017-10-15,17,39.38,30.315308034988252,B4_coupling
2017-10-15,18,45.05,40.00457391254428,B4_coupling
2017-10-15,19,45.04,41.54512591512632,B4_coupling
2017-10-15,20,31.75,34.93922764376904,B4_coupling
2017-10-15,21,31.73,31.34686283407953,B4_coupling
2017-10-15,22,29.09,30.38037561646601,B4_coupling
2017-10-15,23,18.4,25.81634077499732,B4_coupling
2017-10-16,0,22.99,19.380382993617797,B4_coupling
2017-10-16,1,21.26,19.953608748128826,B4_coupling
2017-10-16,2,21.86,19.629251221786518,B4_coupling
2017-10-16,3,21.79,19.779115345294798,B4_coupling
2017-10-16,4,22.93,20.897086720681926,B4_coupling
2017-10-16,5,28.9,26.223567170273817,B4_coupling
2017-10-16,6,42.0,36.42848111304861,B4_coupling
2017-10-16,7,55.34,45.83289565176063,B4_coupling
2017-10-16,8,51.65,45.9532788027493,B4_coupling
2017-10-16,9,43.12,41.97122177758363,B4_coupling
2017-10-16,10,37.3,37.19708110586961,B4_coupling
2017-10-16,11,33.16,35.495877096634494,B4_coupling
2017-10-16,12,32.26,31.827644849126745,B4_coupling
2017-10-16,13,31.68,32.43200188226847,B4_coupling
2017-10-16,14,40.56,32.65635006238403,B4_coupling
2017-10-16,15,42.5,36.756000135172826,B4_coupling
2017-10-16,16,44.62,40.933691105692844,B4_coupling
2017-10-16,17,50.9,51.31460915131143,B4_coupling
2017-10-16,18,63.47,59.65098472164758,B4_coupling
2017-10-16,19,66.73,62.49086458741011,B4_coupling
2017-10-16,20,45.95,42.679386580286966,B4_coupling
2017-10-16,21,39.05,35.02052451395568,B4_coupling
2017-10-16,22,34.07,32.229451614366,B4_coupling
2017-10-16,23,31.11,26.22669838925948,B4_coupling
2017-10-17,0,28.95,28.64204050956351,B4_coupling
2017-10-17,1,27.02,27.50302631009495,B4_coupling
2017-10-17,2,26.99,26.209871074218626,B4_coupling
2017-10-17,3,27.04,25.46927203389024,B4_coupling
2017-10-17,4,28.06,27.387167727372667,B4_coupling
2017-10-17,5,30.57,29.624876897728726,B4_coupling
2017-10-17,6,34.99,36.70857511148182,B4_coupling
2017-10-17,7,46.16,46.2309889567157,B4_coupling
2017-10-17,8,44.97,45.04620417742695,B4_coupling
2017-10-17,9,36.95,40.777785347476765,B4_coupling
2017-10-17,10,33.46,36.728032008215386,B4_coupling
2017-10-17,11,31.34,33.19264421773393,B4_coupling
2017-10-17,12,29.24,30.504284888192117,B4_coupling
2017-10-17,13,30.22,28.923615559545787,B4_coupling
2017-10-17,14,29.72,30.059443419744685,B4_coupling
2017-10-17,15,32.8,32.614878785348,B4_coupling
2017-10-17,16,35.47,37.33059433292408,B4_coupling
2017-10-17,17,47.92,45.947109690756605,B4_coupling
2017-10-17,18,63.36,54.579214086820905,B4_coupling
2017-10-17,19,67.92,54.62039664876518,B4_coupling
2017-10-17,20,47.38,44.87097800656443,B4_coupling
2017-10-17,21,43.61,39.47367742032502,B4_coupling
2017-10-17,22,39.99,37.95283863507472,B4_coupling
2017-10-17,23,36.79,32.74495408719898,B4_coupling
2017-10-18,0,33.22,34.64842583822978,B4_coupling
2017-10-18,1,34.02,34.673250444996825,B4_coupling
2017-10-18,2,34.02,35.748413810208405,B4_coupling
2017-10-18,3,31.89,35.674556234253956,B4_coupling
2017-10-18,4,31.81,37.53499886295359,B4_coupling
2017-10-18,5,36.03,38.780008699220566,B4_coupling
2017-10-18,6,49.87,53.34421461460309,B4_coupling
2017-10-18,7,66.0,64.54918454893578,B4_coupling
2017-10-18,8,69.94,67.30669930393793,B4_coupling
2017-10-18,9,67.91,60.47058779151154,B4_coupling
2017-10-18,10,64.42,52.684826721475716,B4_coupling
2017-10-18,11,63.08,49.15221215158259,B4_coupling
2017-10-18,12,47.93,43.48702774145021,B4_coupling
2017-10-18,13,45.97,44.32626522553586,B4_coupling
2017-10-18,14,46.07,45.145934962962784,B4_coupling
2017-10-18,15,55.84,47.95961502102183,B4_coupling
2017-10-18,16,62.65,51.53440178857562,B4_coupling
2017-10-18,17,65.66,64.15359662032913,B4_coupling
2017-10-18,18,73.41,76.47867023356812,B4_coupling
2017-10-18,19,83.02,88.11806355904376,B4_coupling
2017-10-18,20,66.84,62.58998085572717,B4_coupling
2017-10-18,21,54.27,49.46681183241956,B4_coupling
2017-10-18,22,40.45,43.045380498000874,B4_coupling
2017-10-18,23,36.94,38.42281201918603,B4_coupling
2017-10-19,0,34.28,37.27651187745585,B4_coupling
2017-10-19,1,34.26,37.14412264365821,B4_coupling
2017-10-19,2,33.59,35.816991286245695,B4_coupling
2017-10-19,3,33.74,35.39272892322018,B4_coupling
2017-10-19,4,34.0,35.507877331400664,B4_coupling
2017-10-19,5,34.89,37.99631075656113,B4_coupling
2017-10-19,6,53.71,48.93146077007601,B4_coupling
2017-10-19,7,67.66,57.72552307435956,B4_coupling
2017-10-19,8,68.54,60.281935885858374,B4_coupling
2017-10-19,9,67.82,56.55969603112662,B4_coupling
2017-10-19,10,62.07,48.83944438966575,B4_coupling
2017-10-19,11,49.97,45.37315254018278,B4_coupling
2017-10-19,12,46.57,38.8365249272992,B4_coupling
2017-10-19,13,41.55,38.43105636533707,B4_coupling
2017-10-19,14,40.53,39.40885279141054,B4_coupling
2017-10-19,15,43.63,42.91496289611354,B4_coupling
2017-10-19,16,49.91,46.31829515935937,B4_coupling
2017-10-19,17,58.01,50.301029786110576,B4_coupling
2017-10-19,18,61.27,55.1672556860388,B4_coupling
2017-10-19,19,54.3,58.7419061173366,B4_coupling
2017-10-19,20,41.55,44.57994571994119,B4_coupling
2017-10-19,21,34.6,36.61245344333296,B4_coupling
2017-10-19,22,34.87,33.5254776497815,B4_coupling
2017-10-19,23,31.04,29.231460073970457,B4_coupling
2017-10-20,0,29.62,28.884176759712272,B4_coupling
2017-10-20,1,29.02,27.93666976754579,B4_coupling
2017-10-20,2,29.06,26.1771919271778,B4_coupling
2017-10-20,3,29.88,26.099968037017774,B4_coupling
2017-10-20,4,30.0,27.200278162929116,B4_coupling
2017-10-20,5,31.01,28.23222340032261,B4_coupling
2017-10-20,6,39.91,35.97901534724608,B4_coupling
2017-10-20,7,47.05,45.8550710977196,B4_coupling
2017-10-20,8,51.28,49.1463186067327,B4_coupling
2017-10-20,9,47.0,44.11030948263666,B4_coupling
2017-10-20,10,43.14,40.61510036479521,B4_coupling
2017-10-20,11,41.28,39.239719681945836,B4_coupling
2017-10-20,12,37.59,35.37585574327626,B4_coupling
2017-10-20,13,33.06,33.47196836121748,B4_coupling
2017-10-20,14,32.89,32.63309677622337,B4_coupling
2017-10-20,15,32.61,35.612347481377924,B4_coupling
2017-10-20,16,33.04,39.20104902629969,B4_coupling
2017-10-20,17,44.61,46.682348926019785,B4_coupling
2017-10-20,18,47.86,52.34489187150986,B4_coupling
2017-10-20,19,46.94,50.2166168197337,B4_coupling
2017-10-20,20,38.98,41.125560773507125,B4_coupling
2017-10-20,21,41.84,36.01491254024955,B4_coupling
2017-10-20,22,35.86,33.51757430240568,B4_coupling
2017-10-20,23,32.74,29.523897033055846,B4_coupling
2017-10-21,0,35.0,30.704720592717756,B4_coupling
2017-10-21,1,32.52,29.516039240348217,B4_coupling
2017-10-21,2,32.05,29.225707106076598,B4_coupling
2017-10-21,3,30.84,28.71074090865341,B4_coupling
2017-10-21,4,29.35,29.266831180862066,B4_coupling
2017-10-21,5,30.3,29.925845372024185,B4_coupling
2017-10-21,6,31.16,34.370642558899604,B4_coupling
2017-10-21,7,35.88,37.83401811236711,B4_coupling
2017-10-21,8,41.91,42.13891345078272,B4_coupling
2017-10-21,9,46.07,44.85358230590366,B4_coupling
2017-10-21,10,47.71,42.495867220705904,B4_coupling
2017-10-21,11,45.98,40.85160939463703,B4_coupling
2017-10-21,12,35.0,42.150610027906495,B4_coupling
2017-10-21,13,31.02,35.55314979801425,B4_coupling
2017-10-21,14,32.09,32.529300240935065,B4_coupling
2017-10-21,15,32.0,32.73383154701226,B4_coupling
2017-10-21,16,32.09,34.282228907223015,B4_coupling
2017-10-21,17,36.56,39.24932336400692,B4_coupling
2017-10-21,18,40.2,43.29621528778878,B4_coupling
2017-10-21,19,40.71,43.05111695790785,B4_coupling
2017-10-21,20,31.75,35.44649108904809,B4_coupling
2017-10-21,21,28.59,31.458714776775288,B4_coupling
2017-10-21,22,27.5,30.604157745636122,B4_coupling
2017-10-21,23,15.48,27.710197631055205,B4_coupling
2017-10-22,0,19.1,18.413114444500273,B4_coupling
2017-10-22,1,19.03,16.72420160517809,B4_coupling
2017-10-22,2,16.9,15.868724449389797,B4_coupling
2017-10-22,3,12.98,14.647250495147544,B4_coupling
2017-10-22,4,9.24,15.058398271811818,B4_coupling
2017-10-22,5,5.23,17.039266092711117,B4_coupling
2017-10-22,6,9.86,15.02819108897795,B4_coupling
2017-10-22,7,9.85,14.68116625960262,B4_coupling
2017-10-22,8,13.04,17.393367801918007,B4_coupling
2017-10-22,9,12.9,20.119285307275657,B4_coupling
2017-10-22,10,13.09,17.511608821642657,B4_coupling
2017-10-22,11,14.3,21.435072701060072,B4_coupling
2017-10-22,12,13.58,21.797529062262136,B4_coupling
2017-10-22,13,13.44,20.04668517241433,B4_coupling
2017-10-22,14,13.5,19.25656436003914,B4_coupling
2017-10-22,15,23.39,22.829246347830342,B4_coupling
2017-10-22,16,28.65,25.570362137993456,B4_coupling
2017-10-22,17,34.45,34.0444492282746,B4_coupling
2017-10-22,18,49.9,41.585723844759634,B4_coupling
2017-10-22,19,49.97,43.32540478694396,B4_coupling
2017-10-22,20,44.92,36.495714142188596,B4_coupling
2017-10-22,21,35.88,32.486482513578885,B4_coupling
2017-10-22,22,32.24,31.727148015616546,B4_coupling
2017-10-22,23,29.05,28.06689994833098,B4_coupling
2017-10-23,0,28.61,26.058087852370665,B4_coupling
2017-10-23,1,27.86,24.223244669111036,B4_coupling
2017-10-23,2,26.43,23.214337853955303,B4_coupling
2017-10-23,3,23.07,21.979707927351402,B4_coupling
2017-10-23,4,22.22,22.530631230642065,B4_coupling
2017-10-23,5,30.33,26.215529071205072,B4_coupling
2017-10-23,6,42.36,37.771805317418846,B4_coupling
2017-10-23,7,50.21,47.04347818354814,B4_coupling
2017-10-23,8,50.0,47.192270720340744,B4_coupling
2017-10-23,9,45.39,47.21506889063292,B4_coupling
2017-10-23,10,46.02,47.51653210063504,B4_coupling
2017-10-23,11,46.1,47.31093771058568,B4_coupling
2017-10-23,12,43.16,47.32658704481667,B4_coupling
2017-10-23,13,46.34,44.752666563516975,B4_coupling
2017-10-23,14,46.74,44.450062519378136,B4_coupling
2017-10-23,15,46.01,45.003524707634895,B4_coupling
2017-10-23,16,46.08,47.47486820719286,B4_coupling
2017-10-23,17,49.66,56.98362541984432,B4_coupling
2017-10-23,18,54.2,64.81154300343087,B4_coupling
2017-10-23,19,53.91,64.7254444980096,B4_coupling
2017-10-23,20,50.12,49.379612534763574,B4_coupling
2017-10-23,21,45.48,40.00333348250323,B4_coupling
2017-10-23,22,37.7,35.65321793336402,B4_coupling
2017-10-23,23,36.0,31.35628071745177,B4_coupling
2017-10-24,0,31.68,34.09124326081125,B4_coupling
2017-10-24,1,32.41,35.260021217264196,B4_coupling
