origin,hour,y_true,y_pred,model
2017-10-13,0,30.53,27.433905546386434,B6_storage
2017-10-13,1,29.38,26.540239741988525,B6_storage
2017-10-13,2,28.34,25.306052876769886,B6_storage
2017-10-13,3,28.46,24.555376497162698,B6_storage
2017-10-13,4,29.03,25.035143298200325,B6_storage
2017-10-13,5,31.47,28.254372502791956,B6_storage
2017-10-13,6,43.08,39.00372184011876,B6_storage
2017-10-13,7,59.93,49.06320108755777,B6_storage
2017-10-13,8,64.82,49.544626143051,B6_storage
2017-10-13,9,50.81,46.77457725371062,B6_storage
2017-10-13,10,46.46,43.74569104587067,B6_storage
2017-10-13,11,44.4,38.86551256624524,B6_storage
2017-10-13,12,38.03,32.75628394547563,B6_storage
2017-10-13,13,33.49,30.83130441695178,B6_storage
2017-10-13,14,31.29,28.918603734188043,B6_storage
2017-10-13,15,34.72,31.385203287468283,B6_storage
2017-10-13,16,36.99,31.975185048053497,B6_storage
2017-10-13,17,46.45,38.12271849749802,B6_storage
2017-10-13,18,55.9,44.399571281133596,B6_storage
2017-10-13,19,49.9,47.60962258684659,B6_storage
2017-10-13,20,39.27,41.02455066681539,B6_storage
2017-10-13,21,35.21,35.8653264145905,B6_storage
2017-10-13,22,31.66,32.50034999072277,B6_storage
2017-10-13,23,29.63,27.021507573969846,B6_storage
2017-10-14,0,28.0,27.935745253796874,B6_storage
2017-10-14,1,26.99,26.154751842884153,B6_storage
2017-10-14,2,27.41,24.998091899485377,B6_storage
2017-10-14,3,26.4,23.791434805621495,B6_storage
2017-10-14,4,26.17,23.71593032616186,B6_storage
2017-10-14,5,26.1,24.502830609458304,B6_storage
2017-10-14,6,28.0,24.54261230974823,B6_storage
2017-10-14,7,33.99,27.244072942642703,B6_storage
2017-10-14,8,39.42,29.621194994246906,B6_storage
2017-10-14,9,35.95,28.318948694218214,B6_storage
2017-10-14,10,28.04,23.356467825492068,B6_storage
2017-10-14,11,22.86,21.738240016860228,B6_storage
2017-10-14,12,26.07,17.337464197639488,B6_storage
2017-10-14,13,12.67,16.69468599259563,B6_storage
2017-10-14,14,13.31,17.92660917503069,B6_storage
2017-10-14,15,26.42,21.66206677348267,B6_storage
2017-10-14,16,31.44,25.598278645829147,B6_storage
2017-10-14,17,40.02,33.65171294542854,B6_storage
2017-10-14,18,49.71,41.2029803293497,B6_storage
2017-10-14,19,52.51,42.988931042363006,B6_storage
2017-10-14,20,43.97,37.37549968780533,B6_storage
2017-10-14,21,40.03,33.903079268631565,B6_storage
2017-10-14,22,39.07,33.292910150326016,B6_storage
2017-10-14,23,31.43,30.57628759922927,B6_storage
2017-10-15,0,34.26,29.496410478777044,B6_storage
2017-10-15,1,31.56,27.60505472385778,B6_storage
2017-10-15,2,30.41,26.820555329482342,B6_storage
2017-10-15,3,29.27,25.94766010755189,B6_storage
2017-10-15,4,29.04,25.23147324802466,B6_storage
2017-10-15,5,28.91,26.16677670694726,B6_storage
2017-10-15,6,31.18,28.707633804725795,B6_storage
2017-10-15,7,35.9,34.35839326646299,B6_storage
2017-10-15,8,34.22,37.321196645418595,B6_storage
2017-10-15,9,33.24,33.047611973080706,B6_storage
2017-10-15,10,31.58,29.61008333690897,B6_storage
2017-10-15,11,30.97,26.64100428776443,B6_storage
2017-10-15,12,22.77,21.685149926970944,B6_storage
2017-10-15,13,17.07,17.561281942751304,B6_storage
2017-10-15,14,22.44,17.787662310526837,B6_storage
2017-10-15,15,26.63,20.26249671300519,B6_storage
2017-10-15,16,28.03,23.527172922245406,B6_storage
2017-10-15,17,39.38,31.759129719136237,B6_storage
2017-10-15,18,45.05,39.471611931894195,B6_storage
2017-10-15,19,45.04,40.57954247814354,B6_storage
2017-10-15,20,31.75,35.189883929773686,B6_storage
2017-10-15,21,31.73,32.26922581693604,B6_storage
2017-10-15,22,29.09,31.46747002067247,B6_storage
2017-10-15,23,18.4,25.078915513823986,B6_storage
2017-10-16,0,22.99,21.448069199465394,B6_storage
2017-10-16,1,21.26,20.708733813051996,B6_storage
2017-10-16,2,21.86,20.388832112859326,B6_storage
2017-10-16,3,21.79,20.271252733059303,B6_storage
2017-10-16,4,22.93,21.827992590229748,B6_storage
2017-10-16,5,28.9,25.847085702706057,B6_storage
2017-10-16,6,42.0,37.95598996917416,B6_storage
2017-10-16,7,55.34,47.6001268536084,B6_storage
2017-10-16,8,51.65,47.57645042596137,B6_storage
2017-10-16,9,43.12,42.55507901433346,B6_storage
2017-10-16,10,37.3,37.555318918846936,B6_storage
2017-10-16,11,33.16,35.39145243754127,B6_storage
2017-10-16,12,32.26,31.910210373883384,B6_storage
2017-10-16,13,31.68,30.534774030738934,B6_storage
2017-10-16,14,40.56,33.176629534039144,B6_storage
2017-10-16,15,42.5,36.756969252513336,B6_storage
2017-10-16,16,44.62,41.51700383194098,B6_storage
2017-10-16,17,50.9,52.93721422812155,B6_storage
2017-10-16,18,63.47,63.96981696323503,B6_storage
2017-10-16,19,66.73,60.880683485300096,B6_storage
2017-10-16,20,45.95,45.156550634207804,B6_storage
2017-10-16,21,39.05,36.66820681776236,B6_storage
2017-10-16,22,34.07,32.19958953670821,B6_storage
2017-10-16,23,31.11,25.895982784330002,B6_storage
2017-10-17,0,28.95,29.016465041743746,B6_storage
2017-10-17,1,27.02,28.235706515450993,B6_storage
2017-10-17,2,26.99,27.418970366025974,B6_storage
2017-10-17,3,27.04,26.620437695562476,B6_storage
2017-10-17,4,28.06,28.13832911372371,B6_storage
2017-10-17,5,30.57,30.745985690624224,B6_storage
2017-10-17,6,34.99,39.3370022587269,B6_storage
2017-10-17,7,46.16,51.22082374123586,B6_storage
2017-10-17,8,44.97,49.19454275756664,B6_storage
2017-10-17,9,36.95,41.900404619056985,B6_storage
2017-10-17,10,33.46,37.492066250820315,B6_storage
2017-10-17,11,31.34,34.276831193479936,B6_storage
2017-10-17,12,29.24,29.972509172900644,B6_storage
2017-10-17,13,30.22,29.643221584712197,B6_storage
2017-10-17,14,29.72,32.00756404556347,B6_storage
2017-10-17,15,32.8,34.40712949103766,B6_storage
2017-10-17,16,35.47,38.453973030380396,B6_storage
2017-10-17,17,47.92,47.005222809490164,B6_storage
2017-10-17,18,63.36,57.54341058856471,B6_storage
2017-10-17,19,67.92,58.40560757544429,B6_storage
2017-10-17,20,47.38,47.697001603559634,B6_storage
2017-10-17,21,43.61,39.596325637275996,B6_storage
2017-10-17,22,39.99,37.766478281432356,B6_storage
2017-10-17,23,36.79,32.06412856386241,B6_storage
2017-10-18,0,33.22,35.602579006724255,B6_storage
2017-10-18,1,34.02,35.80976249612124,B6_storage
2017-10-18,2,34.02,36.492126258466826,B6_storage
2017-10-18,3,31.89,35.82581081867998,B6_storage
2017-10-18,4,31.81,38.29865606084071,B6_storage
2017-10-18,5,36.03,41.90233322611019,B6_storage
2017-10-18,6,49.87,52.85470468399816,B6_storage
2017-10-18,7,66.0,65.88966920137784,B6_storage
