origin,hour,y_true,y_pred,model
2017-10-13,0,30.53,27.246959488701254,CTRL_scrambled_year
2017-10-13,1,29.38,25.835298871665483,CTRL_scrambled_year
2017-10-13,2,28.34,25.173735259730815,CTRL_scrambled_year
2017-10-13,3,28.46,24.30667456976863,CTRL_scrambled_year
2017-10-13,4,29.03,24.99901541263755,CTRL_scrambled_year
2017-10-13,5,31.47,28.123471095572597,CTRL_scrambled_year
2017-10-13,6,43.08,37.999065750381945,CTRL_scrambled_year
2017-10-13,7,59.93,47.06883120994476,CTRL_scrambled_year
2017-10-13,8,64.82,48.884976114296826,CTRL_scrambled_year
2017-10-13,9,50.81,45.92814585074798,CTRL_scrambled_year
2017-10-13,10,46.46,43.310543126743056,CTRL_scrambled_year
2017-10-13,11,44.4,38.78220916854431,CTRL_scrambled_year
2017-10-13,12,38.03,32.266391462723725,CTRL_scrambled_year
2017-10-13,13,33.49,31.31998450310957,CTRL_scrambled_year
2017-10-13,14,31.29,30.076725225171163,CTRL_scrambled_year
2017-10-13,15,34.72,30.794689679072853,CTRL_scrambled_year
2017-10-13,16,36.99,32.93199353346706,CTRL_scrambled_year
2017-10-13,17,46.45,37.69149540208875,CTRL_scrambled_year
2017-10-13,18,55.9,43.377480856976035,CTRL_scrambled_year
2017-10-13,19,49.9,45.19294650054321,CTRL_scrambled_year
2017-10-13,20,39.27,39.89266539529212,CTRL_scrambled_year
2017-10-13,21,35.21,35.16806937981689,CTRL_scrambled_year
2017-10-13,22,31.66,31.181878327617113,CTRL_scrambled_year
2017-10-13,23,29.63,27.087266769060875,CTRL_scrambled_year
2017-10-14,0,28.0,27.47295536280241,CTRL_scrambled_year
2017-10-14,1,26.99,25.814601149319028,CTRL_scrambled_year
2017-10-14,2,27.41,24.668584423914844,CTRL_scrambled_year
2017-10-14,3,26.4,23.81675998907221,CTRL_scrambled_year
2017-10-14,4,26.17,23.701754785243043,CTRL_scrambled_year
2017-10-14,5,26.1,24.614108009516748,CTRL_scrambled_year
2017-10-14,6,28.0,25.227818386688675,CTRL_scrambled_year
2017-10-14,7,33.99,27.1773641248262,CTRL_scrambled_year
2017-10-14,8,39.42,28.232903711448717,CTRL_scrambled_year
2017-10-14,9,35.95,28.298305724730753,CTRL_scrambled_year
2017-10-14,10,28.04,23.626065597591456,CTRL_scrambled_year
