origin,hour,y_true,y_pred,model
2017-10-13,0,30.53,27.223994943682854,baseline
2017-10-13,1,29.38,25.703562012107508,baseline
2017-10-13,2,28.34,24.764448128930947,baseline
2017-10-13,3,28.46,23.96259972913845,baseline
2017-10-13,4,29.03,24.69314277850125,baseline
2017-10-13,5,31.47,27.73730017436759,baseline
2017-10-13,6,43.08,37.895921937522104,baseline
2017-10-13,7,59.93,48.36028522147912,baseline
2017-10-13,8,64.82,49.394331449221596,baseline
2017-10-13,9,50.81,45.315842030642706,baseline
2017-10-13,10,46.46,43.160136712024595,baseline
2017-10-13,11,44.4,38.54379127785973,baseline
2017-10-13,12,38.03,32.25318411948652,baseline
2017-10-13,13,33.49,30.46099809707575,baseline
2017-10-13,14,31.29,29.117160732233792,baseline
2017-10-13,15,34.72,30.757849638516856,baseline
2017-10-13,16,36.99,32.37901217321448,baseline
2017-10-13,17,46.45,37.41318982730717,baseline
2017-10-13,18,55.9,43.657222238158155,baseline
2017-10-13,19,49.9,45.541749702816155,baseline
2017-10-13,20,39.27,40.228708148587494,baseline
2017-10-13,21,35.21,35.16798513520124,baseline
2017-10-13,22,31.66,31.251574574799715,baseline
2017-10-13,23,29.63,26.50931906606433,baseline
2017-10-14,0,28.0,27.426708599297537,baseline
2017-10-14,1,26.99,25.673413389122828,baseline
2017-10-14,2,27.41,24.554172766897796,baseline
2017-10-14,3,26.4,23.86642383720257,baseline
2017-10-14,4,26.17,23.639778183171362,baseline
2017-10-14,5,26.1,24.336405416857374,baseline
2017-10-14,6,28.0,25.32267725705767,baseline
2017-10-14,7,33.99,27.631203341680326,baseline
2017-10-14,8,39.42,28.945549803846294,baseline
2017-10-14,9,35.95,28.765178366095398,baseline
2017-10-14,10,28.04,22.907090628243388,baseline
2017-10-14,11,22.86,20.98276404496106,baseline
2017-10-14,12,26.07,16.61487824532216,baseline
2017-10-14,13,12.67,15.714426337933514,baseline
2017-10-14,14,13.31,16.643461258289236,baseline
2017-10-14,15,26.42,20.107565869095655,baseline
2017-10-14,16,31.44,24.19954860446692,baseline
2017-10-14,17,40.02,34.39067056501061,baseline
2017-10-14,18,49.71,42.09035296787972,baseline
2017-10-14,19,52.51,43.426967677686115,baseline
2017-10-14,20,43.97,37.16936706067973,baseline
2017-10-14,21,40.03,33.470917637065966,baseline
2017-10-14,22,39.07,33.50125525731613,baseline
2017-10-14,23,31.43,30.37048510715827,baseline
2017-10-15,0,34.26,28.997247361346922,baseline
2017-10-15,1,31.56,26.520552808234264,baseline
2017-10-15,2,30.41,26.161512538307715,baseline
2017-10-15,3,29.27,25.10234102075769,baseline
2017-10-15,4,29.04,24.931027149611232,baseline
2017-10-15,5,28.91,25.35655662462576,baseline
2017-10-15,6,31.18,28.774265305811195,baseline
2017-10-15,7,35.9,33.41519471569593,baseline
2017-10-15,8,34.22,36.20229881339312,baseline
2017-10-15,9,33.24,33.08745081266624,baseline
2017-10-15,10,31.58,29.81390543575856,baseline
2017-10-15,11,30.97,26.83467192465143,baseline
2017-10-15,12,22.77,23.19843059895636,baseline
2017-10-15,13,17.07,18.761783451023998,baseline
2017-10-15,14,22.44,17.901226220876147,baseline
2017-10-15,15,26.63,20.208833581078956,baseline
2017-10-15,16,28.03,23.76435801096681,baseline
2017-10-15,17,39.38,32.776883419627325,baseline
2017-10-15,18,45.05,39.74384248639274,baseline
2017-10-15,19,45.04,41.27699786117497,baseline
2017-10-15,20,31.75,35.70048769071872,baseline
2017-10-15,21,31.73,31.652007469417086,baseline
2017-10-15,22,29.09,30.418335053072582,baseline
2017-10-15,23,18.4,24.555922113941016,baseline
2017-10-16,0,22.99,20.587931034634206,baseline
2017-10-16,1,21.26,20.538257105571788,baseline
