subset,days,block_length,p_bootstrap,p_hac
all,728,3,0.01294935253237338,0.022572211554670707
all,728,4,0.02039898005099745,0.022572211554670707
all,728,5,0.02689865506724664,0.022572211554670707
all,728,7,0.039648017599120046,0.022572211554670707
all,728,9,0.05034748262586871,0.022572211554670707
all,728,10,0.05709714514274286,0.022572211554670707
stressed,77,3,0.00814959252037398,0.006314040435504653
stressed,77,4,0.012599370031498426,0.006314040435504653
stressed,77,5,0.01929903504824759,0.006314040435504653
stressed,77,7,0.031098445077746114,0.006314040435504653
stressed,77,9,0.03774811259437028,0.006314040435504653
stressed,77,10,0.04389780510974451,0.006314040435504653
calm,651,3,0.8525073746312685,0.8465088181587486
calm,651,4,0.8500074996250188,0.8465088181587486
calm,651,5,0.8509074546272687,0.8465088181587486
calm,651,7,0.8505574721263937,0.8465088181587486
calm,651,9,0.8462076896155192,0.8465088181587486
calm,651,10,0.83990800459977,0.8465088181587486
