ours,theirs,MAE ours,MAE theirs,DM p (ours better),DM p (theirs better),verdict
Ensemble (regime-aware),DNN Ensemble,3.5569248528939683,3.413455905984773,0.9873378738204944,0.012662126179505573,theirs better (p<0.05)
Ensemble (regime-aware),DNN 4,3.5569248528939683,3.5916673598416815,0.32223359299423504,0.677766407005765,no significant difference
Ensemble (regime-aware),LEAR Ensemble,3.5569248528939683,3.6090855869391025,0.12713472789936264,0.8728652721006374,no significant difference
Ensemble (regime-aware),LEAR 1092,3.5569248528939683,3.9298444597069597,1.0137719996805572e-07,0.9999998986228,ours better (p<0.05)
Ensemble (static),DNN Ensemble,3.574236485149881,3.413455905984773,0.9917578260267677,0.008242173973232347,theirs better (p<0.05)
Ensemble (static),DNN 4,3.574236485149881,3.5916673598416815,0.4099459363132293,0.5900540636867707,no significant difference
Ensemble (static),LEAR Ensemble,3.574236485149881,3.6090855869391025,0.23917556775568816,0.7608244322443118,no significant difference
Ensemble (static),LEAR 1092,3.574236485149881,3.9298444597069597,1.7173937369996395e-06,0.999998282606263,ours better (p<0.05)
LSTM,DNN Ensemble,3.873351581186241,3.413455905984773,0.9999999852564596,1.4743540388550969e-08,theirs better (p<0.05)
LSTM,DNN 4,3.873351581186241,3.5916673598416815,0.9989695753526779,0.001030424647322059,theirs better (p<0.05)
LSTM,LEAR Ensemble,3.873351581186241,3.6090855869391025,0.999679590213914,0.0003204097860860511,theirs better (p<0.05)
LSTM,LEAR 1092,3.873351581186241,3.9298444597069597,0.2986796461756418,0.7013203538243582,no significant difference
LEAR-LASSO,DNN Ensemble,3.898804600831041,3.413455905984773,0.999999999931601,6.839895316801403e-11,theirs better (p<0.05)
LEAR-LASSO,DNN 4,3.898804600831041,3.5916673598416815,0.9999410611999576,5.893880004237406e-05,theirs better (p<0.05)
LEAR-LASSO,LEAR Ensemble,3.898804600831041,3.6090855869391025,0.9999993612546929,6.387453070910709e-07,theirs better (p<0.05)
LEAR-LASSO,LEAR 1092,3.898804600831041,3.9298444597069597,0.0013059950490383887,0.9986940049509616,ours better (p<0.05)
