model,source,rMAE,MAE,sMAPE,RMSE,MAPE,note
DNN Ensemble,"Lago2021 (shipped forecasts, our metric code)",0.3739790206918439,3.413455905984773,14.077548229659886,5.927209392873093,,reproduces the paper table exactly
DNN Ensemble,Lago2021 (paper Tables 2/3),0.374,3.413,14.078,5.927,94.434,"paper reports MAPE ~10x sMAPE on this market (negative and near-zero prices); the paper itself flags MAPE as unreliable here, which is why this thesis excludes it (section 3-5)"
Ensemble (regime-aware),this thesis,0.3896975117878382,3.5569248528939683,14.643901732908851,6.557453995499504,,"MAPE deliberately not computed (negative prices); ensemble averages different model FAMILIES, unlike theirs"
Ensemble (static),this thesis,0.3915941782326259,3.574236485149881,14.670971490975484,6.609705957860251,,"MAPE deliberately not computed (negative prices); ensemble averages different model FAMILIES, unlike theirs"
DNN 4,"Lago2021 (shipped forecasts, our metric code)",0.3935039089063435,3.5916673598416815,14.68016224150156,6.079857472686389,,reproduces the paper table exactly
DNN 4,Lago2021 (paper Tables 2/3),0.394,3.592,14.68,6.08,90.578,"paper reports MAPE ~10x sMAPE on this market (negative and near-zero prices); the paper itself flags MAPE as unreliable here, which is why this thesis excludes it (section 3-5)"
LEAR Ensemble,"Lago2021 (shipped forecasts, our metric code)",0.39541225390668777,3.6090855869391025,14.744361006106793,6.508289756290097,,does NOT match the paper table (MAE 3.955 printed)
DNN 3,Lago2021 (paper Tables 2/3),0.406,3.706,15.508,6.271,100.214,"paper reports MAPE ~10x sMAPE on this market (negative and near-zero prices); the paper itself flags MAPE as unreliable here, which is why this thesis excludes it (section 3-5)"
DNN 3,"Lago2021 (shipped forecasts, our metric code)",0.4060290196564985,3.7059890487539024,15.507750382347355,6.271461748160043,,reproduces the paper table exactly
DNN 1,Lago2021 (paper Tables 2/3),0.407,3.716,14.97,6.796,77.145,"paper reports MAPE ~10x sMAPE on this market (negative and near-zero prices); the paper itself flags MAPE as unreliable here, which is why this thesis excludes it (section 3-5)"
DNN 1,"Lago2021 (shipped forecasts, our metric code)",0.4071164371937149,3.7159143429798087,14.970378469805729,6.796419117410892,,reproduces the paper table exactly
DNN 2,"Lago2021 (shipped forecasts, our metric code)",0.42177919707902606,3.8497472094223175,15.355957406749013,7.303634192581173,,reproduces the paper table exactly
DNN 2,Lago2021 (paper Tables 2/3),0.422,3.85,15.356,7.304,137.449,"paper reports MAPE ~10x sMAPE on this market (negative and near-zero prices); the paper itself flags MAPE as unreliable here, which is why this thesis excludes it (section 3-5)"
LSTM,this thesis,0.424365297523693,3.873351581186241,15.599354941991171,7.019840841340934,,MAPE deliberately not computed (negative prices)
LEAR-LASSO,this thesis,0.4271539362589183,3.898804600831041,16.657203067270927,6.474950936820155,,MAPE deliberately not computed (negative prices)
LEAR 1092,"Lago2021 (shipped forecasts, our metric code)",0.43055467039597756,3.9298444597069597,16.79471422207225,6.525924295156845,,does NOT match the paper table (MAE 4.108 printed)
LEAR Ensemble,Lago2021 (paper Tables 2/3),0.433,3.955,15.747,7.079,122.412,"PAPER TABLE AND SHIPPED FORECASTS DISAGREE: shipped score rMAE 0.395 / MAE 3.609. paper reports MAPE ~10x sMAPE on this market (negative and near-zero prices); the paper itself flags MAPE as unreliable here, which is why this thesis excludes it (section 3-5)"
LightGBM,this thesis,0.4347150533494919,3.967817936768748,15.721782650118342,7.502419989688464,,MAPE deliberately not computed (negative prices)
LEAR 1456,"Lago2021 (shipped forecasts, our metric code)",0.43690691457649855,3.987823929716117,17.147925861936205,6.502398543538057,,does NOT match the paper table (MAE 4.118 printed)
LEAR 1092,Lago2021 (paper Tables 2/3),0.45,4.108,16.984,6.996,128.295,"PAPER TABLE AND SHIPPED FORECASTS DISAGREE: shipped score rMAE 0.431 / MAE 3.930. paper reports MAPE ~10x sMAPE on this market (negative and near-zero prices); the paper itself flags MAPE as unreliable here, which is why this thesis excludes it (section 3-5)"
LEAR 1456,Lago2021 (paper Tables 2/3),0.451,4.118,17.054,6.987,124.191,"PAPER TABLE AND SHIPPED FORECASTS DISAGREE: shipped score rMAE 0.437 / MAE 3.988. paper reports MAPE ~10x sMAPE on this market (negative and near-zero prices); the paper itself flags MAPE as unreliable here, which is why this thesis excludes it (section 3-5)"
LEAR 84,"Lago2021 (shipped forecasts, our metric code)",0.4579229680773306,4.179645844780219,16.271685776819254,7.396870330797625,,does NOT match the paper table (MAE 4.555 printed)
LEAR 56,"Lago2021 (shipped forecasts, our metric code)",0.46920316966110504,4.2826047504578755,16.54375472482779,7.71331637184021,,does NOT match the paper table (MAE 4.619 printed)
SARIMAX,this thesis,0.4766621235187312,4.3506856017598565,18.034852482852106,7.116617655323269,,MAPE deliberately not computed (negative prices)
LEAR 84,Lago2021 (paper Tables 2/3),0.499,4.555,17.491,7.923,133.58,"PAPER TABLE AND SHIPPED FORECASTS DISAGREE: shipped score rMAE 0.458 / MAE 4.180. paper reports MAPE ~10x sMAPE on this market (negative and near-zero prices); the paper itself flags MAPE as unreliable here, which is why this thesis excludes it (section 3-5)"
LEAR 56,Lago2021 (paper Tables 2/3),0.506,4.619,17.6,8.122,129.763,"PAPER TABLE AND SHIPPED FORECASTS DISAGREE: shipped score rMAE 0.469 / MAE 4.283. paper reports MAPE ~10x sMAPE on this market (negative and near-zero prices); the paper itself flags MAPE as unreliable here, which is why this thesis excludes it (section 3-5)"
naive,this thesis,0.849106094350729,7.750130494505495,28.595409456416967,13.257316739326685,,MAPE deliberately not computed (negative prices)
