model,window,n days,rMAE raw (all days),MAE raw,MAE recal,rMAE raw,rMAE recal,rMAE change
naive,7,166,0.8076220972102334,29.16711219879518,31.501938737091223,0.8034936072292811,0.8678132486364833,0.06431964140720225
naive,14,159,0.8076220972102334,29.46556669287212,30.52170971847859,0.7911886041987789,0.8195474114456796,0.028358807246900652
naive,30,143,0.8076220972102334,31.473519085081588,31.887170221849907,0.7944018313286393,0.8048425202039958,0.01044068887535654
SARIMAX,7,166,1.1454855512441606,41.91676529346806,41.0028897844275,1.1547201765974968,1.1295447967274317,-0.02517537987006513
SARIMAX,14,159,1.1454855512441606,42.56991791056303,41.87103071187654,1.1430573958946644,1.1242913700114792,-0.01876602588318521
SARIMAX,30,143,1.1454855512441606,44.58817515657402,44.548562068606536,1.1254200048056913,1.1244201576153954,-0.0009998471902958883
LEAR-LASSO,7,166,1.0866895593733878,39.635296019434186,41.10380256378218,1.0918704174481504,1.1323247350547705,0.040454317606620105
LEAR-LASSO,14,159,1.0866895593733878,40.10372775847181,41.36138455251071,1.0768369982196442,1.1106067109765159,0.033769712756871684
LEAR-LASSO,30,143,1.0866895593733878,41.71973342910016,42.70627433040544,1.0530196051171539,1.0779202174877929,0.024900612370639008
LightGBM,7,166,1.8281325987994743,66.27809442932643,39.14569641711414,1.8258244014812752,1.0783829611691431,-0.7474414403121321
LightGBM,14,159,1.8281325987994743,66.07387518117567,40.242458675149365,1.7741690707494446,1.0805621028975692,-0.6936069678518755
LightGBM,30,143,1.8281325987994743,65.72251040629425,43.789609082596364,1.6588574822261686,1.1052639380535163,-0.5535935441726523
LSTM,7,166,1.5201266795402117,55.73422638846536,36.79141696662571,1.535362647552446,1.0135274322705068,-0.5218352152819392
LSTM,14,159,1.5201266795402117,56.03322372422589,37.73744453147696,1.5045645831020975,1.0132992307971045,-0.491265352304993
LSTM,30,143,1.5201266795402117,57.12570422862646,40.328785470354994,1.4418713056040018,1.0179116274320734,-0.42395967817192837
Ensemble (static),7,166,1.2296675914780602,44.97731457683066,32.90171536558743,1.2390319784320845,0.9063741992331664,-0.33265777919891804
Ensemble (static),14,159,1.2296675914780602,45.257003487352286,34.04200435887346,1.2152091216368626,0.9140718790024575,-0.3011372426344051
Ensemble (static),30,143,1.2296675914780602,45.957999023167844,36.70217702293291,1.1599948035524772,0.9263748537921155,-0.2336199497603617
Ensemble (regime-aware),7,166,1.1670737453760065,42.673426340566806,32.47515065745541,1.175564623248214,0.8946232238977386,-0.28094139935047535
Ensemble (regime-aware),14,159,1.1670737453760065,42.97654284103844,33.443553011448955,1.153975801589305,0.8980026857239105,-0.2559731158653944
Ensemble (regime-aware),30,143,1.1670737453760065,43.657627227906886,35.70810414782948,1.1019326732278687,0.9012841319595322,-0.20064854126833653
