model,target,MAE,RMSE,sMAPE,rMAE
naive,hourly,7.750130494505495,13.257316739326685,28.595409456416967,0.849106094350729
naive,daily-direct,6.3574725274725274,10.684606443314586,23.582501753643527,0.7949176625772817
naive,daily-aggregated,6.3574725274725274,10.684606443314584,23.582501753643527,0.7949176625772817
SARIMAX,hourly,4.3506856017598565,7.116617655323269,18.034852482852102,0.4766621235187312
SARIMAX,daily-direct,3.197605380562209,5.174986172493293,13.522664603922546,0.39981816421180505
SARIMAX,daily-aggregated,3.269081122645535,5.076016132524358,13.653540201077877,0.4087552582507222
LEAR-LASSO,hourly,3.898804600831041,6.474950936820155,16.657203067270927,0.42715393625891834
LEAR-LASSO,daily-direct,2.8989098358269603,4.378602865976381,13.675341540245064,0.3624702459601492
LEAR-LASSO,daily-aggregated,2.838940210977366,4.413563659140776,12.727651656587986,0.35497183935200805
LightGBM,hourly,3.9678179367687476,7.502419989688464,15.721782650118342,0.4347150533494919
LightGBM,daily-direct,3.3011897632000125,6.07510987534367,12.494835303636542,0.4127700181081661
LightGBM,daily-aggregated,2.9927741969894677,5.580060903377857,11.612318014621795,0.3742067400231875
LSTM,hourly,3.873351581186241,7.019840841340934,15.599354941991173,0.42436529752369306
LSTM,daily-direct,3.1753480763553115,5.2450675141178476,12.733972384415338,0.397035183371705
LSTM,daily-aggregated,2.7803526553677886,5.051792151149148,11.393521167675612,0.34764624218111523
Ensemble (static),hourly,3.574236485149881,6.609705957860251,14.670971490975484,0.3915941782326259
Ensemble (static),daily-direct,,,,
Ensemble (static),daily-aggregated,2.6768122386379285,4.774098847451716,11.140107975891391,0.3346998856387143
Ensemble (regime-aware),hourly,3.5569248528939683,6.557453995499504,14.643901732908851,0.38969751178783824
Ensemble (regime-aware),daily-direct,,,,
Ensemble (regime-aware),daily-aggregated,2.648417732449957,4.71303575871341,11.078284462250526,0.3311495290478771
