model,MAE,rMAE,DM p vs DNN Ensemble,DM p vs DNN 4,DM p vs LEAR Ensemble
LSTM seed 42 (frozen),3.873351581186241,0.42436529752369306,,,
LSTM seed 43,3.9248348919144913,0.4300058209868401,,,
LSTM seed 44,3.898455334269329,0.4271156705334168,,,
LSTM seed 45,3.874800513818338,0.424524042918895,,,
LSTM 4-seed ensemble,3.645963641392738,0.3994526221052078,,,
"Ensemble (static), frozen LSTM",3.574236485149881,0.3915941782326259,0.008242173973232347,0.5900540636867707,0.7608244322443118
"Ensemble (static), seed-ensembled LSTM",3.5259766910586974,0.3863068239998182,0.04595851918723448,0.8057728407061623,0.9358525136743494
"Ensemble (regime-aware), frozen LSTM",3.5569248528939683,0.38969751178783824,0.012662126179505573,0.677766407005765,0.8728652721006374
"Ensemble (regime-aware), seed-ensembled LSTM",3.4994465477529646,0.38340017534649984,0.08025910171090167,0.8978519045434248,0.9875543691576515
Lago et al. DNN Ensemble (reference),3.413455905984773,0.3739790206918439,,,
